masdgazkon,lafhixpcyl,stmboyqvcb
-0.1445,DoG,omravicxrx
-0.3285,-793,-0.2475
owiyffljtp,0.356,DOg
995,-871,-0.027
-416,ivuajufbzu,-0.0595
0.188,dog,cAT
0.3285,kdncdivyrm,cosleuitsn
253,mwuquzmreg,CaT
-555,xiaaqzdswo,wpogakfgav
835,cqppexscnh,722
DOg,-0.0195,393
-269,CaT,-482
-0.002,-433,583
469,DOG,0.479
rgzushdxqn,423,jwitzvopix
DOg,oqqbagryjn,vvfzjmpqho
fpnuamrlvi,0.475,-0.236
-0.043,DOg,996
gfwsobpqvn,746,-0.324
cat,fspkacitvf,CAT
-0.2135,dog,wmuqhhtxhl
0.2225,llseemaolp,cAt
502,-0.1265,230
-0.215,cAT,790
imyzkjyrno,0.2225,0.3875
Cat,whdimlzqti,-0.2025
doG,-0.477,628
0.23,kcoakcrcgl,cAt
-0.049,qwoyzqcalw,0.3305
gtjudxvmlq,mdbklbqrqb,-599
-861,nomccutyat,oblmypxyyf
ondnthrrmi,0.044,0.3435
-0.196,polhajgrts,caT
hxxftgirwn,cAt,rzmchaffkx
354,bhnkjywqma,-0.0585
198,-504,461
686,ctshctpbqg,285
-0.4715,-0.4165,DoG
tyhzxmdmxh,cpibclmjmb,caT
-168,-484,964
0.184,-402,-593
zbflcnmjgl,-0.406,ouaiqtomgx
337,875,-0.216
0.3545,ssboblpcrc,5
ysajhgtajr,-35,0.4865
-870,DOG,bjrojwoytl
msrtecybjj,-382,qcohqsbujn
bcmnbwpxvq,482,0.0135
-0.27,-0.3495,umiwfjwusg
Cat,0.0465,-311
-0.354,DOG,-658
-0.079,lwhpfazxyn,dog
0.415,vxvnxaaoyq,DOg
thqqxrpawq,doG,0.3805
ggywofwvly,-0.27,-195
ofnbfsdmtv,539,626
cAT,-406,-0.0455
gnnsyueozx,0.246,hqgouatkzh
0.3905,67,525
0.409,uahboqciyc,dOG
-443,ynxjtczbci,-0.2915
rhhmeighhj,rkiyylmmyv,doG
pqesycenvn,134,-260
-276,-0.228,bpvcumwgbf
0.0855,-0.0125,Dog
afxleayxvc,ekqqcolavb,meyxeqcshd
280,-0.1945,0.0545
770,dog,0.262
DoG,-988,211
grtbcciogj,fbpjqutrlw,jeofobqmcm
0.2785,610,-785
481,-594,183
-895,-0.2605,0.123
-0.285,83,xguuuzurrr
748,-651,nbcjsnplff
dOg,-352,86
0.316,579,euojiqughu
101,570,0.0925
Cat,0.1785,-116
kwjnfmxrkz,-0.055,mgemhualgb
343,DoG,-0.209
caT,746,wtcoumcyfg
0.1935,-578,goqcrxuoqc
yfaeaktaij,-0.334,qvpgdirima
wnrriolkjb,-942,DOG
0.3815,0.1285,0.3205
zsidlwxeyl,hdduzafxxm,cwdpmfcbqa
