pvfhjmvfyz,Pet,zsphjmozlt,xnmgyulynp,hsvpyffbod
mlbilcrthe,cat,0.4675,-0.0435,-202
dOG,doG,cat,oxbuzfzfdi,kuqrtrcblz
-392,ivjpqnkgmh,-0.142,0.223,-0.281
doG,dOG,-419,oxokrbhhyg,cat
-0.08,cat,628,oxxnbizvuf,Dog
eetnmnaksu,dog,uubpctuddg,doG,dOG
xtwyxetqpq,DOG,DoG,qmlddabiis,49
caT,Dog,-0.3635,0.082,-0.017
CAT,CAT,xygjntxovm,-0.067,fkibazcksq
166,mcqppvrmqv,663,-118,-336
0.2665,cat,CaT,wieyywdkqm,cat
124,DOG,-355,-0.4385,dOg
-173,DOg,-400,-768,0.2975
-571,-0.1875,739,wbtqwbktza,hkfcjttfki
-0.2225,DoG,Dog,dog,-957
cAT,dOG,-0.269,-0.2545,cxieznplph
268,Cat,87,0.022,0.106
cat,CAT,0.118,229,sltejjkbyl
274,-837,-327,0.198,xinqfxnzop
cat,CaT,ysdtnjosgr,-825,sdywzoxixo
888,0.0035,nvnaqhcorq,-0.204,mgpngdcdsg
0.453,cAt,-0.1495,310,0.023
CAT,Dog,-0.365,obeawwrnwi,0.473
-303,cAT,dOg,eyfdezkxer,-472
-0.1705,doG,mudghawiiq,-138,yrdlvydjau
gfeckvkfsx,CAt,-743,CaT,kjbdhctqqz
-313,DOg,471,tyrduczoja,-0.1415
-0.3395,-919,DOG,-0.3625,DOg
dbbwvuvgmn,dOG,195,-0.1165,-845
-0.017,CAt,816,-0.142,-750
thxanihkya,nbhonmxpxz,128,506,ihgccvhwot
ioxwdnadaz,-645,-247,hazmsmsneo,hhavtikiqq
774,DOg,kivuxerqrx,503,662
-418,cAT,tvooworzyy,pbgptriudz,-580
242,mewzlbzhpz,-0.244,956,iutdoctrxc
0.4555,-0.106,mgrygpkvel,127,-0.202
-987,doG,wojsynbbui,0.0015,-73
dog,cAt,DOG,dOg,tbhuyxerok
rqdnrvrgyw,yqaqcfjdtq,-494,ykurswfgyv,pspxjueonk
-0.023,-711,jsdmndxsfv,984,-635
-0.0925,Cat,wunkawvqgo,-851,97
636,809,dOG,CAt,-0.4055
qtqlwijols,CAT,-675,-402,363
rrzuqfbaoh,cat,165,-0.15,0.365
zluuihvdsg,CaT,-0.3005,841,-555
-0.445,cAt,-0.072,0.492,471
338,vejkckxgfq,dOG,dOG,378
rvmbpjagyr,caT,-0.23,Cat,0.4975
smunzlrklu,-994,0.477,-0.1405,hgdrbfzkjk
zdyqglxcsr,CAT,0.1655,-0.292,-0.1665
0.415,cAt,vibbwxwsbf,CAt,-387
-657,caT,Cat,ntvjdgcqwg,725
CaT,Dog,smrcatifnt,161,-236
-986,CAt,0.244,-357,dog
bxtjrngyrv,CAT,102,Dog,rfajnidtrl
-0.1465,CaT,eisxqtvywz,fcsvhwblnu,Dog
-0.196,dOG,0.489,0.0945,-255
364,-0.069,0.4145,-0.237,7
0.2455,0.101,-9,doG,DOg
-0.015,dOg,bsijecvgdu,ujjkcgfhxz,327
-0.244,cAT,prujiephyj,CAt,vxgnrbfreu
quhohartxf,DoG,olfvaxypvj,0.095,dOG
zqhuozizru,dOg,924,824,-0.0755
0.321,CAT,-690,0.304,iiwtnguvbk
0.395,Dog,gaounjxjfr,nvvpbjrxks,-0.2115
0.221,0.349,mdrewxcylz,xpuhbvhztx,hihtgjbrrl
836,dOG,0.0755,-498,0.241
dOg,DOg,dOG,-0.239,18
0.2815,doG,0.4415,306,zfxpsqeqxl
DoG,-0.359,vdoqnkipdx,ffnaxkmahf,-929
ecnhtypvye,0.323,-928,daejacprhp,-814
0.391,670,-0.0005,-610,-583
zbcqsdvqga,-206,887,-0.3885,-784
-0.0515,DOg,973,dOg,891
0.282,-882,doG,boqikqraum,sxsipbguso
sryoxvdpuu,caT,-2,xgutsaykxm,nmpwfmlhby
dog,iejnfkaewv,0.497,791,-0.285
223,CAt,-0.3985,194,CAt
-741,caT,499,doG,doG
-812,0.3515,evpmkphsvx,-748,kzwiswhkzo
0.153,CAT,uoukgdirtx,0.039,574
0.386,cat,alwsqgmmgi,0.1995,805
CAt,Cat,nrpxmaijft,dog,-9
bsrhewmoak,dOg,-496,0.096,wivjpnrtmi
lsteamongl,cAT,414,DOG,-562
CaT,caT,-355,0.2525,0.0165
rmuwszozyx,DOg,-499,CaT,0.1185
355,caT,DOG,0.2875,539
DOG,kxycmafnfx,ugabmvhvgm,-782,crwluwtqwr
-601,Cat,-0.069,-712,xqozifbqag
-6,DoG,801,767,-0.4085
0.197,-157,pdjvhhdsie,836,-0.3265
0.3895,cAt,-53,-132,0.2275
-129,ijssopvkzt,0.4665,zwxlasmxrl,-270
0.3,genuzxvkcf,474,265,0.4595
dbnppbaqra,DoG,othzxmmqpq,-0.3305,nwagldmqyy
