jsfomahjrd,kzjptgufpv,aagiaoezwj,wleawpfhtf,PEt
udvktamkdd,-695,lolrinrxxh,0.27,dog
hpjpqqtmeo,tfexvatqin,lssjorqgml,324,cAT
277,zujakyluih,-0.3355,sjgvleaedy,CAt
822,-0.4415,0.1345,htfgdtyffu,Dog
736,0.3225,860,pdtftlxwfc,28
dOG,DoG,0.458,145,0.4545
hcxnragmxp,-813,-353,wgtccuwoxs,DoG
CaT,ymmeoxeizi,0.418,-0.355,cat
0.323,-124,-0.308,194,doG
bfxbaezllh,-0.1475,-122,aamkpidsmm,753
jwhzgszyrx,-0.3285,-0.066,496,cAt
ucnkuvmgxb,qpddnlsnba,DoG,-718,cat
ehtbvgbwqb,fhuscudous,DoG,ddsathdkqj,CAt
-0.389,-0.389,0.1095,doG,DOg
hchsqtwrgt,968,hzbmdvmpfz,doG,98
doG,756,vfgpjvnvlf,621,iwzfogvxwj
rtgnljrhks,-418,-115,CAt,DOg
vwxnztflel,-0.414,-857,279,doG
fquqziugsv,uhpfypowqt,doG,tdaxgetujy,caT
CAT,yiumpvlmoo,0.1445,urfxjbtjsz,doG
gopwitfmkt,fskvwpfdkc,cqncjyskvr,DOG,-0.4615
-338,0.3465,lstzxduurn,kunnguvotb,DOG
euvoezngio,736,0.0525,xclmyrkjwh,qxcpxxnklm
0.366,Dog,mtzynvrrfa,-0.206,dog
CAT,DOg,0.0945,-492,-0.329
cctcfvxyci,-573,-304,884,Dog
727,wwzfgnydpd,uesbramkwp,4,CaT
-0.3735,43,0.373,rnfewwzuqg,0.4255
-0.4515,lvzumamneu,0.492,ndcbkaconc,dOG
508,240,0.0145,CaT,dog
515,0.218,0.3025,-0.4885,171
-0.438,-0.445,0.477,cat,caT
cat,efnritowwg,auqguhppqn,-0.238,cAt
dog,CAt,-0.272,finaqggckn,dog
bshzjjkkqj,26,-0.1075,eqlecixweo,462
-700,kuryccbnsi,-771,cat,Dog
0.2385,977,974,-353,dOG
0.4785,CAt,-0.339,0.06,CaT
yfnenawdsp,0.0905,-0.243,254,CaT
-0.012,-0.28,-0.187,642,cAt
DoG,269,-777,DOG,dOG
0.396,-0.448,505,-813,CAT
qzjkoncawu,csaebwlzgq,374,zwjmjouvcm,CAt
0.3945,0.3975,joaonlpqwh,-0.2745,Dog
-654,yhpmxrlhae,0.0015,sflcwmievz,doG
kqecaayjwp,771,okqojbrduq,ekdugoqzck,DoG
-695,-0.0345,-178,-0.002,-461
784,397,-10,-466,0.2395
519,bkfbhqdldv,grvkxeoltf,-0.286,DOg
233,-0.428,-0.0035,Dog,caT
-649,-0.044,ehjfowansl,0.42,0.4035
DoG,-0.3245,-0.085,-127,515
797,hwxnbfdusq,-484,esewchdwgi,266
-0.159,niihzshybv,0.423,-0.461,Cat
odzcgebkzk,dakuiwfzja,seixstceaw,dnbjnnhujv,CAT
whwabgujks,-0.271,-210,579,CAT
wiycxnwzuu,-934,-820,-0.272,0.2085
547,rulctkrzfo,-0.4485,dOG,doG
cAt,wgkleywycu,-0.248,rxsrpzhdcd,dOg
0.348,513,-594,-0.3895,-65
0.272,-520,-898,-0.4555,-0.042
caT,261,380,cAT,DOg
pzrsiufjnx,110,-905,upufuwaati,-849
DoG,-0.2925,icohgnkhrw,-2,dOg
11,-0.047,-0.063,ejycluuewx,0.1705
-0.129,CaT,251,DOG,DOg
xawxnvfrwe,582,irmhsnhpgg,0.0175,tjibdyqjei
