ztiwzlaaws,jdhqyizzti,PET,cewfnmmymy,cgcggjsvmk,oeosmxpwyw
lrgppaljly,DOG,cAt,gxczsfvzlk,jyouwrpnsg,-551
541,esnlentzzf,cat,-0.128,cAt,-0.0975
cnmkjopyid,dOG,cAt,32,521,cat
-353,gcorzfairg,caT,-0.4795,703,sjqfjknbqj
179,oquerobmth,caT,-465,127,0.105
-0.3525,beokmnvivt,-0.2885,kvfsucuwbn,-207,0.287
-0.2965,cAT,-46,CaT,0.0145,-0.213
0.3785,DOg,0.4565,svgquudpij,-0.306,cAT
dog,704,DOg,jcbvgqcndf,zrouddwfwy,tfbryivbsd
-0.36,-867,cAT,-0.328,585,0.241
-360,0.305,bmbmxmzixf,421,0.209,443
-150,-0.395,410,yithpnjjzm,cAT,xyhwrwzzgt
0.219,hmqmyovmku,cAt,-0.035,0.033,0.0945
CaT,xfpysblmtp,-0.1335,CAt,-52,656
-0.4825,0.022,CAt,-339,0.401,bgjfgkqtpz
meliiqcgww,-0.12,556,-592,dbqlyhngaw,0.0405
0.018,0.031,caT,dog,-957,-299
-0.2305,0.412,qfknjnltju,pzftomhirm,-144,enthlilmcw
lbgwpjcqxm,0.4665,427,gidflmmqvv,-0.4495,ikzxippjpr
-0.29,-679,dog,0.131,duuipanpts,0.0795
-0.4805,-194,Dog,-0.3155,hyopknjikx,caT
326,dog,-0.1155,-0.005,-0.12,0.323
0.0475,-0.4235,cgugbscyrx,dOG,215,988
-0.265,790,doG,-469,qpiimzhmip,674
-0.395,0.255,dog,bgjnzxdzde,-84,-22
0.406,arcmfhcnuh,CAt,0.035,CAt,183
533,-0.0985,dOg,qzplmerumu,xhpiusgswt,-562
0.4915,xfilbwoqpk,Cat,rlzejwqway,-0.4075,-377
-0.463,0.4,DOg,uekkgipvda,zxqslutham,407
-0.465,qiqirhhxhc,800,0.4865,0.442,0.078
-0.021,0.2295,Dog,-505,452,tgdhlsqoji
-0.0295,329,cat,112,0.4615,udbeavqeas
Dog,chdmmqslru,-543,977,pzbtrfdmke,cat
oqwxkzvale,tbxofjghst,CAT,480,0.43,0.3035
-0.008,339,cat,CAt,0.2475,lwfthydtrj
-856,-0.1365,0.0855,-0.137,-0.1955,ainrsbpfim
-441,tnfxabfepx,DOg,gcjwjhgvny,DOg,952
fpedbogfdi,phigrzquux,CaT,0.404,zsjcvxbyir,DoG
caT,CAT,99,-537,-490,cAt
-439,-0.2225,905,oesomuufnu,-778,-0.098
-962,Dog,pqrwpwpfae,DOg,0.206,0.488
0.08,DoG,Dog,0.356,otckdwgrvb,-0.468
dOG,-499,Cat,160,0.4425,728
DoG,904,972,-0.354,0.499,-568
-583,0.486,-215,319,-0.4435,0.281
nowmtuzmae,0.3355,-0.321,-0.3605,uumlhbyvfr,0.495
xmxavdrkfu,178,Dog,-0.272,caT,dOg
-0.1085,dOG,Cat,qlgxncoxhu,0.0835,dghjxfhdhb
dog,Cat,Dog,-0.115,328,0.076
-338,uivxgamiod,jqhtcyzoea,CaT,iialeoetlk,doG
-0.387,0.4175,doG,0.456,0.0175,zmlsykkqde
Dog,-283,DoG,xdmkikvfvc,763,334
529,-0.3185,cAt,tffyegaqrn,swqymlcbjb,-447
-0.4415,-70,DOG,slbksuebha,-601,Cat
-0.069,-0.0755,-765,-465,-972,gxllbdjcgz
