wrzmfeftcn,ctyipuluws,mtfodxvfta,angntpgbuh,kdjmddfipz,mugvabmlgf
dteeogbjfg,-950,bavspbfkrw,-0.0425,Dog,-721
-0.357,trjcjhbteh,-0.286,niyongzkmb,qdawzxlxcw,637
khnneiuiln,cAt,-0.3715,wcegecatuw,-827,541
ixgkqzwbsw,0.114,dog,crgicdlrbv,-361,0.48
scbecstaph,cAT,-0.353,prafbirwge,868,raeqrujyry
-704,953,0.2345,rrlcbdxydm,errctboxwz,-0.4695
cat,spwieplbdk,575,ryhjdyarxd,wtepxnkglj,rnqejmymjx
568,CAT,DOG,-804,renkfcqsez,boeehwcmqi
-0.081,cAt,etddouycdw,zabcosrjvf,dOG,0.19
-160,434,gfpuqowvwd,DoG,-0.047,kpkcsdbwcn
0.432,zycsfkwixn,-233,112,-552,268
cat,doG,DoG,CAt,-571,-0.2405
CAt,csfmpwxydl,0.136,0.2255,0.223,knwfflchhq
CAT,njwwxibtth,dpbinffssc,-0.119,DoG,774
0.356,Dog,kojnkfkmyz,251,0.467,0.261
yqrnfxbxtq,0.483,Dog,0.396,0.031,325
DoG,-578,0.0835,zcojngmrcy,598,DoG
ylegmgxhve,jtduqdtfiu,924,-0.135,-0.444,wsdnhexsne
dOG,vzripheewe,0.4875,-954,0.329,-0.2975
vtdwwktaou,-0.3645,yofmmggyiw,10,96,wqhretdiqm
ppnbmevhca,935,-0.169,wfxakaoenl,154,ctdwvajayq
418,999,whdcejnurd,0.0355,CAT,bhatdnpdgl
0.135,xuhzkueiwn,yunyvuylop,-171,0.03,cAt
-60,-396,-131,922,-0.1745,713
-665,mkmogkyada,lkdkuquaqc,313,-24,-0.176
iquksafjps,cAt,dOG,-566,yppabwrych,-0.4995
-315,712,cAT,kftpvfuqst,0.3385,zdgknpigse
-0.443,-0.4665,ehyghnidgo,eboaqqtcpd,0.0265,-359
-383,ojnazrvpnd,cAT,954,0.262,485
jgskyudtaj,DOG,0.3825,-0.418,-598,onzhcmcyjf
syggbcqlhd,0.1835,ydvylectvm,gxelydutyo,fwkcwcpygf,CaT
0.445,0.05,0.3055,sbhblclaks,Dog,DOg
-81,138,doG,ujtdsshyeg,CAt,38
brdkrgfxmi,CAT,gujdkojfzx,-325,-546,0.4495
-0.2145,0.036,DOG,qilwjntflq,0.319,fpqmzpfigv
795,nugzuhrpiw,-315,-0.4575,xljzbskicn,-0.1585
-211,-332,wzeuvvjynh,-0.193,0.386,cat
facctrhkji,-0.364,-0.1025,kqhdcjzcom,doG,abgzrpubrc
0.1045,-0.4535,0.369,-699,cAT,0.409
200,pfgrjpnigm,ehqfvsfbpv,-797,jtxkkugprf,0.055
dog,eebvfdjawe,xheglywxea,CAt,147,ytiguibjme
-0.194,CAt,-98,0.0255,tvjgurqtep,435
nbtlxiufsk,-449,cat,0.317,ejiresjzjv,nbsooyiwbf
-0.314,-0.4815,-0.3495,tvnmoarntm,ekfljymupe,cat
-0.0125,405,-996,79,676,-0.233
0.1325,-0.4905,889,CAT,tnjfienzky,oohbnkxjtt
-0.366,jnwwlmiiqr,887,-0.1575,154,sffwrmqyth
vqhnfdjtko,dog,-0.3015,0.441,tpwqmiceee,-0.2005
-474,0.451,-0.236,cAT,-0.435,Cat
cAt,-9,-595,493,lomotdibkk,987
