xruzvqxnjx,dsstufwavn,ohsaghguef,pumzmsoulg,mddocvrpve,cqekajwkcw
-0.486,kxlxndnefv,0.4655,vofcuaqtxd,-0.0575,-0.299
doG,DOg,-0.0545,-376,-757,mrnnsjwatz
-0.126,0.452,0.3405,ghpnkjnbby,47,-554
-0.027,-736,88,0.3275,Cat,qpecqkxmqs
DoG,nsasuxjubx,dOG,doG,633,-0.111
0.428,-136,-0.32,ldgyfhcgun,0.245,yfzaeajohl
0.469,-0.2275,-222,zsqqvmuowb,652,dOG
lintxtdxca,894,0.291,tigmsksxdq,sgiiwmdzwk,0.099
lhuappowmx,103,CAt,caT,-0.0675,-970
gtktivdiji,-916,cAt,Cat,-0.413,-0.4145
-322,cAt,Dog,opdpivrosb,-183,sxqlwetugp
-0.3175,-839,-0.392,-54,0.0585,CaT
-387,DoG,pmkrngyfbp,wvrwqlexng,0.033,678
-0.221,CaT,cyvtbxqhit,cAT,-0.002,whwxkxpcww
-0.0425,402,newipfwmha,DOG,-933,889
DoG,-874,crxebaapua,-145,jomaqcpved,ecqveweems
-373,hmrenalaio,-634,gcwqckvutr,-885,0.287
-0.232,dog,brngzsiisv,cjlamucqhm,464,svwvmylcvn
-578,doG,-994,883,sjtwbcnxkq,pmavtkefsf
-0.028,0.3575,ubczrhsghs,156,-0.3595,-0.372
0.3765,0.31,bvvduwyfbj,-846,cAt,-999
0.3845,dog,984,vliuxwzuzo,-462,amzwxsxjej
413,-0.2095,-0.4545,ofrvxmigdz,Cat,0.254
ihxplthxmg,itybuwikvc,ginnehqvpa,-528,umoyeraqun,gsoomwsswq
0.3515,-0.2525,xdgozptywr,0.424,0.056,0.1565
0.3125,jpmnapjqof,0.2095,dOg,gvrrgezrle,-867
0.3915,276,DOg,zwccyjrrig,-0.233,dOg
zdgtnzfcqb,Dog,552,zokyolxzmu,DOg,CAt
-24,isucwgysdh,0.417,506,rqjwfhdjfx,0.2795
-0.3335,0.456,0.0885,wkxvdctrgw,-444,ibaeejqrwo
axbqshpmdq,0.232,207,-622,iswiutbjwc,-416
-0.2965,502,-0.0005,426,DoG,iylehqnmaw
0.441,zskkbpmmxo,xldaraveuq,-730,dOG,aibcqtjcxd
Dog,-480,0.0435,dczibigvia,-0.007,-797
0.3075,-0.1825,aqlnpmbhhz,ygolujbnfc,-0.129,-153
CAT,0.442,-0.4195,-0.303,-0.368,zfdiojcpru
caT,-0.211,onjukloduw,-761,dsfqrnqjjn,121
vbgcjctpki,0.448,uumridnfcj,-0.2605,ooswvtxzsz,sttidoareh
Cat,-631,CaT,472,478,-0.278
-514,-65,802,-17,cat,0.367
-0.3885,-0.127,0.06,-941,-947,ywbsbpyonm
Cat,DOg,104,177,-19,caT
-476,338,540,cbwdsbbwil,zdeohuhgko,-107
0.483,0.485,bytymzhfkh,39,175,0.365
CaT,gklmmkcqki,-0.306,532,0.3315,-112
-527,0.3375,-258,DoG,347,iglxcxgxeh
-0.228,doG,-0.411,-0.336,-940,xmolvnwxrw
546,vzaeqxmjqu,yuexlgrqgw,gqoezciihp,dkkxwwhfjk,-716
Cat,0.216,lmzxltpfzy,607,197,-0.0735
zihpohbttz,vugtrtfxsd,jwxqkevsgx,diptdhxgwf,0.013,-458
gswbqiwmex,Dog,zubcdzqbta,0.4885,986,rhfnamotex
-64,0.092,0.1015,-0.028,caT,-0.1295
278,-771,heqnyhghrm,cat,-0.076,-596
bvuedwwyhj,-673,ezmkdtwrdp,333,CAt,-0.4485
-637,0.48,vgyxeikkou,-0.183,765,rqnjcwnqqp
-109,DOG,978,nmtrhfpovt,xfuxmisymv,448
0.3095,cAt,mohvmdbvnx,-766,rterwfpubp,vfedygrced
DoG,-223,-389,tvvgpylswq,-56,-584
-0.458,-0.3095,-0.2325,jlczeuobxs,-921,0.204
0.1045,yyelgjteni,DoG,CAt,CAT,-944
-0.1425,dcghwexzdt,xqpwmvqriy,bhtdmvsiul,-0.266,0.4965
0.4055,-0.361,CAT,-149,-352,awtvednltl
xhdectggew,0.1315,758,-689,CaT,Cat
-394,rkdunyhack,-657,-6,fsqlpxgvee,454
DoG,625,gxmvgjeseg,Dog,dog,DOG
ocyywbslsq,CAt,dOg,-811,yhucpmyweq,ghvcogexgz
mrepgukxyc,698,ncannrueio,iufbyoezsy,431,Cat
-827,737,kqdqunqxst,vqwcrxnvov,-0.335,bkcjgyxmtk
0.298,-452,0.1135,0.199,0.466,0.132
308,ybkpcxcpfk,gdsvygelfr,0.4865,-638,Cat
yqopksveda,dog,ucjghdnvyh,CAt,-58,upasxazxrl
Cat,0.407,jcwephgjzp,-604,tdqdjpcclu,gspjrviepr
dtvmqfzpfn,-456,975,0.195,0.3,wshuyreoyd
0.2275,izjknbnvlg,-0.184,dog,dzkjizfprv,cAt
-513,cat,-0.385,0.4605,dOg,caT
-0.34,-0.1695,566,0.122,0.2495,0.289
-648,-0.1925,-873,-711,kawtxpijfm,-0.0535
hjkwmzhput,jnhugrkjly,0.0575,0.105,ekzwxdzbfj,0.0245
-797,-677,728,jhscvlxrup,-0.2665,bkoowfzqsc
0.336,-0.349,-752,rbjohraxyn,doG,33
vnlbyeyeml,0.232,20,-0.2195,0.173,198
xzcxorfubm,225,-0.4325,DoG,10,-182
0.149,334,0.392,788,qndrzandje,cjnujchtzm
-843,550,cAt,zgqwrmdxar,vdtavfyhre,-0.497
wnqwqjseyt,647,0.064,-0.2035,cAt,25
prswilissb,-20,cAT,cmwwdycgns,0.04,DOG
cAT,dog,rwyplmkscc,ijmzfyogni,Dog,dsswbzinlj
-573,yqkrrvkkqy,jidotirxcj,0.402,bnnklbobzp,dvyiarxhvo
cat,-173,0.275,anyvkjyzif,kaonhnrvkp,0.1995
-0.316,xrqsqjktvt,umsfucquuq,tmkulhumyo,yiiikflxch,fucacbmnkb
0.0645,0.013,-966,kyvdbwednx,vcaohjcrme,-0.2415
