kizdkkbjma,xeuychxlvt,acyzhyhhla,ftnlsunqge,bcciggoims,oynwmsekfq,kkrliibeip
0.1705,300,-0.377,akloqhusxy,cAT,0.1265,-0.1485
-536,dOG,0.3495,-745,-0.403,130,vfnvkensug
-0.0105,0.336,-808,cAt,0.2565,CAt,wlvmiuieuh
cAT,756,xtpwuqvant,nybwwrhzhb,-0.145,DoG,-0.3065
-13,-35,948,nxucvuypam,546,442,-0.3265
0.095,709,-175,-0.3925,249,qxejyknojf,-441
0.225,241,sigvrdpvnt,DOG,cAt,DOg,-0.161
tqmppvaxps,268,736,miewfbyufn,-107,0.116,-0.207
DoG,aedomqjcvs,qzubarrwto,0.3895,viunfhxvss,658,hpcftomhot
oqrchfwcmd,0.275,679,-955,doG,94,stlxfwoiya
-483,mygatasbsc,-395,CaT,CAT,-0.4185,0.491
0.394,-811,DoG,cAt,46,0.496,-568
-0.3385,DoG,557,DOG,260,Dog,-691
vugfgkcpos,ciydjjyjyn,doG,-112,chbupgjebz,-402,515
83,0.331,Cat,0.091,0.1975,dOg,826
pwrsbdoecl,cAt,rxbfazmvbc,dog,105,oeytbyzrfb,ronfocqjdi
CaT,dog,tshdreeqsn,-774,0.297,mvpuyxbnic,-156
180,0.252,-746,dOg,-0.1815,caT,-742
dog,951,-0.3125,0.1565,996,0.0835,jxgbyhvfar
280,-363,-0.1655,-777,dOg,sgxcatrgwx,737
-113,0.1335,-135,-491,CAT,-435,-0.384
0.423,-0.16,cat,-445,0.1005,awomosdfmk,dOg
-0.3495,-725,lznuuzogyd,-0.3775,pgpdvwkcsm,862,azmnxnodxn
-960,568,dog,laieujnhun,-0.4785,vxfivkyxzv,478
dOG,880,-0.392,0.1385,0.358,hvufeskiza,DOG
rjgbpbvfix,-0.22,gwiycvixsh,-0.367,308,rduhgexiqd,-800
339,0.313,-0.24,-0.1475,-0.279,0.0385,tnyovlcbhb
206,-480,-958,0.377,cpisimtwvo,-967,fejkwyuxxx
-0.285,iemxqjpbxk,-897,302,-0.0475,wsryffrauj,CAT
ariptpxnie,-0.3625,wfburmjmsq,-0.464,unagcjqlhg,-355,mfxlfvtpdi
-514,-0.184,0.357,347,hskbitgedv,-0.259,514
-299,0.2505,501,-178,-238,egcfirmmaz,-0.2365
wpmqfevhjm,-0.1725,doG,-0.434,smepqymyxg,hrhtuaocwe,DOg
DoG,DOG,-0.3695,0.2375,dog,CaT,dOg
-567,0.488,gvlhaitxfm,-137,eddsxtblqj,caT,rpxsqragxw
-0.3955,758,0.435,dog,62,-317,285
-91,-0.3395,-0.3455,-57,qfbvzwfhlv,wwcpjfpumu,818
