vcjncbhfsu,nrbjlalhjv,dvfaucbqyq,qvisjqomul,arggxfdcot,lagqsikpir,vsyioryubb
DoG,856,CaT,141,dOg,-0.3905,-0.2135
-0.0325,-0.383,Cat,cAt,cAT,CAt,CAt
-766,0.36,ckntpxglku,-639,-0.493,ejuvvnpduo,-947
210,-225,-832,qeioofzsna,669,332,xcwfwtrhdl
hhnuavmzyd,0.1755,0.3365,-0.499,ekubzgpdxb,-0.0315,-108
-940,dpkmfsjxwu,doG,DOg,-0.0695,0.4815,-0.1535
-0.469,-264,-894,txmqmdjwdv,-0.2525,CAT,-0.4155
yhyoqagsrt,dOG,rdqdwprpmq,148,-972,lzubztsodr,40
-0.2325,truhirzhgz,DOG,-285,411,-0.0695,cAT
0.066,flvqwhupkh,-529,0.105,jhoskwksjg,0.4595,oovricqgys
hqurfciazy,0.3505,-0.2615,DOg,DOG,-0.469,727
irjupzwzbc,rnzmebnqvf,0.016,0.005,-0.0005,gsnarcyirv,385
0.368,0.1115,-0.3005,wrfitzcsmf,18,-0.1985,-0.004
417,0.3605,-0.1685,-912,dOG,oaqnadzcpg,tpeqmhyuab
caT,bkmglvbnuc,-0.407,0.354,sfslzgurmp,psxwtckhhi,0.477
cAT,zhjfztzsyz,CAT,442,-306,afhqnslsaf,tlafimdmii
ovwbrpbafu,-921,833,695,-453,-144,qudnkpfkju
CAt,0.334,-548,-700,614,158,396
0.1965,xuvlyfcpia,ojgzmgvuqm,0.1055,dOG,-0.033,krsmbgokxm
doG,-715,0.0005,112,-0.2855,cat,-0.01
-0.4775,bqdwemprdh,mowvnljhyw,cAT,492,mrlnfjrnam,0.3235
zoljrqwyga,416,Dog,lgrjrtwmkv,-775,dOg,0.1245
-0.158,yynrsfhmvc,-0.297,kbqwfetmbk,-338,0.4365,0.07
xrdfybrpkw,67,0.185,flvununtou,msdyfpoidb,cat,-225
Cat,159,factstwnmn,0.0385,-0.1565,CaT,370
-0.342,licafvtzin,-36,zecveimsbp,-385,hsuhtchzrm,dughlagxze
vqodonzfgq,-251,upcmosmrhb,ggjopeqeya,0.222,-192,0.3715
algapvuvzy,-0.1195,caT,iulotsvcbq,CAT,cAT,qdkggkdcbr
DOG,tlvdusdyvf,sekggmttby,590,cAt,448,cat
-160,-85,783,15,caT,zmxsmlgbjk,dtbotnzkqi
pfsigodynn,ibnzhuhrsq,0.09,689,doG,feoeqeklcm,cat
0.1635,Dog,-388,0.0875,jpeezrwoqm,DOG,ghgchtsvqi
925,eytqchitps,-0.4955,-0.351,-0.073,cat,342
0.428,leqdabaqld,dqadjcnner,caT,-0.3425,dzzbrogbnz,86
0.275,-0.1,lumsqbmlvp,141,-448,DOG,374
ejftrogbru,lewgbmhsgt,-919,ncrudjiozw,-567,cAt,rcydfarsqp
DoG,881,0.4725,0.0205,0.47,-373,dOG
DOG,343,mwxzmurfdg,uhdigxmejw,mhfzkadoql,0.4305,-36
doG,718,566,-773,-0.0745,gkzjgswzxr,441
cqgbbtsuap,-0.1385,caT,72,wxbvvzqaom,DoG,wqglbicgqz
-0.05,DOG,-0.0235,dOg,19,686,Dog
cAt,745,dOg,449,-526,0.251,0.0265
0.1055,2,DOG,462,-78,Dog,pdztnqhvhq
-841,0.193,bzkavitpks,pdvjsaugyk,obeuluogbd,0.2375,Dog
-503,-970,rtqzkyddjq,0.143,488,0.1755,dOg
xxdytowkfr,olaatmtlsn,DOG,-0.291,-0.238,247,0.4495
-0.1375,-67,-225,klviqlykkw,-0.41,-963,-0.392
-6,efqepevbdw,335,zupuvafuqy,yjqwhfckci,732,787
dOg,-805,dzuaxjnvfp,CaT,mqvphgnane,hmcrsdcebi,957
abzjvlpsst,-0.374,0.262,ehrkmxsfqn,doG,-0.3305,DoG
lqsnpunvvr,xucxriwgbg,-0.4285,-0.2225,0.2195,tdmndxgdrx,-879
427,0.025,lkocqobxqg,-277,0.1115,wbrejenmxp,0.171
