hyjumziytr,pET,oulfsbiiwv
jhxsynoroq,CAT,-0.091
dog,Cat,-0.184
lzougwutmk,DoG,226
dog,DOg,-438
316,CAt,cAT
kvbzywqitq,0.0335,0.2165
caT,DOg,qhqybswibn
xxzfgijwhn,Dog,qpcufjtnan
kydwwydmyf,cmdsgidhsc,-0.3585
-0.084,742,-0.0685
0.1925,DOg,dOg
-931,agdlqicxwx,-0.3865
cat,yctfmotuaf,dOG
shyqwztbze,CAT,0.481
-567,cAT,208
thypwzkwjv,0.2695,gilfilsjsj
DOG,cAT,382
-0.3565,dOG,-0.3085
doG,-296,820
xskxofipak,ftdqelvhxs,0.102
yvcxydclbz,-0.316,-600
ukeaaqieuc,dog,0.001
441,-238,CAT
-0.2555,CaT,494
-0.2125,dOg,osydzdiqfl
CAT,aqjnohcjwf,qrvlpfemqy
-876,cat,nklxozsgsq
cAt,769,593
dszcmpsbra,caT,cAT
-236,dOg,207
DoG,dOG,doG
-187,Cat,DOg
-727,CAt,esxabpgywo
328,-0.462,-171
-162,dog,899
-922,doG,0.338
ixbdytkuqf,916,-946
ojinzdgyiv,CAt,0.445
-647,cat,ysysyzlocn
410,CAT,0.0455
244,DOg,-0.0595
ounjxggttu,dOG,vlqrdgkupq
cevismtdlh,272,551
vphnnjablm,dOG,0.323
DOG,Dog,cat
mwmmotpexa,doG,0.375
-393,srwvixjrbk,-205
-442,caT,daxrohscku
320,erfesecorp,dOG
-604,qulwzfyhzb,-0.1565
ptphzenmqk,CAT,-0.0315
-290,CAt,cat
uobcnbgpoi,cAt,tszmnbcqzb
885,tmkrihxxlv,-972
DoG,kmerxunxfh,314
lfayvwgznc,dOG,-0.225
0.2015,doG,249
0.4355,dOg,hwxkowwjpl
222,CAt,-773
-73,750,ckmqfenjac
-0.3445,cAt,987
DOG,cAt,qjqfiedswu
ceunlhtvke,cAt,564
DOG,dOg,qxbclnwdvw
178,cAT,970
0.2955,CAT,dog
0.015,knmmisxxfk,847
22,DoG,cAt
caT,DOG,0.3935
309,4,-0.1195
0.4805,dog,ggmtkusgyn
-406,DOG,sstkcwtzax
xsyobaxbpe,CAt,lpokzxeebi
DOG,cAt,-518
zcqjongqti,dOG,-204
0.0665,CAt,951
cat,cAt,-294
-336,CaT,cat
doG,DoG,0.438
CAt,cAt,0.2725
btpkmzhzgn,CAt,npydovbvlm
991,CaT,-0.2795
0.3425,CAt,580
814,cAT,0.474
Dog,dOG,-578
jpzoiodizq,-0.245,-993
-767,CaT,-649
rumrbrnfoe,Cat,-554
690,dOg,-45
-0.0465,Cat,-0.0945
Dog,-0.2975,53
xeepqsrkug,0.014,-845
221,ytjvudeybs,DoG
-0.341,DOG,DOG
