ypstqvfnvw,arcwwpfuqj,rldomjfmmk,iablrizary,tmmpjwqoif,boztulhvtt
694,-0.4395,CaT,861,lovhwalbdu,-0.103
rphzsczsch,936,170,yortjarezf,DoG,ykcgomvszj
cat,klqraspayq,dOG,kqximfhued,-0.4875,-36
sosufkcnhx,cAT,dOG,djvzsoqsiy,-0.2785,600
-768,0.2965,309,qtxsrfwhwm,0.158,dOG
zlpylzxjgt,774,cat,doG,usmozrwbxy,whboklsuez
pemwjbluaa,-0.189,-942,317,-910,dOg
-0.054,dOG,zkinlftkxu,scuielexnx,wcbuhrqchu,-40
646,cAt,0.365,CaT,-38,sohxjubvpm
-839,cAt,rnlcpffipw,-0.167,rrugwxjohl,-0.0255
0.445,-608,0.1865,-246,-465,-0.3025
DOg,764,-458,-182,chafjkfqne,-580
315,0.0755,etuscpsbda,-95,-575,wntaqnoqkk
683,cat,863,0.2685,-360,0.3785
