gvyjhacrzg,uwiwtnatfk,rdcnqmmvor,PEt
xhqmkbcxal,DoG,wgpcmimxoe,cAT
kkgrkfdlzx,caT,sufgwwewgt,-0.028
-0.473,rkvxzlcney,0.3,Dog
uomzxjkjzz,-0.09,lzcgghlojw,867
-0.0335,xksiqedmza,xszfrupabz,288
-0.4495,CaT,mgxxmbgqkj,DOG
-189,-840,-0.2235,Dog
-0.0885,-0.0585,qimdlxdira,Dog
-0.4405,0.0375,-876,doG
0.1715,-0.111,hiiohbxjqx,0.313
CaT,193,-0.102,ufywpehnfo
259,gwjpehmokg,DOG,CAT
adlvuraeya,-793,ujavtizpxz,CAT
vdezdpjaft,CAt,0.099,caT
doG,kxdvqumvvq,yoexwqkflx,dOG
cat,mzzpjfctth,tkgdrtplub,CAT
wmgzjpmswu,0.0315,-0.197,CAT
-59,ycqeaxoewj,-0.1405,cat
-0.285,DOG,-0.1265,cAt
nyybqexhgc,-382,0.45,cat
fnvsghkelr,-0.0785,juoqrilepc,cAT
0.047,DOG,0.325,jqbgjubggo
0.4445,-0.411,dOg,cAT
CaT,110,-0.372,dOG
-0.477,503,wrsdjyqxvk,ckvbwapifj
0.053,hsikiepssh,-0.191,Dog
srthbhttbr,caT,szgbgmhcki,cAt
aykqwmsise,508,655,931
859,lahcrtacit,ucdazchzcv,-0.1515
ohothtocpv,-0.1135,0.4445,-0.016
-0.35,-773,DOG,CaT
-808,DOg,doG,wslurwomxy
-40,goixvdhthm,265,dOG
-0.145,336,-893,cAT
CAt,cyjxsmegvo,cat,caT
turyphhgvu,mpdvekgxep,0.2955,CaT
866,35,-0.341,cat
ukzdsyihkg,-941,Cat,cAt
-135,-0.0505,-0.381,CAT
255,eblybqoibz,admxqnryzn,dOg
0.2045,282,Dog,caT
hjwimeieqe,0.107,93,CAT
453,bfeblckjwz,bchafyrbdd,CAt
abxodsizep,0.2425,CAt,blabczywkz
0.392,0.188,CAT,cAt
828,jlgdutkjiy,wwxpcrxohp,396
bclcvdsjtw,ijxbvbhohs,CAt,cat
zmfyxukjuz,doG,ohfiqrihti,CaT
-102,-745,477,CAt
0.477,Cat,0.324,cAT
-0.3605,cAT,496,gycqmrsfse
DOG,Dog,-270,cat
gbtdcohaio,isdzdpiepr,773,cat
-560,-470,0.3965,DOg
-0.1555,0.417,0.455,-0.1905
-0.179,xnqwxsrgkl,0.4095,CaT
-659,-765,cat,caT
doG,-939,dmrmandjwv,DoG
Cat,Dog,-0.2515,DoG
lqvcocofft,-0.4055,-495,Cat
-798,oyrwswzvso,593,doG
-0.0555,-928,tbcwgvfrjl,doG
-0.024,cAT,CAT,CaT
udylajlmov,-941,487,dog
hocfwydtff,cywwilhrjd,ovudjnshxh,308
drjjyuxdht,-248,839,CAT
DoG,920,-540,DOG
0.3525,-0.0555,0.229,CAt
0.3255,bitveoziog,ftmwumwjeh,dOG
-496,-0.025,845,-0.0605
477,rzkbvibxod,Dog,CAt
413,-78,-0.4825,-0.2525
Dog,DOg,-567,dog
cAt,wvezfrfmui,0.055,816
CaT,436,-186,cAt
CAT,-64,cAT,cat
165,0.126,0.2925,ynnjdgdned
ylgdixrkfc,-474,-285,DoG
jdvyyqoznu,917,781,cAt
kbfswmhzti,-392,-312,Cat
