lmgmfxuvzz,sckwxcqkov,kgdezvflfx,PeT,uucutuuzfg,sennkyflxd
-23,-227,comiivtdkn,CAt,lzbfdtabmm,skgmbxjxtu
654,caT,ibxwqqnlic,dog,-0.305,-321
0.18,-500,dizkgcjmfa,Dog,-782,DOG
449,mknxjqpgoz,gycoqerluv,cat,0.4295,gckgdatrft
DOG,0.118,248,0.057,-0.442,0.441
vzvitvjdpr,-0.4885,ullpbqstef,Dog,-0.0785,-704
0.0375,rliadhmkhn,-689,-0.4015,-0.2855,CAt
-0.443,0.2575,dog,Dog,ogbtvdikke,0.3455
-0.4425,197,-0.1075,dOg,0.4605,266
zpxihiripy,ugxdrtfxop,mbtyybticj,CAT,970,-574
0.008,21,vjkfnjssit,dOG,0.221,cogvhcyxwr
dOg,sagkpzhrnj,kxkccsitrw,DOg,-0.3645,kjddynpxrc
CAt,-0.156,-0.016,Dog,omefutulme,escydjvleb
-899,643,eetmkexyzm,-13,-0.393,-897
DoG,0.041,-314,CaT,-0.2635,-48
-803,0.2155,0.4915,DoG,-853,tlwmbqxiln
-598,0.092,dOG,caT,CaT,173
uyjcnrrhml,-0.192,-0.377,vhaqwzlqxp,-971,772
yoqubyubkt,0.2545,doG,caT,0.1925,-413
-144,mlxzqiunar,-2,wlhfeakgzu,-249,ufswdnjlyi
-318,emngrmeebk,kufjfmygyi,jtxtszdeon,yrbhcrxawp,uvhrkygxko
-0.0995,CAT,mxektdvitq,0.2035,-0.3825,0.465
-174,-0.3795,455,-0.079,402,0.17
-0.1935,mgojoaidpm,0.0935,Cat,-768,Dog
alsvjmpkba,faviuxcpuu,-159,988,-483,-336
dOg,0.485,430,Dog,lsfjpyikfu,288
-674,-0.3425,euqedqpmfs,doG,jnyxlwbbvn,-699
705,gjqwcloefz,-642,osibivftyt,454,iyfmnakugd
rxpjzpywim,-0.339,cat,DoG,gacxntfynq,-0.139
DOG,znrzttdqwe,ktgkfjforx,0.4655,cAt,-109
-111,673,-277,DOg,Dog,-0.3935
dpmglkvjtz,xeoaqtampv,cAT,-134,0.464,0.1875
ixmecvlslz,pbymnkhldt,yuenbknang,dog,0.371,-958
-0.4815,jvhaqceipe,-0.0225,DoG,-0.352,fmvjkrljzc
CaT,-0.178,dOg,603,0.2005,qbtiibhtum
pnaxupgimq,-0.0275,xxuedgchrt,CaT,CAT,0.2355
rbvwgeutaa,gbujlfvuxw,nxbetuxjdd,CaT,lleezzulav,0.3485
-0.041,465,dOG,doG,ruiiqsgetq,-0.4965
669,cat,473,jfsoocyltt,693,-862
CAT,4,0.45,-0.256,0.4645,caT
362,-260,-0.2045,CaT,tbjmjuhrhu,supbweudrx
310,fleombqsnu,lgkurzuypn,Cat,vnhfyufwwn,Cat
khgurkbljd,0.3885,306,cAT,-852,qamxshpoeo
hqzfoukkih,-0.4865,-0.1415,74,-452,cAt
hywsngstpf,0.0885,upyrfobiin,dOG,-0.154,veiavfhdrz
-89,-668,-625,cAt,-174,-0.2995
0.182,polbbacrll,727,dOG,210,0.0905
DOg,qfutalwjby,0.276,dog,lhubzhyxkw,imorupbjuj
764,ukxjlargrj,tiniobrkpo,cat,-902,cAT
Cat,veidbdzpba,0.368,cAt,-0.422,dOg
938,50,133,Cat,DOG,dOG
949,0.06,hyhkynarlj,CAt,emldrkfqel,jxzmxiqnjh
-0.36,mbtaemaeor,dbswinwccb,DOg,caT,fzenopvitf
-220,tzvurcmvwx,0.244,DOG,-0.4955,xmusopfrmp
przsratvpn,frypyhmauo,0.3465,CAt,kkvxoiomgx,dog
-695,-67,211,CaT,0.3655,xxprdhimsp
0.2405,265,mijdhjtznf,DoG,sfxwwapzgc,-182
yztvreibrm,sttfsbvbjp,0.265,DOG,hooxxwrmdg,0.037
gkzvdmyerw,bowofqslrj,DOg,DoG,haflvasqyd,-792
wqjvnathze,-594,lsbhveirxn,dOg,iognkhfabo,cAt
pwubfbdlxs,-0.0815,doG,dOG,ohoytaftuz,-0.266
-414,-0.018,Cat,dog,-286,-824
DoG,0.383,hdfzuoxqha,CAt,0.2645,cxffhxogzd
zqplmkzggg,dOG,dhizcqcocb,416,nldlqfxnge,rszxhydxqx
jruqsjraag,vayldeoycz,-0.085,CaT,0.261,DOG
-0.382,-524,-0.199,0.262,cAT,ebvosjhkxu
-0.4095,CaT,-137,Cat,qeujflksrr,815
dOg,kaqgilbrde,72,dog,0.2165,-714
-995,0.2185,-157,gzbtqyfmjy,tccmhrdjzy,-0.4135
-902,-0.0525,dwgdvmngrq,cAT,CAT,0.196
338,dOg,zfhxmnldyw,DOg,343,0.127
-0.2305,-0.4525,-0.356,cAT,0.4225,-932
147,96,747,csjkuieaps,0.117,-0.244
708,79,0.429,DOG,232,aahhennhnd
yqjwycbrye,yqkjnoauob,-854,caT,383,0.0765
mhnjhbzqzb,34,0.0415,CAt,-764,CaT
qbvichsntk,-694,DOg,CAt,-221,-0.164
-111,gnohxgzxff,mzyzwtlxpq,Cat,-550,714
ufqwqtmvlr,684,dOG,DoG,mmdaxaodun,-0.0125
-0.4785,DoG,0.3545,jkekshoyuq,evyfzgvopu,Cat
-376,sqqlgvitqb,CAT,cAT,-0.114,gvgukskpjr
0.301,khotcgxsqu,dog,-0.404,eypshzxqcs,0.32
-849,-0.1285,365,poeyfxhsyi,zlilivvyzl,898
