ulgwcistsc,vbgtkwjdjb,tdvopayubf,niusvmalvq,issjocqtcd,hxgondrxoy,gjexdyzvkv
0.215,qwmnwnkixd,dOG,986,0.2315,0.498,dssahcptje
dOg,251,odajlwwaah,0.1955,244,-0.001,nqvjbcloos
0.136,grctbqmdcm,uqaacmmdqh,gnzukswglv,hdpvcegtcl,0.3125,-471
-625,0.009,DOG,clfmvphxmd,nevvwyofib,dOg,CAT
951,-0.059,DOg,615,-0.4445,378,-324
CAt,fzaiecdabo,agyuprugfr,0.4095,-0.4765,-0.167,CAt
-0.1225,-0.4415,990,dtuzjklexx,-630,doG,jvycafzcye
0.222,-527,cAt,CAt,721,tszbwvnutm,-82
nqbzkytvuc,-615,mjaaytvxll,854,-0.0715,Dog,-0.2245
-0.3015,cAT,691,-0.423,782,clsphknktq,-372
nxvfmlppmj,rctvxixwib,cAt,dog,-232,-0.4095,ksqpddwohm
-0.146,-0.349,Cat,htcqfxtigl,qjmppnwrvo,-0.345,329
lvkqurmgxg,dxshkpdohi,896,677,dewfnjnqyn,-529,-431
ndfpbrkgxm,-0.251,hboqrxvmbh,DOg,avqjzlqazb,wdipifgibe,dOG
CaT,vhpqmpnzgm,CAT,-719,votcgtmvbs,kjocpaugdh,-612
-207,980,-0.4495,0.047,912,647,-0.195
-0.211,13,rzbxlyxqjv,CaT,dog,cgdkcmoxwp,0.108
CaT,-0.149,-552,wwrjxpexbt,cat,269,-0.414
94,wygxwlpokb,Dog,549,dOG,-0.2275,-0.4705
904,tklatzbqze,lvanestkly,vnfglxaoqq,CAT,-0.1445,-0.184
pbwdozkzas,-897,-0.184,smogfwpapw,pjciqevkci,0.046,-806
ukzogqzukb,cAT,ycokjbryza,-0.2895,-0.317,-0.0295,dOg
0.1895,0.2215,0.4605,dog,sbkdcyctsk,-298,slmenfunaz
