lngwotjebv,melyjgpobr,ddtjitfevf,dmzhbdmlof,crwryymfol,chfqoznnlx,udlsfijwpl
semoxxdend,-500,sfvufsoejv,153,-229,laukrhvzjt,caT
-847,-0.22,ftcgznthsk,-309,-0.2815,636,CAt
-0.3785,aowtqloszh,nfepfjtvmf,kdwtodanho,-0.3865,tipuudxiku,0.156
-435,0.145,cAT,Dog,0.1345,879,slhncuduxb
566,-0.1165,21,cat,-619,0.496,bpputwkkak
0.0995,doG,323,rqnxpfhmdi,-260,115,455
0.3475,936,-0.4165,lhvjizlstp,973,651,dog
Cat,0.02,42,-482,-0.3205,337,wqckowklfn
-959,812,mxbrhiruvq,hcbnwiwmmj,kbvrytkdvr,-0.0305,43
gegnkctkhd,-0.0555,qmhyrjzfqx,0.4995,-0.2795,lvqpicnjoz,jyzercovsr
51,-0.2275,31,-0.4855,DOg,dOG,brjvpxvbii
ugxeyknreu,DoG,DOG,cat,0.24,DOg,117
0.1525,603,0.1615,CAt,156,jgkhaeybqn,-902
yzqlrqcour,caT,0.375,0.1415,0.031,721,CAt
zffhnnxiuw,jclrgfvkps,-0.2955,cAt,nlufutunck,0.2385,kcrmdqtikn
vzclrhinzf,0.422,924,561,cAt,izlhghzzyv,-0.362
nchyakicna,dqffcwrcka,-162,0.4415,oqjlbhtntb,528,hvqcrmndxm
0.0105,-955,-741,xweqarpxqs,-0.288,cxfiwakfmu,qeukgybxpg
gpafdlhldw,hiuazjnmli,Dog,517,169,iuhleytoyg,lgssbhywji
CAT,oadlyalibl,-0.4585,0.254,267,-61,-0.4345
0.146,ysnugyakai,dOg,rtzmzdveuw,doG,cbyviefyzm,ojmhxwpxpd
-0.1325,ylcjqklnwa,cAt,dOG,pnqteuxzym,25,ujiloozvho
11,0.037,0.25,ktnvxrqcxn,97,ibedtznnpb,cat
599,yweykcrigl,0.105,dOg,-0.46,lebrasegih,0.083
-0.261,wwsyrmoalc,dOg,mnwhoxwrei,0.103,-581,-0.1395
996,hafgwfuran,-0.459,0.374,larwdxdxim,sgdylqhprj,-0.2
693,0.249,-867,thexioklsb,cat,-222,0.417
0.481,0.1495,-584,pjwoajtanw,0.491,fvcfvvegef,0.39
-274,-0.3995,0.116,-0.1775,DoG,ywbfdewkdt,dOG
118,-721,tqvseryecf,tzkikmkqpc,dlgrlzsxfa,Dog,619
-0.028,848,Dog,trxdtonevq,0.4425,907,CaT
DoG,xpomndnaga,0.3845,-354,dog,pdixdjxudf,736
0.2335,dOG,DoG,cpcmmrtokn,qmkngriuum,qytpsgcabs,-0.1375
-106,cAt,cejdinpvge,-0.1505,780,-835,713
zzkzfnzncz,0.154,0.214,caT,fumhovnfqy,21,-249
CAt,-0.2585,rreafcfjxq,doG,872,0.4705,fcjpuotyme
rzodrobxns,-633,baiwiermrl,827,CaT,911,-0.3955
-967,-0.394,-746,csuximjnwc,0.255,dog,eaydzkqokf
-0.307,grassvpasj,cAT,-0.482,vqrzkxhnjw,dfltfnpqes,-0.426
CaT,-0.0145,zlcsdyejvi,dOG,66,orsmwpbssx,wdtkannern
-448,323,0.4435,0.2635,soyanwofat,798,-624
0.2835,vyvbikhein,-765,-0.0255,dog,-928,pxqxpjsxmo
0.4735,0.2815,bcnhvtaylq,-907,-0.423,CAT,335
0.358,348,zdpvabobym,DOg,cwmzybiffi,0.4085,-0.479
-0.2275,0,0.291,hluuoozsqi,-394,mwxpnbjpqe,0.139
CAT,inlushdqxs,cat,0.027,qsarmayldn,-0.286,-0.1295
-0.1315,qazjntsyvn,doG,CAt,cat,zoapxpurpa,mhjdlkngpk
-758,tgxdergbqp,277,0.1195,CAt,-825,xnjxvyzfzl
0.421,newcspmbcs,-0.2245,785,zhmwjnwkfz,0.2125,-0.343
795,303,808,953,-0.058,nqubfuwmyr,qfchrtcpnz
-827,DOG,0.165,670,585,bwmncfbfbd,bupvdeecjd
108,162,qqmixfwjfs,-971,826,wdbmdarbco,0.4755
-0.4815,0.1815,caT,414,DoG,doG,-0.4385
wsjjvleomm,866,cAT,aoemcjbqqj,-972,dOg,0.391
274,315,-0.3025,qrxkaaqday,735,dog,dog
atbujiwfcp,mitqmnkywp,865,-0.436,0.3955,dazddslaml,mwmetcmwuk
kzluqezqbg,-0.0395,-0.155,-644,-811,lfdwfmwzeh,-0.4485
0.199,-0.3605,835,ptndupqgps,nvtiogydtt,mpnrgjlvqm,-604
dhgpqguwql,459,0.152,0.1355,0.237,cAT,-289
dagcwwndph,gbjcslsqaq,CaT,0.4595,0.4645,199,-0.0185
0.1345,-0.2525,Cat,fqpkzntese,caT,0.0265,78
-0.372,-507,wuggrmtchr,0.4055,btgkctxrad,DOG,dog
-200,207,0.25,DOg,njkjokilvs,hrilluytdt,-0.3175
DOG,0.4235,CAt,Dog,-777,0.0245,uwvthqlpho
0.3795,591,uhfwjaondn,-198,885,587,dOg
-0.406,897,dnslhvtsqn,drazvyuzxg,dOG,-0.4145,-891
0.354,zzocozsfml,dOG,fngosearel,0.2345,ntzplfmpnb,0.386
kifulthnfv,652,384,nvflzrjvvm,578,-946,qkhadiksio
CaT,-0.4805,-408,0.21,DoG,0.3685,lxtxqzgpsk
-0.051,-469,892,grlrjzajfr,-453,0.2075,-0.0715
cAT,0.324,0.369,ywbpnqsgyv,969,963,cAT
yfacovfarr,415,wqvunbhioz,rlxbdtcqgp,0.387,kjsefjkyuq,0.2785
dog,dog,-78,DoG,wqufutehju,-0.187,0.0155
vukarctsab,swgtsbqpid,dOG,813,0.4055,jrmmiusqvy,jhcdrbwwkn
