bizqkodgoq,zucgafppaf,pET
rzibzkbwls,-0.24,CaT
-0.3415,CAt,CAT
174,0.2755,CaT
0.411,-265,caT
-0.477,-17,cat
doG,870,Cat
ogkvhcrbuc,cAT,676
CAt,-658,0.039
827,izwngjiiao,dog
0.2845,DOG,dOG
0.0055,-0.219,caT
715,0.3595,CAt
dljgcwzjds,438,dOg
946,DOG,255
dOg,dkmfpicikx,Dog
486,CaT,cAT
-600,lyeaaszvwx,-0.124
cAT,dOG,caT
cAT,-0.444,638
0.1105,CaT,CAt
-285,zkotiaeuog,dOg
jjfkxxyagy,cnoudrnsvb,dog
ftfvprsqur,dOg,cAT
-0.054,0.207,cat
743,CaT,Cat
ttonfveuik,-0.0785,mwzcqbxvek
308,0.063,dOg
dog,tjqnpdceyc,kzfcnbwhoq
64,-0.2045,dOg
748,dOG,yeyldomoyh
0.4755,-919,dOg
csylbgqily,0.17,-0.082
461,DOg,0.2235
239,969,cat
548,loqjmgoocu,CAT
cAT,egnytbacyr,-777
-0.202,-0.424,0.315
-0.404,-0.464,Dog
oxpslkdgsn,-0.042,DOG
DOG,0.1285,-881
cAt,-0.1175,DOg
CAT,-0.3945,fqdpdhxsvf
-0.361,cAt,DOg
dOg,-637,-0.2385
124,Dog,dog
pbyabokbmz,DOg,dog
-0.024,0.058,zioylndxjq
-0.4495,twywizueze,wutkjpjdli
225,umnqmwttdn,doG
doG,haqqugalwn,0.3415
0.3595,-0.186,DoG
odrvrbylla,0.2475,Cat
cAT,527,doG
jojowefvlo,Dog,doG
0.357,0.212,cAT
0.4165,dqtatlxkmd,cat
952,DoG,caT
-0.4055,-744,caT
doG,brpukntdvi,dOG
Dog,DoG,0.285
-496,ehadfkthxd,4
lkpppuvcnb,228,dOg
phafxtrovs,agtkudcxeg,0.2575
69,cyckbckuik,cat
0.424,0.097,Dog
jafmphyefu,-954,Dog
135,tnzavxiizo,xxuksmoubw
lgkitksqvf,109,DOG
qaxcnbmsdg,butgeogcxx,DOg
DOG,0.1025,DOG
0.168,-507,Cat
-313,dhflivioyf,DOG
