azyuuxsuld,bimdlliwul,ytgviyscoi,dqwycvejij
agvrkopwmr,rmrzlpvcxv,qumtmxkjdf,xnuptgudxt
Dog,466,-420,Cat
-0.281,caT,-0.0445,0.0455
771,179,-0.279,bwlmvimdrx
cAt,mdsuakhdrz,-181,-215
nxyniabwfi,0.201,-0.082,pehyjiocze
onzflpuyxm,155,86,Dog
0.059,653,5,-667
457,lwbpotffpi,-844,ndhwqfmdns
-0.067,-0.02,0.179,vqslssmwut
0.123,-732,bsewcdltcl,DOG
CaT,0.008,500,lhrntqughh
-708,-0.1315,nhbqosbtbh,ikklmmjgdb
784,-0.263,-0.3105,0.443
-556,dog,ojgokbyavr,qosjfttdhi
-0.194,rawwxzbdkc,caT,0.277
DOG,0.325,-950,xigtxjrzqf
cAT,uaatclinnr,-698,-414
-944,0.0915,fvjvqqdrsd,-242
stkoxposfz,-249,223,0.4345
eagfdjpoos,vilkkhfyud,qlbguglhfh,dog
-965,dOG,0.0265,0.2365
-0.47,0.3515,-0.059,mqliirbqfx
344,DOg,CAt,dog
-483,dOG,DoG,uwmzqrqlzu
546,pmecqmyhdd,qlgmtaicxc,rglmbmcndl
jgupgczier,-0.34,zkjhwisolf,rupjqatnzy
377,CAT,kzfhoubjba,0.226
549,CAT,0.1185,126
-0.0945,-424,-0.3035,281
uqdoshthuw,890,uieudzejtm,-0.2825
dOg,qjivkniqdo,-875,-0.497
67,-996,Dog,vqkpsnpeer
-257,185,824,fpswklwjyz
139,szftdvevet,ftcyqhcyas,-298
nadkmafrrn,enemkuwcmi,289,zymqzigqiq
cAT,0.3575,0.432,xatchygbup
0.3105,0.4985,0.4445,qhkiggvfqd
