ypmrzdbjzg,jktppfzzcw,qbomgqtshl,yoatgcivoy,Pet
805,-362,Cat,-795,CAt
-0.208,caT,DOg,0.1125,-914
0.1145,CAt,-95,-0.038,Dog
tfmnemaqjv,xbqymdrekq,-0.325,-0.304,dOg
0.039,ubkdttknnt,-0.14,-852,doG
bxaadgkclq,-0.4985,jirvhaojiu,624,dOG
DOG,oqdwkczsjv,DoG,dog,cAT
0.069,967,-0.2935,wmcxcfqtrb,DOg
cat,Dog,-0.3325,dOg,0.472
614,-685,dOg,268,-743
-0.2375,ipwxftbvnr,0.4785,xeedbjrsor,CaT
ghzvgzsius,-477,CAt,dOG,DOg
aowqpsfpbd,CAt,409,357,-150
lrphmmvkhf,-0.2985,-173,731,-0.356
47,0.2425,-855,-0.3835,CaT
DOG,lnrxnxxqvi,484,59,cat
imxdwwfoon,Dog,cAT,muiivwconb,eesmmfkotk
zinykxtnzh,fykzdikxla,dszmkhpxjd,-0.3685,dog
-0.163,289,-197,ndfbfezzve,DOG
CaT,udbzgvxiax,zuolbrlbzb,-498,-0.084
-525,Dog,-0.052,caT,sewwgtxjyu
DOG,-741,0.0315,-970,-366
otswthdbyw,577,csvrvgweka,0.39,cat
-208,-249,0.3085,0.1935,doG
svhvmvpnkc,0.0775,huieesmjuu,0.141,caT
bnvxehcefb,-470,yhrfmvebpj,285,godlnvgcsj
323,321,-0.3795,CaT,CaT
-85,hgihnadjbm,988,ustigjtcjr,caT
-138,-0.077,-260,baetcvxhxe,cAT
0.1595,mqeraqnjta,804,0.269,DoG
-842,cpkfmqtfjz,561,akltesorut,271
