wujidkdbri,kaputsebkg,vwaxavagob,lrqwogqxtq,cgjulhsdxo,tqyhaxfpot
-129,cchidqqove,tlszagmrry,fcrotwrcdf,jwhqvtadsa,0.165
bdsounnjst,941,-0.3135,-0.438,-0.2455,-332
nenrysphmt,0.446,devfkbcknd,-762,-529,-0.4745
cAT,mnkwlcsgbc,CAt,0.2705,Dog,-350
400,665,jgvwhbzuis,-243,-0.452,ldirrxgaic
-425,hwmwjrqlwe,134,463,457,-0.302
0.435,-0.458,njnsfsierr,316,CAt,154
-0.333,CAt,ynqzeyftrx,cAt,0.4715,alvtmgqwui
-940,-793,11,-418,Dog,-696
-0.261,-615,0.4835,-0.086,zqfaxyibsc,lmtxrroxmt
coxpwmyrtl,-898,-0.451,ufgrgqesjh,-84,0.295
ibuehaebde,jowhtluqmd,266,-638,wjoiafzivy,0.228
dOG,-0.2825,0.009,chtrkziile,-0.4525,CaT
544,0.1055,prqfsqogeo,0.057,644,-320
DOG,nefngzjcns,373,cAt,fddltijihj,0.312
smzobfvpwo,cAt,wcgjflqzzp,100,810,amfsrucqxs
0.372,-0.4495,dOG,754,-0.344,-0.2125
-308,-0.481,-841,-0.0145,-0.35,cat
624,emzsfwcepi,0.4915,vttfmjexte,cAt,cAT
-0.0915,0.4925,0.0595,uwcbgpxeaf,257,doG
0.417,zkwbimjomz,-0.4355,-0.2825,-0.172,-158
doG,-0.4295,-0.04,gzmhanritp,-329,dog
mnbpzpekph,-0.4235,-0.4785,dofkklaosc,dOG,0.1375
-0.271,caT,-478,-292,558,gahhkdxdzc
-0.0045,ewvnypijeu,lbteyxeume,-0.3855,-639,801
-485,741,-607,dog,balaytddrh,0.0945
cat,-0.066,keprpkienj,0.3745,haoiatfofy,sqpsfaapip
-497,qybjwnudbs,-323,315,-219,591
umbggsvpqr,sebulpzwmq,bozxjevlba,drtdhxvrhz,799,-0.482
0.0005,-0.026,-789,pqkhzaopcp,-666,-610
