eerrtuogml,bdrkjxghhf,riliqidifv,vrbveoolmq
-0.35,-0.333,75,-0.397
-351,0.318,qssiqpjozp,922
dwrouuulqz,CAT,924,781
fxnrkwzrce,0.035,kycpyqngai,xaulyebsvr
-0.18,vejvpjpupa,DoG,Dog
995,jfdntfibxu,55,913
tbdnmxrlai,xpzvwoepdz,-447,-0.2145
hgrxypilia,dOg,884,Cat
gmnsczhyna,CAT,-477,0.201
-390,dwqqbwjytb,DOG,-0.3045
ugmbnjdbzg,fgzgqngztf,538,dOg
vpvtalckbk,DOg,0.3855,-0.2515
rtayofimms,faiqwofjtd,159,0.006
-719,cat,0.008,208
wgysebnzrj,sebcreadxn,nfwgvlvjlz,382
-571,573,-0.025,vxoqaijhap
-326,0.1395,757,289
dog,-518,pnhzwcsuni,-0.1555
0.462,-160,cat,msqcftgrxk
-780,231,-0.322,panxshbhwa
-257,DoG,0.2285,798
DOg,0.015,-0.356,DOg
pfgjdojuux,kfzxtdzldx,auamdvezrx,DOG
rtwsfczedc,-0.448,doG,lrpwilbglz
-716,-0.073,cAT,DoG
zbgjnrdlhy,doG,twrjvnswnl,DoG
wmoslokdgr,-752,-451,DOG
vdwlvfnulf,0.277,-0.234,325
dog,883,0.3385,-342
0.3885,Dog,787,dog
0.216,0.2785,odwuhyfblj,-0.0125
dog,0.3535,vdwahwgryi,agjwkquszs
-554,547,822,335
cirzlvouhp,938,-0.2565,0.3385
vsfblizhyw,appmlwzrek,Cat,236
9,ywuqrjvsaf,489,206
-98,bknzshcwqw,-0.3195,431
-617,-0.2475,-33,-0.286
-414,256,dfgehpvdib,DoG
tgrjklyyfk,CaT,cat,cAT
-0.257,-39,dOG,bwmywodayx
dog,opcisvmctq,lziylwaqfk,724
mdgfaiqpzp,zqikqaecgq,qltbfgmsyu,dog
0.3945,dOg,-122,0.4635
lsjkelnweg,-52,llasknjehr,CAT
okfptdfxjy,-0.3685,cAt,0.358
-918,338,beswyvlgly,doG
141,26,fvsmkkfcom,CAt
12,fkqlexhjuj,0.132,0.102
pbijrlqqcn,rdfmvcgkhl,0.0455,ozwcudbdbx
-443,wfsgkhqqzp,0.006,ojkbvciqer
0.3345,luqcvkwqca,doG,0.104
0.0645,-0.191,hcgymdnpmy,0.214
tkgjqexteu,ypqioegnsj,cAT,nasannbcdj
