PET,errprcbxfj,uomitaxkgj,jugmkoxkdo,gjsldkpicd,coiazaawbo,ansgvbxkdj
-0.1805,-504,mkeckrbncd,oerayxykzp,148,-0.11,-0.4515
cat,Cat,Cat,njopclazqg,trcfiehlrx,cat,0.085
CaT,982,dOG,hubcnykskh,-222,DoG,0.0815
-48,-320,-321,73,rbgxmtbbpi,spjhfqxaap,997
dOG,tpbqxjmxsv,-0.421,nayormcgos,-0.16,gsboxwqtfb,CAT
-894,wnpyfkppcf,CAt,CAT,-0.024,-0.405,0.458
DOg,-279,-0.4035,eqewmdjjww,214,tndgdtmneg,dhikpwnwow
Cat,201,0.4315,335,xpzcfunscg,-242,-416
DOG,131,-807,949,ixnookggoi,cAT,okdcbaeffn
DOG,-434,spawineuiq,ofuvnmswcw,0.032,-16,-0.437
dog,0.1045,-764,0.2585,kptfktieah,jvnuaxiuxb,-0.478
Dog,dOG,-21,0.2905,419,vmuacnwcix,-0.3715
Dog,ccibsmbeqz,-809,zmdukyqlma,-0.281,CaT,-0.0895
354,0.4765,656,-0.4655,0.2065,0.23,0.433
cAT,-0.352,ldfildswia,776,-0.2315,-895,cAt
Cat,DoG,-0.343,607,CAT,0.092,rbumakglns
CaT,-0.0875,dqciksaktp,DoG,mfclnhxrhl,-248,563
-282,0.2935,-0.2655,-0.203,-527,ghkdkcalev,cat
cAT,-26,945,0.0845,bsuvqofzme,317,vtvxqkjnkx
CaT,-888,0.3755,-0.387,DOg,coksbfkubu,-0.0215
yjlelpdvlq,cprjttcsqv,776,268,0.217,0.0855,mhidrukwqx
CAt,-0.3715,-6,-0.155,0.3165,210,345
-171,0.4405,780,zmkzgwwrur,188,-0.034,-0.2775
CAt,olxyaodzld,-902,0.157,0.31,-486,-221
dOG,-0.383,871,991,yhqysuxyxq,0.3065,gxgqfkjzpq
-905,-0.073,lpqhpqfpiw,219,dOG,bxugczejzb,Dog
CAt,caT,809,318,81,dzupruhuma,doG
DoG,0.387,-298,nsbwzlmnaz,-494,doG,0.2465
CaT,-720,DOg,0.486,itrwttbzpb,0.016,807
dOG,dog,-737,qsuwmqbokf,0.4685,759,nnfzdbeyqf
dOG,0.1705,-516,0.3195,-0.4375,-0.071,0.1355
147,CAt,0.402,ullsdkkdth,cxcljzxzcd,-473,dOG
