khlpsuieyd,mvgoenwgoy,hruhhauquh
-408,Cat,CAt
-0.031,dOg,anjawqvgnf
qdwbdjgdlk,jwyucwougv,CAt
235,doG,578
-0.0785,caT,417
dOg,ajjkwxjxgh,Cat
DoG,-49,0.1345
0.1845,xvqonyrzci,ixjsenpope
dOG,-698,0.4425
-0.189,dog,-0.264
-0.097,-562,-25
wpcprnuomo,vbhtxdjzcc,-198
zlgzxvjydv,0.0095,0.129
cAT,-0.4495,dOG
-0.0795,0.0995,761
190,347,mqokrngtxm
0.316,0.15,451
DOg,phxupucvoc,-0.3835
60,-0.078,-629
531,-0.4925,361
xxmhmddejd,yttjuhlbju,dOG
CaT,835,0.0305
ovlwmhrwpt,ulcgezyvwq,CaT
edlwlesfui,-0.072,cat
yucbyfywdy,-883,-517
599,Cat,xaalblulzs
nhodcoazda,cat,rmegxvequk
cAt,-0.393,0.138
-0.094,Dog,tmohjxqrvb
74,-0.353,CaT
973,0.133,0.151
0.303,-347,DOg
301,doG,-0.284
lqubnqhkxs,-735,-0.169
stdncucgbl,CAt,936
yrxrihpwve,dOg,-0.4265
-0.0075,Dog,cAT
dOg,-0.1355,DoG
cAT,0.0845,-945
937,yquiuzgxln,0.131
krarxkwivw,0.075,CAt
cAT,-0.41,dog
337,744,dvlrfkaqen
157,860,-981
xgnhbmolph,mddzaccxsg,Cat
-260,-650,Dog
juecvvhbdb,eoannazohp,CAt
hjwdepmzmd,buttturucp,lcmlhhncdz
anopbtkxee,-930,-0.377
0.085,ppbvaqavzl,485
tebxrraojc,DOg,xraffiwaeu
-0.007,0.4445,-269
ceepeydtpg,dOG,DOg
rwhmpfyqen,-0.188,847
0.4025,pzhgplxoja,cqimppvoki
