onwpfaqbjz,pEt,xuulrmkodr,eqwkhqgrmi
-0.125,doG,DOG,-0.271
dOg,CaT,vfewhrlmdx,CAt
dOG,Dog,0.14,-486
ofuuuhafzp,cat,0.372,-0.3775
shplerzilh,-0.268,-800,536
cat,DoG,xtallmzqdm,503
bkuxbvbzmm,dOG,pxqqlhldok,dog
176,0.4785,tniamvorpe,0.1245
-84,7,slyhmkwrcr,xcxgnyymlr
dOG,caT,gxmjaazdip,-0.161
-0.12,-141,jzexqokalb,-0.3725
-712,0.394,kihxniqdlx,0.341
-956,cAT,597,CAt
0.123,CAT,32,jsarnlggpl
gaamqtadlm,CaT,46,-488
0.3615,322,-0.0395,0.344
818,dog,-0.1205,-0.269
msxppghwxe,Cat,-447,-921
kdestaddjd,DoG,-0.0895,bikgxogdaf
-542,cAt,385,-701
784,bowaqjkgif,jnqdahexlq,DoG
lyztkkkkqd,yfhqpeesei,0.0225,xusoinvage
0.31,CAT,-0.091,svljszihbu
965,nnakyirznz,-553,yclelyppga
dOg,-830,673,0.302
DOg,cAT,-0.301,-0.261
984,DoG,cAT,639
0.3385,cat,-937,637
Cat,dog,bbarbejjgo,5
-0.241,cAt,mgzlmlvocb,qmlvqegldc
-656,CAT,704,0.106
CAt,0.132,qriteodmli,pffnbhuxiq
ygmmclobua,140,-0.0845,0.072
dduigyzvwv,CAT,cat,-0.134
azsjjvzygb,0.364,zydjhmaizb,dog
rmplytugkb,dOg,nfudejhhzi,0.2885
mrvvgqxrsf,-0.403,-0.088,802
DOG,CAT,0.381,DOg
angxbsmaeb,-0.4555,pbyqmufics,tvkjwehvjp
Cat,dog,kfpdpzpipu,-0.059
dog,cAt,aziezalohc,-382
379,dOG,epmdzlrxmg,axwxvxfvyw
-768,Cat,kpyxkfgwir,-0.146
-229,DOg,DOG,gofvwiisis
gdjztbkkxp,CAT,0.03,cAT
mhynuhzsxb,cAt,mgzubzogbs,0.134
-0.3605,DOG,0.4305,tpdwblaimz
-743,-0.1635,mzjwgnycgi,112
pmynjnwqkt,-40,699,jnytzxzgzt
cAt,cAt,-0.3725,Cat
caT,CaT,996,0.4315
xenrmqqxxy,dog,hhfgtmqvkm,ehvgwmaqzr
zvvzasuisb,dOG,125,atkgorrxyd
CaT,Dog,-765,zbfwokxmfx
CaT,dOG,174,dsvlzzzxrj
xtlaupvxer,doG,wwekakncan,-0.154
0.4205,gcghxzruek,-110,0.4725
-0.4195,-610,puonouqfpa,cat
0.485,-208,DOG,365
jufmyxvrnt,DOG,-275,0.181
crxubxseek,DOg,-0.289,-831
-0.203,DOg,Dog,637
