gyxqmnmxvp,fptybvnrtb,gkilohfayq,zoxzakiyjb,jnjqdnhxyg,tvzomzzoez
712,0.4845,122,eudmfvyoot,203,xjmsnaekiw
qntyiqgccm,tjtvaeajll,kcxwjkvrhc,doG,-0.0275,0.3815
mlrhpakxth,errkhwjccw,0.346,caT,0.487,Cat
lzscfjewpe,0.415,-962,-74,731,DOG
-0.028,104,CAt,-759,DOG,-189
-921,doG,qadufukhoa,-0.498,kbmzunfsln,-0.1815
-0.4655,0.0155,-975,uooifcaued,caT,dOg
xcfnbqoiwp,-126,0.021,hhddgcfrtk,kehsdudtxz,cat
lpfrzffrem,0.161,0.06,-0.3405,-0.314,xboonmdcjf
xkfwhunxaf,wvbrcsvhok,0.4175,-0.126,jliwdvwiyx,zqzocrwiur
752,-342,cuvswijiyk,dnvsannfsp,97,-338
-964,cAT,0.2825,dog,txbhaepzrc,627
0.4355,oslilwqwag,-719,882,lizvycybno,zdltqlnect
bjyqoawcaq,dOG,0.138,0.3615,425,287
0.2885,dog,bpbkfejcxd,-720,0.305,-310
uuuaxuinpf,0.419,amjbndmpea,afryihzhom,0.1705,-435
dog,-0.3175,0.4795,mjxadogqjx,0.4745,DOg
xbhbbhatnr,teokgipfhd,-0.15,DOg,akzglqtmpv,sktgledzps
szlnvpcgkf,-0.433,693,caT,CaT,xslgyfcytx
CAt,dOg,knpbejoqrd,0.0025,260,-0.152
-0.364,cglmdywdrf,xxyjkrvwer,-478,772,-43
0.3225,0.3335,-503,0.4075,bxqvdgikqm,-512
-0.224,-101,0.31,qfetwcyetx,0.2935,wbajvcersn
dOG,zobhbknixf,0.4565,-624,aqtpczoexd,711
-0.2835,544,-495,0.047,zcyxbrxbrl,-0.357
0.3795,772,zgxwwgfnji,-539,0.054,sxmevwxzgw
0.4365,-0.1265,0.1975,-97,294,exrechilca
-682,adtpfsnyrv,caT,xhgewczpau,-0.29,-0.493
DOG,827,gbbelqahuw,-0.444,0.2865,cat
hrzuhyuevh,-0.0305,cAt,-0.2355,822,-626
Cat,0.2585,xnuftrougl,-0.1655,0.0275,-0.121
-0.1585,-250,-782,-0.3765,shqxssxrop,0.386
dog,296,660,-137,0.07,dOG
utniyebwzb,DOG,zjfuctnmiq,0.418,rmgdupdoed,cyxsemudig
bcqqqjnzrc,obcdnyofyj,caT,-788,CAT,0.2215
55,edbskivylr,0.0655,DOg,-843,doG
-370,-0.413,-0.403,0.3955,-0.129,-0.4345
585,675,qgumesomgo,-0.4415,DOG,453
qolttyvcok,-282,860,0.024,-215,xzjdikjgix
975,ebswzttfdn,-222,0.4195,585,kdpeafvbbm
-848,utzgycrvzo,-605,0.2565,cAT,gmfzwcovwh
-808,Dog,-19,yefnctobxv,cAT,DoG
CAt,dog,146,454,0.4055,-0.4985
flnaiozgnu,-663,jwvwqzyohe,CAt,CAT,uipwnxxpwe
684,754,zxorfpuwgi,-949,860,cat
cxbsgrchsw,-439,akvjvhiwcu,765,0.2885,0.1845
dOg,dog,0.106,Dog,CaT,knfsfeekfx
707,dlbgzvgluq,259,519,0.152,bgmdaqitdy
-136,0.2445,ctpudopduw,0.168,-0.2225,-825
0.4135,eqzfvgsqmb,51,0.499,-941,dOg
-1,otvffxpabl,amsyumlfkp,473,-0.4715,0.351
0.1895,dpfpbfhhcr,xkdlhvjuiy,dOg,nopayrepto,xhedpxxebp
313,dOg,478,645,tdsablifli,722
-247,95,-574,kxqnxwpqrm,cntiqymljm,musfikbubv
0.329,-359,352,xikhbypsql,dOg,-0.267
-0.2395,41,CaT,-233,0.041,-0.104
cat,906,atqmbejwem,cAt,DoG,krmjlxzeop
