iamoiuyifv,pet,tftrapzpop,vuoqrhoopt,ofguwujzyu
-0.223,cat,-0.1425,Dog,hqeudqepzw
-0.4115,CAt,0.2475,0.448,0.2225
ircfcqtkdp,caT,-0.3765,-0.469,Dog
dOg,DOg,-0.018,jjyuhkfwme,-0.345
fahkthifrj,cAt,-0.128,gdeptvmofc,dOg
-690,DOG,0.039,0.3955,ghkuzzsgzk
-159,0.1815,-101,-0.471,0.0705
0.479,DOG,-554,cat,-870
gutmpksdcu,cAT,-0.2045,podwxnbcyl,qkqsseuned
336,dOg,-38,0.263,tdahnovlng
roktenvesn,dOg,nbeybmokly,-721,Cat
-939,CaT,kdlspgiiqn,-244,-0.4945
CaT,Cat,CAt,580,119
-0.2325,373,dog,-548,lwcvnfbilq
yrhbigtwif,Dog,0.3435,-0.4525,-156
629,CAt,yyhkahwfzk,-0.1085,52
-206,dog,mjxbudbbgg,-0.1605,Cat
-172,caT,601,dOG,0.0775
83,DoG,0.427,cAt,297
DOG,cAT,cAT,0.0565,DOg
czmkapffik,DOG,oswsiusrot,0.4015,fessoxwuup
-434,bzaltjgvdc,-0.2715,-571,-360
0.4285,DOg,165,tvatzvhhar,DOG
-176,DOG,Dog,-799,0.1555
CAt,doG,zctokzfard,fzmsiqmbvc,mdzbruwyqe
