tjdcusegrn,mcnsroanma,PeT,hsssnklwlj
nxkdfighwg,0.3925,DOg,cAT
yabddychwr,0.2975,caT,-979
ikcpwozeet,udnhyflapp,DoG,xcbdfsifhv
-842,0.1855,CAT,DoG
666,-0.3145,dOG,jifedwfrik
383,0.085,CAt,-0.191
klwsklphqz,138,CAt,-0.4075
-102,-0.026,0.046,0.3745
wghydxzwpb,CAT,doG,0.003
DoG,-0.037,hlphabpwgk,saljthfbqw
0.1825,-968,ipemitabid,jwrcjxhllj
krrrudtdyj,gnbpkdnzoz,cAt,dog
dOG,706,cat,478
114,-812,mzorrmwlhs,Cat
0.3715,rbhooftfzd,caT,-0.2305
-999,-0.1035,dOg,-0.262
-0.021,-0.2405,cAT,cAt
ibfovlkekx,-0.0475,cAT,hgmmbeyelg
DOG,dkixabxsys,doG,uyqodkzkkc
esmbdxcstj,-215,0.0015,550
-0.0505,mhcnhffxvx,dOg,-119
opawiscqsf,DoG,DoG,doG
CAT,hxlgysqnxe,dOG,DOg
DOG,197,DoG,871
-0.068,cAt,773,-0.1685
0.0665,dOG,Dog,453
143,-804,cAT,iltmwnyfmg
0.4285,-332,doG,-250
-0.462,bsmlilolvb,cAT,-410
tqftvjmpnq,ivdapzxkrb,508,-0.2275
atrgfkevin,0.0695,DoG,-188
521,mfqkqvrusg,doG,rnejhavpya
bqqswjjkfk,-632,ytzwlnjwuf,-316
-585,ghhqhxxfhd,DOG,keljxlmpgi
-822,qjfvzcfitn,CaT,894
975,dog,CAt,104
dOg,kldcgzrtdk,CAt,-0.435
-0.1165,yshwfuvkyt,dOG,dOG
312,caT,cAT,-796
-243,jbdzspaqdj,dog,0.418
-431,0.409,-388,-0.307
0.166,CAt,CAT,0.1005
-0.4825,593,Cat,308
0.3095,dOg,cat,721
977,edwtyuzxkn,doG,748
-0.1435,tssmdacqtr,DoG,406
dOG,-710,CAT,fuyfqmeymf
0.1055,-711,0.112,ixdcmsjlac
474,-178,-0.331,cat
-0.057,dOg,0.138,0.423
dOg,0.3955,dog,lgcuczgybj
470,-0.333,Cat,dOG
iwkocnjtfc,-225,dog,knfoljhpti
-788,tkkzaljghr,cAt,CaT
-47,972,dOg,wemumbwken
uzmlccmlon,0.135,dog,crdzfdbrzo
-0.3775,cat,-0.1015,841
0.014,dOg,DoG,docjahcndm
sllmrgbjjm,0.022,zzrbfowrde,caT
iqoyxcedrd,-0.034,CAt,482
gymnhsodwg,lkpyzkqsiy,caT,klwjpuzdfo
DOG,DOg,CaT,672
cAT,-453,dOg,960
caT,0.02,zajreapegd,tgurfsemgn
lqclxgrgnu,-985,DOG,-0.3345
-541,646,DoG,frmsrmxbmj
ewmipulfyo,-0.282,-0.329,nkpznmzqzu
DoG,pgoxhzdpng,dog,-0.332
-0.1545,ztebsmzqpz,CAT,-0.321
-183,-67,CAt,-0.25
-0.1205,0.247,DoG,646
-653,0.3785,-0.0225,ctjkezqkxw
0.4945,vbwqdpntpj,dog,vivlaqbtiy
0.103,-454,573,0.241
137,CaT,DOg,80
-569,tmfkgyczkl,-0.3855,0.41
-0.0415,171,rdfgwmwaym,0.1595
929,dog,Dog,sppjoobqse
pzbazfiroz,0.108,DOG,qgyfrgjhus
0.366,-659,dog,marhouqcid
0.371,-180,cuwjhzeqea,726
CAT,0.0495,-218,mlaizqakob
-0.0795,DoG,Dog,cmvlkltavg
CAt,-0.2715,cat,0.368
316,0.0675,usmcnlzpaf,804
258,fbnhbvtseq,-0.193,opntrcmzbu
0.3855,-0.0485,DOg,142
-0.283,-0.213,706,-508
Dog,rkpmlnlbyn,DoG,heumonacof
dOG,-0.4535,dOg,-0.402
-0.373,0.196,DOG,jwvcwxczei
pfrhfmvwji,-837,CaT,-311
-854,cat,-0.3505,cat
ymqzqutsiv,tridsiazjq,dOG,-0.1465
