pEt,zuiwrjcmrq,nrooaisdpn
CAT,835,0.1295
cAT,nalxivrbos,-0.388
cAT,wtjxmxwmgr,231
DOG,CaT,dakoocvbhd
CAt,536,0.204
DoG,puptfqtbxf,-0.1295
DoG,vlclvhlscb,-448
CAT,DOg,rahpouuvlk
dOG,jqbckatzud,-0.431
Cat,bxukcajhrr,-849
ludmmyvbcm,-0.211,Cat
Cat,Cat,cAt
caT,-532,0.0425
978,700,dvwirjvwzd
dOG,-0.115,bztqmmiyyt
DOG,nxnsppohig,379
658,-0.2825,-682
dog,38,chyhrfmcjh
DOG,dOG,0.168
zcfrpywurz,-0.405,latfbhexep
0.025,361,cat
rziathhnqg,-0.468,590
0.3855,-0.1355,0.1655
193,qjtzvrqkre,-0.338
0.453,nhycdcupok,jnddendxvq
caT,0.075,-0.458
Dog,dtthwjsjca,lvlttwyvbo
cAT,-0.25,gnlmxcbhrg
cjygwfinho,Cat,892
-0.339,0.2085,-727
0.2305,471,cat
-158,ytzlgrejhv,0.1545
-0.1885,wlhioidfgm,hobddvtpvm
DOg,-0.052,sxcywhfzoz
