xrycjteaca,laxjabizuz,pET,ahedrxasux,kefwlljxgi,evepzzczny
-0.194,-344,323,-929,qulbzeeaws,0.4105
0.2805,dOg,CaT,zjovbjnirk,caT,dOg
-0.2375,0.3675,dOG,-800,0.0115,0.2595
pywfxmwsga,-0.2875,dOg,-0.2745,yefqnxpnrr,abhwchygvd
0.303,0.4635,dOg,0.059,297,357
881,-0.126,dOg,zutemnajbz,asoclmlnnz,817
993,301,CaT,-0.1225,knrqfrxtwy,801
-0.0945,-0.089,doG,0.3805,-723,0.382
-0.449,ivwzhveqds,caT,129,dpltyiundw,CaT
caT,-0.2465,xugdumsfwz,-0.3855,0.2245,0.492
0.479,0.1965,doG,239,CaT,-470
CaT,0.1635,DOG,CaT,DoG,ergngrakgl
-239,702,Dog,kptcltcpcf,0.136,0.376
-301,723,Cat,-523,747,qkzjizuihi
xtwoqmqupa,-0.104,CAt,DOG,caT,-0.4555
559,DOg,fdyscslcqs,lxvrzyyors,0.3485,585
Dog,0.072,dOG,200,-736,yiskygyuyz
cAT,-0.1445,caT,0.4085,dOG,-39
ubyicsfspi,-765,821,ilpxvtnzip,567,crtlwrdeof
-0.1,mlxvxpwatk,doG,cxyjfaflgs,ilcfybnxzg,DoG
383,991,doG,xbyyrhkzdk,rmgxppidjb,mcvbkgfyfy
-0.0975,0.0615,dOG,-0.048,CAT,0.405
568,cAT,-0.186,173,0.018,ooelqdnkau
ymchotnjqa,967,uxvxtwwsfd,-0.107,aodknxfbvy,-973
Dog,17,0.121,-716,0.258,Cat
0.431,0.442,nabnrwgxna,-0.125,-0.1645,vfholrazpm
0.2085,-866,dOg,sowtwgsqly,-0.3055,cAt
azcrgattoj,cat,DOG,Dog,btbhexdfou,0.399
692,CaT,dog,-829,-0.0655,0.114
zsfsusnmdh,gmhwkopolk,dog,DoG,-0.0925,800
msyjblniza,-0.312,vnjrzbnvlc,cat,-971,421
0.431,0.336,caT,646,-0.0825,tjiwvrtrvm
fakrusyfjt,nzjkzmhsit,doG,dOg,doG,-359
geypleknei,868,doG,CAT,0.289,caT
DoG,-0.2065,Dog,CAT,0.103,-240
DOG,-318,CaT,Cat,-0.3375,-0.4215
anxswjaixq,-860,-0.448,667,376,dog
CAt,CAt,dOG,-14,0.3425,-916
-0.469,0.2615,DOg,gwegqogegk,-0.12,wsnidzevmn
CAT,-0.051,DOG,izedwitqke,-0.3365,747
eeajtgtonk,-0.2985,-0.2075,724,gwaduonkrv,uieguymzkv
CaT,-0.1915,Cat,DOG,-186,CaT
-0.2295,-489,dOg,Dog,-0.0315,-0.0495
-996,-0.1255,DoG,808,nnmbbwdtdr,-465
CAT,567,tywyfiambe,-0.366,cAt,ptzuufimxh
-0.2885,-0.3635,-0.0095,594,110,jebslbbiko
-730,DOG,Cat,jykzvrtirm,253,0.2325
ywkaqlkwui,acbbygeroy,cAT,dOG,-0.391,Cat
-0.404,dvqjecsglt,DOg,648,dOG,cAt
