smmlylhbre,qmnleebnit,hqtzvjujdq,vyxirlntmz
txunvmbswe,jbttdvaioz,cat,-0.434
884,emwgcdobix,-513,xfjffqgmle
jlqxhzbpgh,thfdsqdhvz,avdebiklfu,271
-0.436,cat,0.449,tatgkjadtf
caT,778,312,672
-259,-0.4355,lskdvqnsqv,20
-839,574,CAT,ecjjrmbtfc
utxdfsnqfz,dOG,CAt,540
ghanlaqwnm,xtnbtqrkdc,DoG,0.2245
Dog,nddfvscfle,-0.2795,-0.022
nbmshfppib,0.205,ulnfjzeind,0.237
-0.251,0.35,-763,0.089
0.2805,984,wjnifhntgn,-35
CAT,CAT,aojrbeathw,rxuehqtwga
753,-401,-299,-901
-122,DoG,392,vzbbtpqqsl
gavojkjqcu,-0.4,qdgpggtgte,514
teahizoxpe,-0.286,DOG,mxybkyyfav
cAt,doG,374,ciazinnfvb
rabvbrrcwo,-347,650,wrytfjnoaq
uvjuqbqklx,dOG,-0.2525,bazjdwupex
DOG,ehnsxgxmwo,dztjynlkwz,llzqqgjjsp
-254,-0.207,92,-0.224
hyympbzsfd,0.41,0.2295,mrmoxacjyf
gdhozgdgvh,84,498,-557
-49,-0.212,dOg,-273
327,bzmlbthntd,0.1355,530
-40,-0.455,zoixwyinlb,biibxzilrf
lucamgeknz,657,722,-0.2675
-344,-0.467,-617,10
qsjxwiqsxj,bbmuoijayg,-208,0.043
xnauaufimm,14,-109,cAT
cAt,htujylpjat,-760,0.4365
-0.1105,DoG,sqfrdwjrgm,-0.3765
CaT,CAT,-282,0.475
938,fvoqmukkey,897,dzmnmqwuqg
wyifeiawry,-567,-0.38,0.1615
hamfjhbdxc,iwtksmujig,0.1815,doG
473,-663,-0.1795,-0.3975
-684,mdrhscexme,cntjnmozeh,0.054
Dog,fglmvyslre,-488,cyrlqehveq
ojwgfjeyvk,-919,-952,ohicvhxzsy
fpmlitnedv,Cat,cgcoikvaks,887
hjvgyyurmq,-0.1855,-61,-0.342
0.0665,-180,-0.4945,tbyhwmpwoz
0.409,355,iyjeovwqzk,-203
pgyiqbriuv,334,-547,-346
0.3905,lcohxvxiyw,-843,-836
