yvgmwkdufw,uepdtzjvic,ibcnjctapm,sinpgoagpg,rhfuzikffy
aeraxvavdg,-408,-322,CAT,-875
229,-0.1485,cAT,80,0.16
0.2915,608,0.3895,-0.4145,qmvepdylbg
-0.283,Cat,-0.2875,-14,-0.326
0.2465,umqmaqdqdm,anaufsgwur,wgcdsskcsb,528
182,oureetxsny,-222,0.1665,mrcuaexrlu
0.373,mekyfgecii,525,dOG,wmwnssytrj
-0.145,vumbbqlisf,kgkwulpobw,ftgryylrsu,-596
-830,-462,twavqiylia,-0.15,pgckkctrfl
cAt,-0.479,-64,CAt,-0.0685
-0.1685,cat,0.217,416,738
dog,966,fazcthsyih,doG,spseluzzsl
-491,0.2945,0.4345,-0.0775,tudrvvdyce
239,cat,0.1445,apzjvzdgrp,639
zztoimulrt,0.4135,hcmdiszltv,cAt,lkehiomdgh
351,cat,yzstqncyja,0.116,0.4685
-0.096,zvshrbnarq,dog,ohompdntcq,yhtczsmxzb
-292,rqshigghnk,pkryqahdno,odvbyihjmg,0.1925
-843,mphlkuoygc,-47,qxrsraicqo,442
-616,612,caT,-0.192,canvwghqbc
heajawaeai,Dog,gvdnaigtgp,163,-0.4715
xguzswgtge,juuoewmzrw,0.211,-545,-675
ltcnwdfsqw,0.2195,tpaerkxwow,-0.0725,-0.1665
467,0.07,viknjykqqv,290,202
-0.44,itkwdgtpad,566,-630,qspscwkfdc
11,49,CAT,318,158
cAT,-0.1525,cat,0.497,182
-839,-98,0.101,-817,sucgbcwrpb
lbxndtjvch,0.233,-49,Cat,-0.233
Dog,qlipinfvlf,eovmqafjcj,DoG,prinucqkvm
DOg,dOG,qaxzhmsvig,dog,0.0155
984,-402,0.1465,zxgbkvvvsz,dog
