cfqzyqqtdz,zadigikked,idaoopbkwt
wanmxhpewx,-918,-0.2925
jiuruvnlto,-0.079,iwuzrimdob
caT,CAT,840
lnrlzevouq,-0.081,-0.2635
301,CAt,0.068
-2,0.0135,-0.404
0.175,-0.1425,-0.0815
0.1725,qfposlmbau,cAt
opzkusdmnz,0.401,85
iapruktmmy,-49,0.2715
DOg,gydpzeiwuq,-0.009
cAT,-385,DOG
0.4195,eiejeqpiac,0.165
jtxrbosprw,0.3085,272
-0.0135,tucyzedasx,-0.4905
rtnnylevlk,dqeyyssrwm,vcamrvsomq
0.166,-326,zwphypkfjw
CaT,askzapxcci,-752
ofrzlvwmea,Dog,-263
iugilxvoyl,-0.271,DOG
-484,-0.4655,-0.166
0.0135,caT,ooyunuuhju
878,995,tapermycms
sttxjmfkmj,-63,-0.2975
bykkamkonr,-311,dOG
-480,-0.2525,welbchajeq
-356,moqlicgbkc,cfajhcpmzk
0.274,0.418,pfidlrjryu
yfcyxnsnpi,ipuenzavgm,kzcxgiyvfb
sprosybjfe,-0.083,wznerxwwai
-0.469,ysijxflksd,-0.335
-744,cAt,-150
lvwyhdaddi,DoG,-816
CaT,0.223,CAt
rcbdiwbeip,-0.4515,-0.023
vhxqqtzhzo,673,595
0.1035,515,0.238
wvtmydhrdx,-0.1575,0.1075
-320,-0.399,CaT
0.1445,slnogbqrrs,CAt
dog,bkllhxczqf,0.2615
bwrtfdunsk,-661,758
DOg,-938,CAt
jpiveuogmp,lewthvnmau,-687
-0.018,-88,-920
-910,-698,CAT
dog,ekfzeuiljv,-929
cat,tplicaheaf,460
gspkvlwgfy,0.1835,Cat
-0.1075,lfztizkxwo,-741
dOg,zntnrrncsz,0.3155
