ngjmfbnftv,qfxyafjptz,wtncrwjwyt,qnefpfjjlo
ipvcwtvoef,oyjcpihwgx,-544,0.296
Dog,808,394,253
0.298,lxhlifivlt,ggpwxmjmeb,DoG
-331,0.151,dog,-0.2105
oegtljpaqi,dOg,985,0.223
-162,fvalwhzssd,0.1065,-215
caT,mtrmqpwiet,-485,579
sokcuyennd,-0.253,0.242,-0.248
0.147,-886,ntzehucwpk,-433
CAt,-359,rnjlhyemib,545
CAt,401,758,doG
rsvtuuxyyv,0.479,-0.0875,353
738,mwpwssbiom,kntquwoteg,-0.229
-574,248,tmydgkcvga,kgfjpzzfrj
994,782,mbxqphjrfq,73
btfzamuhqz,tsrnypbimm,jhshkzsrxm,ohuexdharo
0.196,-937,0.4745,-549
0.412,doG,947,prhsjptoob
ufsjryzene,-382,-0.1675,lyhsxqkyee
kqeqkbbzom,lqjpzauxdp,-0.373,396
14,CAt,157,CaT
73,rstwsonqvq,qhhlgbdssj,fpphqyvfry
587,Dog,kxznfyqgxi,DOG
-0.1535,-914,-551,xbhegvmboj
0.4575,DoG,0.4645,778
-0.23,0.29,CAT,cAT
0.447,-592,0.3765,0.101
460,DoG,782,0.0635
-0.389,-0.219,pvousephrb,-370
-0.2935,gxmwgpencq,spafhhxbaq,cAt
749,-0.357,-0.2005,-0.1065
-0.262,0.142,DOg,whhnydvexm
-0.203,-0.4245,tkbwjjdlfk,-109
-0.1275,cAT,-0.452,72
nfuyyzuphl,-0.0665,0.3355,-0.22
-0.0885,-0.0765,-0.412,-0.0455
Cat,47,ccjmtijlnn,0.1045
dfbizrujim,0.193,-639,cAT
lffqtavtvh,-27,-0.2465,fdubjwqlmn
dog,852,822,434
-0.187,uxbworzwgj,-0.2735,0.4555
631,0.2285,lhvaymgtzf,DOG
732,caT,-0.338,CaT
pxblhnhukk,-272,DOg,0.211
cat,-135,-0.458,Cat
-0.4325,0.092,Cat,npgmjdztfl
-0.167,cAT,qywxcownil,0.3555
0.1545,-0.217,-780,-0.1905
0.2545,uktjqunieh,myqvffjjtw,-0.203
