tjsfukqojy,heoesruuzn,yggynihtfq,hqvvpcznmc,PeT
bwgweyverf,dog,-0.3935,-0.3105,532
nazbkmlnfr,-346,DOG,-377,DOg
miqmpvczbv,Cat,0.11,dog,0.1425
-0.4845,0.4005,0.3045,0.2275,CaT
-552,xqtxrepjog,-768,-0.087,CAt
-0.301,-126,CAt,DOG,CaT
-447,-948,imbswvpxve,-0.095,DoG
lpbkaujbbx,bvyfwzyhef,kruxrwwvhy,dtidmuqrcb,dOg
dOg,8,-0.488,adlylwrmsc,dOg
bvylbtagmn,rgzlrktxoe,0.494,doG,CAT
0.152,-0.461,dOg,996,CAt
0.209,icpndiifad,ydkbihhhbz,0.1475,DOg
DOg,pfnidaztio,svpelbzweb,0.0375,DoG
naipragynk,0.3355,-0.424,0.33,DoG
551,rfwzckcgbu,CAT,DOg,cAT
bcsdiypwmx,-0.485,-474,-55,-401
-329,0.1945,-0.257,-442,0.359
DoG,eamgwsvdhx,0.1485,795,DOG
rqqjgqqolz,-594,874,0.304,0.149
caT,-0.1645,kkxxugxtee,yvrkwkklqd,CAT
81,0.216,ucvspfabav,-243,Dog
-879,bjfpzfplsi,CaT,midchycaqx,zkdcunnvpj
gnvtiwqodd,0.2225,DOg,187,esjqemadye
-0.056,-0.1985,-0.1575,CaT,dog
-0.298,-735,224,doG,-0.0285
-0.199,leqkjudlnn,-0.4455,-253,Dog
