tuypowkduv,wxinonyzde,ikssckvcdi,dqosjsgbtv,bvpqzamgxg
-843,0.4665,doG,CAt,39
zszgmpcpxl,-0.396,sgzgsttkuv,0.4815,DoG
-0.297,0.386,doG,-0.3365,312
683,cyqdvxtqvl,-972,213,wnezqjuvyr
zpijkrxxhp,dtqdmiwtos,ixmptzrnwn,442,cat
doG,0.4545,Cat,upscgeemlc,qilzgypbqq
865,wfbflnwgwh,thulzztzbe,aqrnesfvmw,-983
0.486,-0.432,-0.484,325,xmboltscfb
CaT,0.3765,-955,dog,bdthmomaok
Cat,-0.0545,-0.475,cat,-39
wyvydljhib,63,Dog,-0.096,cat
772,DoG,-891,-0.487,999
0.4675,qhaigrprke,cAt,633,980
cAt,-0.406,dOG,mjuhpantaa,-0.3075
855,0.2995,cafrmrfdia,-299,ayjmluzxlp
DOg,Cat,dOG,dog,-0.401
0.077,0.277,-767,DOG,DoG
nuuwflraud,0.389,tlygvhdnrq,0.175,881
DOg,-817,vpqujmdzqx,-0.1115,DOG
0.0085,ufhspusruj,CAt,0.081,ozwpdzqcbl
0.235,wowvzcluct,0.222,-0.4325,giwswdhegx
beprsznzdx,mojdtddboj,799,gfbifebnkf,zabnapkqzz
-0.1255,-13,293,0.078,441
695,447,CaT,raappbmeee,-98
-0.0355,349,-0.255,furdnfdfln,20
-792,-383,hdghgzlatn,0.2305,0.343
aurpeybdzn,-401,zbqzjxrzje,106,686
0.3545,420,cwzezzflxu,hgkfpsdeuc,-820
dog,cAt,znkhpihavf,DOG,jzyqwxgaxc
CaT,xdaxfgqtso,-928,114,0.2435
rorapghjhm,0.2475,-0.418,-0.21,-625
0.189,0.139,-0.1435,-846,-0.105
thpshkuynm,CAT,-465,rjrqpexchg,-371
fcwecxsjqm,-0.3325,iqwsmcijgq,Dog,Cat
0.064,-12,-0.0395,Dog,heleoxuoht
-319,DOg,CAt,-0.06,CAT
skvukfcqyi,rdzevpjtmu,DoG,-648,0.422
0.11,-433,0.0575,-0.2335,-450
610,Cat,0.0355,-0.496,-0.0705
CaT,DoG,641,pojxfdunla,hngtfjslro
fwrctivmlm,pskegivmzy,229,312,621
470,-708,0.39,232,cAT
787,0.0145,bnjgunhucw,0.3875,Cat
-0.0465,758,283,emfhzvqwih,gfuhjpxczm
-0.1525,ekoxzondvz,qavlyloiaj,sahuquxmah,-177
-484,134,cat,-0.0105,-0.066
doG,cat,mssqryxrpd,-327,-441
gbmemxhiky,-0.423,qqrzmrniph,-495,0.232
61,CaT,rodedxxspq,0.1485,gdyjcjfwbm
DOg,0.4625,-0.293,-685,eoogpkmesj
toozffayde,DoG,-38,-0.1355,bfuqapeyzf
-964,dOg,0.338,89,ntcberrxum
thtganhwhs,-807,dog,gutdxnslib,CAt
0.207,wwecsouttw,-0.343,-609,-164
-0.464,cat,691,0.0295,upazmlpinn
-495,0.4815,-0.4385,-0.2275,hwvqdekgip
-0.3135,-556,CAT,-0.4095,-575
0.0245,-73,-0.4135,dvprmjrmpw,wafnrywhrd
936,udzzjvnbkh,-0.1475,rnfqmcjwjs,0.1235
-0.069,ehktbllebg,-0.116,ppfczlhobr,-694
688,-160,auhdoqgzgx,cAT,dwxyaqzwfu
0.2485,timeictoxi,-840,-516,0.261
-0.2695,zrallciluc,DoG,807,DoG
158,fkdqnxzhum,CaT,Cat,0.118
-555,cAT,cAT,qrvovcpopl,-477
-0.2345,byrnbgcwcp,cat,caT,-0.1635
czjjacpfrf,uwguyitzgc,-327,92,-0.087
wryhdryqrt,zykjtxfeyk,qhslqrxmoq,349,-0.4935
581,511,-303,rpvctubgga,0.005
-942,-193,0.053,mnltvapeib,edggydvmlq
owawmopxju,dbzsadcwzo,sgzincnfhc,-0.311,DOg
-301,anzimnhrhs,654,-931,-575
-0.4615,0.253,355,ltetxvpreo,-861
CaT,0.364,daidepcuwd,kyippanisj,621
skqwklqeia,qtoztyoqsh,jxsqrzvfkz,-0.4675,-849
nhuatxsiot,0.1965,swawjusuei,719,-834
958,853,-835,713,wrhfhfpbll
106,adfkbymmyy,DoG,DOg,77
-0.2835,-205,-902,-711,409
137,0.1715,-2,725,0.318
-0.36,wayrlzwsaz,-130,51,DOG
slfciltajk,vqgealhjhz,-471,-0.0765,-0.2085
DOg,-358,-478,tmmvqydwpj,-572
kmjjzvsfoj,0.3235,CaT,cAt,juhedolwtp
0.019,0.1125,dpxvhmzwws,37,160
zeecchzvvn,804,-584,-265,-922
0.24,0.325,joptlxlnsv,-0.007,amoxposfxm
lpafcmfqda,gjehpynqwl,dOG,0.0665,-878
0.183,-0.289,efxablsear,448,ahwwwniwfa
fnctrjpxzo,pqvnaihjlh,0.427,-441,-0.0975
537,-0.124,bbdcsasilv,DoG,0.1645
dOg,nnprzictss,-990,-909,984
vaczlvxgra,cfrkafmveu,0.0765,0.1355,-0.25
kvmgyenhbv,tbufddjvci,-0.367,-0.4575,caT
CaT,-0.3525,ppixthmkid,zpzichecut,zrmhftvwsf
0.2575,-585,131,-590,aqdhccizoq
-831,-0.011,uvnwqfxxpr,thkwbjqyqc,yybbhhdkvk
