pwowskmoew,toldtbudbf,wokohfdutc,PeT,lfybijhqgl,bfelghyyil
-318,90,dOg,-153,-0.072,-0.207
-0.054,-0.182,ivbbkejllm,cAt,0.396,-249
dOG,eltbtsfscj,895,cfebyquazq,caT,-0.4835
0.1465,doG,hqbsyvxtuh,DOg,DoG,kxrqobbotl
cbudmuphqd,cat,0.4575,CAt,Cat,llckqddjnk
yiopafmcwv,509,-662,0.462,23,-0.1375
0.116,0.2215,0.3605,doG,0.456,ujxetobtkr
0.437,kxmcrbwutz,0.4,cat,dog,-592
0.463,-0.2635,0.2055,doG,wdrphgtyex,cwzvtzrmfb
216,-0.178,CAT,dog,-761,dOg
806,0.4525,fbirqlorjo,CaT,-0.185,0.0025
-535,caT,-374,340,493,340
xjonotrcxm,-0.4385,961,DOG,-321,DOG
pzvkajjtnp,CAt,rbjwdjisbm,DOG,nrzyqbmlsl,vierkdibkm
0,-0.12,-0.496,caT,ehfxensjai,omiwkihxjw
Dog,570,838,amxrlbcqnm,938,-240
zagtusxjbq,531,89,0.298,0.3405,vcrmyqenjk
dog,vlhvdqejrb,-0.451,DoG,0.479,-478
-123,-0.0215,-779,Cat,463,0.4665
ldocfovraj,cAT,doG,Cat,difjbfnigu,oqwxqthvee
-201,-0.191,cAT,DoG,wzclvpjfqh,lixhmmhfvk
-0.246,0.2595,gamuygwyiz,Cat,0.0665,fdsuiogjbq
bnmdpyfgdt,dog,dOg,DOg,enfogemkhk,-396
DoG,enmroudxys,-0.0835,-905,-490,pkqzacbcko
429,0.194,CAt,Dog,0.3015,-579
870,-476,895,cat,eknzovsqnb,qofadhkrmy
-485,480,yghvrnlkyh,dog,-0.1765,ypcznfvezc
zostqlzebk,DOg,uzdbynnsmj,DOg,80,772
DoG,657,0.239,cAt,rtxjidiecd,0.3865
646,gptiuzaxza,hribciwpbw,DOg,-0.2725,dxnojkzktw
wzhncwsjoz,caT,CAt,0.479,qdgffwdqpl,-62
cat,DOg,0.208,bfviklzhiz,dog,739
0.414,CAt,idcxtuornb,CAT,zxivkggasy,-0.321
cAT,-0.0455,CAT,CAt,ymgxjodaor,bpnghmfbnx
0.2425,913,CaT,DoG,umsyemttrs,kilzfryohk
940,0.381,hgfkyzbcaq,DoG,0.0335,dibkxoquwh
cAt,DOG,bycymfcvxi,-0.0415,-0.2115,Cat
-0.178,DOg,-27,zacfbwjtrz,cvdwgdngek,wmhefuvgmz
sdaojxysal,wjqczdrnco,doG,cAT,892,-0.2175
Cat,-653,-724,cat,wakqifdkje,246
zqjvuxvwkl,DoG,-0.403,-0.1905,zpczjxqezv,iwmfxcgthz
pipcbntqry,0.3905,89,CaT,-274,-0.2405
Cat,dwoxxqmvps,cAt,cjxvljmrnq,CaT,yvkolszujo
53,hxlaloypac,0.306,cAT,-539,-0.1485
gyonalhsro,Dog,459,DOG,-387,caT
-898,590,0.4625,DOg,gvktqbmpse,-704
CaT,979,cat,Dog,dOg,ugkeohvwle
caT,0.342,xyafcjlkdk,Dog,-580,dOG
0.054,0.3525,vriplgtcqm,caT,DoG,-783
0.2855,-0.4655,ivcuocobpg,dOg,DoG,-0.0785
2,-981,0.278,DOG,effjgwggca,emsyrrnuxe
dOG,fozcbxnywe,iuynajxlaa,Dog,-846,0.435
0.364,-891,DoG,DoG,-40,-264
300,-0.403,320,doG,-566,cAt
-439,cAT,289,-0.1535,CaT,348
byvettyvtg,gtxjjogcip,CaT,-827,708,938
-866,CAt,-408,CaT,cAT,0.499
CAT,0.376,0.2265,DOg,CAT,cat
431,cat,0.2315,dOg,DoG,0.265
ahpdtdvgtg,CAt,0.2025,ojgtznbdus,-0.329,-0.045
DoG,-0.474,-930,CAt,787,-652
0.215,452,bpomfoairi,Cat,enxyiyqhcy,0.108
0.304,zminlylaip,42,CaT,zzwpliggdv,-17
dwckwdbhsb,-0.4755,enlnhunjbr,dog,mqyzfwdvlf,-994
jwzjrvugww,-232,mfpqijyhoj,-123,0.448,462
477,383,hsyoxqxspo,doG,0.3605,-241
-916,482,-0.2935,-212,355,-385
kwqtvcykju,zipococqip,-0.143,dog,gtzyrmdmyo,133
Cat,705,0.0375,doG,-0.3185,-0.086
