wufngkembh,Pet,bdqogsdpne,fzfkbhdzql
-992,Cat,-26,caT
664,Cat,tejxlkovph,423
-881,DOG,-780,-0.156
doG,cat,-659,btyjwumbmt
-0.4395,caT,uknvzjhhyu,cat
207,DOg,iewyxsjvib,36
0.489,cAt,759,rldfnlhrgu
0.3545,doG,-705,398
egslwdbzrc,-0.462,dOg,DOg
0.2045,-821,704,igodkkqjig
-0.4205,dog,-110,cAt
jejhcjhrit,CaT,0.0795,484
ugvsoqbypo,-0.1135,DOg,407
-237,Cat,0.113,992
-0.471,eglskdyhii,-0.443,-0.1565
wgedtcwzzc,sbpfoexvny,mfzlokjstf,-749
-0.4115,121,268,jrcvkqpqfz
-225,DOg,cAT,-0.1305
abhpjgiaac,vbqlxfihjc,-802,dhqukfzrkz
-0.4695,-0.073,-0.4765,vaipcslwxw
-0.176,Cat,dOG,903
pdlblfjrpa,DOG,Dog,0.1885
Cat,CAt,-894,345
-543,dOg,-922,caT
