tlqpnimmet,pet,eosqitktaj,qncqqfajwb,xtknanwoho,irmdhatmyy
570,doG,dOG,CaT,gzbeefedvl,-0.333
-83,cat,-562,panrolcfhq,-0.053,rsggxeihyc
772,0.309,cat,-0.003,cnjevrawzi,-0.0715
-135,CAt,-0.4095,0.433,CAT,awdhnygyzl
144,Dog,doG,-0.126,qufqhobald,-871
dOG,Cat,caT,962,doG,-553
-446,osditbwwlt,doG,gezsmfoofi,8,gjsqaezysw
321,DOg,-0.2705,ejulbyqrft,orpvqgrqsf,nruvjpirwf
-412,CAT,4,-237,dog,qfwyzwfaxq
yximjrflaa,DoG,eofxcgbikb,0.189,-610,ptznujzduk
cAT,CAt,0.4635,qbxqluuaad,-389,-0.491
-0.184,Cat,-822,qshbytqhft,0.058,-52
-999,dog,xrzsmewvov,caT,79,820
qfqgqsccul,cAt,-937,doG,caT,zxmsjgcfsf
0.141,jkwnzzmxqt,0.457,0.1995,cAt,caT
-0.1035,-0.2675,0.298,pjhyxbakku,-679,0.0795
0.151,doG,zatdvjnzqm,CAT,DOg,iczrzbikwr
-0.3125,caT,0.009,0.1885,hotqtbzcfq,ecagprdgdg
layghdgbdf,CAT,ncbqsguncb,39,101,-163
ycgslelqhz,-0.17,0.337,egcqiuxexp,-813,-489
-0.312,312,jisuxnmmew,gpcftoiwwv,zxzkfxlmgw,-0.0355
CaT,Cat,dog,zmcbugpwux,0.137,0.329
-0.2255,Cat,mkuaepypnx,flmanbrfsi,CAT,mqvslvobuf
0.2395,0.259,0.2515,DOG,cat,ghrsngvmum
edldliiuog,bcmqniwsfs,0.1845,Dog,-0.1875,-0.28
215,CaT,-0.2245,-632,841,0.1255
667,dog,CAt,-549,557,0.141
-0.412,CAT,DoG,0.028,541,0.1025
dprcutqzbw,-0.2485,gokxnwqbvv,-680,495,-0.072
-501,dog,pqvjnididv,cAt,0.3465,rlognyzpcg
tvncnegtji,doG,834,0.221,wihpazrxrv,ezputcvotj
nrtgoxvvke,dog,qewtkouwwt,0.0225,210,0.4455
-717,331,-0.2615,vyybfnnxtn,-0.2995,-0.2685
-824,-0.4545,dog,0.0875,-0.1345,cAT
doG,CaT,phuerxltqn,CAT,hduwzaslwx,-0.1755
wcxcdcrtuy,DoG,105,-278,0.4005,0.0705
kwlrahxvqq,urbzfdtmgc,vysqobldfd,-306,dog,0.1235
vfpqmgkpjs,DoG,-0.3645,jcsqbfgzoq,-840,doG
dog,CAT,daqtdnlrkt,-0.302,-0.128,-0.4375
121,CAt,CAT,iiteyyowbn,-812,uixjdhefod
-87,phcsdjuvpy,0.463,398,0.0535,sfrkveznhu
-0.4015,DOg,0.0675,-485,0.3825,-10
vlgwqdmfhu,dyozfelviw,-0.329,vsklqmllsb,-0.125,-0.4525
-461,292,0.1505,0.4275,0.0,rwmeccinmy
890,DOG,zedjqsgbon,cgfvnpwhvd,dog,594
llanzowwad,Dog,dog,kalbtzffjy,-5,0.476
pabzomfgsi,Dog,uabfuiswcc,-357,gmisuvaqwq,-624
-203,0.2875,-0.423,lfyzcapxmt,-0.2485,aogeevosgs
jyhtdnozaa,Dog,wczhfptlan,305,0.0765,-0.1485
-0.3285,CAt,0.1115,-563,kghhjseryo,zomvzuwdxk
