rtemafgbms,sbetwpgyiv,dkuwqubowp,cupqkbgcvz
-0.4605,DoG,523,blqdhuxkxt
-0.1465,CaT,yhfkxmmygj,0.358
vknhsbeeik,0.4195,Cat,ufknhvemws
-0.391,0.149,0.2775,iqpgnqutfy
jvvewuhbhw,wnwfeyxxwn,plcjsjzokj,0.3035
-849,0.2565,dOg,-93
tlghouxxjx,stbuqygopy,cAT,-0.0235
931,-0.2935,-0.4085,38
-0.2795,beukzltjpi,DOG,-353
601,-0.141,-0.4725,589
971,wsvkntaxfj,0.429,-0.428
0.09,634,-0.3625,-557
0.274,CaT,-334,-0.18
0.2865,rvntrbiuvv,tbeiipnjce,-0.383
doG,yzicfmtoig,tggczhtciw,-686
0.486,-77,910,0.1605
0.0895,538,dOG,0.2995
-0.3465,efktiluznk,ydrtbqywkv,0.143
sxxtyvgwha,0.283,0.4435,sjdcpoaehx
vfuhyvblbj,zszfrnqxek,0.4775,nrpkdwccwx
vojqujyvwh,-0.179,-738,-499
hbfgozpvbt,taherhvrku,dog,-759
dog,519,jzslhrowpl,nwjupjxnpw
-357,pttzdwkolc,caT,DoG
-0.3085,cAT,788,Dog
0.256,fbqbynlfou,425,-455
Cat,0.434,0.328,Cat
khbarwoivj,bqhjxsaseu,kteankzojl,-174
-492,-706,647,0.18
cAT,-271,CaT,dnuhwbhoru
0.436,-0.0675,lmjcgikhzr,0.0135
dOg,-104,-69,kkspqyqzbz
zuqwlrzrgc,-0.1285,-275,ksqwifctux
zqovmfgrso,-945,-139,CaT
rufnyobpez,ytezwafrhh,-0.43,-0.161
doG,-0.065,isvxcccfge,0.0025
287,DoG,smjbwkvkng,0.1015
dog,0.318,klqckxecln,-594
0.2555,-236,-719,dowwoecwaz
-0.139,qvntaqctes,-0.003,DOg
caT,361,245,fzwcmjahud
931,cAt,fhkuqfuzkx,-0.0695
-0.343,pnnijsbmce,DoG,hpiaapwdic
0.0885,558,0.0965,781
tvtuuioquy,zdmtuhnhjt,srwgexrnkt,CAT
-0.1375,0.066,xodcskheeo,-0.2135
DOg,hbqcdtxpeb,-776,0.2595
-0.044,cvyrrnnach,991,-796
kgijujvpmh,-0.4495,-0.3475,0.351
0.2775,oxyereuqqo,cjaxuqezjb,170
vfnppllhkl,gifpiaebmw,fsczdlsiub,-942
DOG,evdueggclc,-0.04,hzsdssqgrr
-699,0.434,0.026,tcpcltvirp
-0.419,134,0.022,-695
-0.29,-51,cwhbbkvjoe,-781
dOG,173,0.4725,xrohuczuzt
-157,0.296,-68,-0.4465
CAt,0.111,caT,0.3395
781,0.0515,nxcfnhedtk,xznkcqlxpt
xmizkonnoc,0.036,dOG,-0.2775
cat,-0.3895,523,ktlehnamdp
0.3445,uhvyonmrzu,67,yekebdpmcf
CAt,-558,cAT,0.017
0.0665,DOg,dOg,kchbfoydbc
-0.119,xdtysrxfku,Dog,0.2815
-986,yhfrkmrron,-533,0.229
0.1065,-562,Cat,DOG
otemmtvxxf,378,lqizgomccw,-758
-530,DOg,0.1425,906
-0.1515,-64,-0.0855,-0.2695
qleagpsgqp,-0.2545,8,0.2715
