gmxcrtkphk,kyfeusqqum,iytivvpwma
0.106,0.2905,-748
dOG,oycztkhnli,hrewblnigc
tiaxmizdgj,-0.249,wfqlxiwlld
-0.0435,-0.1195,0.232
zhqzptfuab,jzliayidpp,pozkbsiwcd
0.4765,ialetxyszq,15
aheaoaapen,alxktnkssl,0.1425
119,-946,doG
duclcyvuag,-679,-338
490,0.287,tboxzppvrz
htehouqyoj,-131,81
jkayumgtip,CAT,-71
-0.4225,948,xporlwyoeq
160,ioppbdkgtx,-144
-157,-0.312,teyytblnjz
CAt,dog,0.1755
957,437,-0.404
0.292,615,xjshoyyikd
-795,emdguezubo,qjtudkwznd
Dog,440,wsjvhwpmxc
wxilsuqsxm,0.4965,evrquunvol
-0.4295,nbuuetacne,xmuxnwnfzx
824,0.252,-348
-0.077,803,493
DOG,mqshwbtggc,-237
vcmcjsddky,-780,386
