PeT,eklxsmqlik,rrjqndgcgz
CaT,-0.3425,bfoyqppwvu
cat,-976,-0.4175
32,CaT,ayyavyevhq
0.4985,wffskzikgr,cat
cat,0.0755,557
cAT,316,600
spmzxkaapw,-864,493
CaT,-821,-244
-557,372,dOg
tkpjvpudpm,ikhbjvrvkp,-0.216
doG,0.053,wtwlifpoil
53,CaT,ioovqcsmzd
476,cat,gvoowogjvc
dOG,-639,970
caT,dOG,328
cAT,590,-862
-0.2,0.152,-171
CaT,DOG,ayrmwyekcy
DOG,-575,-0.3305
tvpukirbpi,906,271
svetesnmmy,-403,Cat
cAT,pinxzcjezm,0.303
0.128,-987,13
933,0.164,544
0.344,xmxfizhsjr,-37
-0.402,0.369,587
cat,-0.493,382
DoG,-0.028,CAT
-800,Cat,gfpwdsisst
-346,546,rllccrhplk
DoG,aqqoobuovj,Cat
CAt,kluhrmeici,xjnfoapmfg
CAT,487,zyjrbfmffx
DOG,ynrzvshgxc,-0.3
187,DOG,dcuripadcz
DoG,-995,169
dOg,cAT,ucdycqurif
DOG,DoG,-715
Cat,991,-850
cat,-0.334,lmlqhllthu
0.3795,qrrpppuhqi,748
479,-0.4305,CAt
-0.235,-0.1185,-0.101
cat,cAT,caT
dOg,0.4505,0.416
dOg,Dog,cefnouorry
DOg,-0.059,lnwuutoeqh
cAt,yvaaahurqm,hzutnlotsb
DoG,DoG,0.0125
fpvhfmwmvu,0.063,0.0315
DOg,-250,0.239
dog,-0.066,-0.3455
DOG,332,wfgyslihjh
dOG,Cat,0.402
Cat,tbdzcfvvep,-221
qjtcptsvyh,159,CaT
dbqmcdyqit,-113,Dog
CAT,0.105,-0.124
cat,57,4
DOg,DoG,0.0415
slkrcmxsae,ikppewcqad,afffrvntti
doG,dOG,rldwokriyl
-0.3745,-137,agffpspqdm
boblmrsmqa,xhcnuctsdn,CAT
ceoblnblgo,542,ooqyjjqysg
Cat,145,ofmfdackhp
cAt,-0.12,caT
DOg,doG,DOG
dOG,290,-0.127
