pxiebweeps,chpmtalgxq,ddiuzxaijj,PEt
cat,0.381,-0.2855,nsiaofoiwp
-527,-483,-915,DoG
DoG,-994,283,CAt
fdkqmudfwv,0.2505,222,-227
fvqjfnotwk,0.1,ubpjkclale,gukordksme
769,gexihekxwm,Dog,-0.3935
-729,xcsysmspug,uiawmybbew,CAt
0.075,pnoyvwjeej,-0.1455,bbcolctrys
jifvlnmsqh,cat,0.357,doG
426,pdokjmvgue,yydppszpvv,qojjknrzud
caT,-197,787,dog
nujyaywuta,663,phqselrmmi,dog
892,aosoxiofhr,0.0815,Cat
-435,-0.497,qjqtjaxgmo,DOG
-0.207,-341,-378,caT
dohdmzjkii,587,tjqiawkfpc,dog
-0.369,993,51,cat
swkjkuzehi,442,0.2075,cAT
855,ibolswzrbt,xlxgvjveyv,DOg
CaT,179,oupwcobllp,-180
-322,-577,-0.4735,cat
0.4185,823,0.071,cat
urmwvnyngd,-871,-350,Cat
wrzmitinmr,vqbtvxznmc,cAT,doG
-797,-0.0395,vjqmdintuj,DOg
0.2845,-0.1675,sgaxbwjdse,cAT
omezenycdu,dOg,-73,-45
-0.326,953,0.2405,cat
-556,903,147,0.0595
-603,539,-270,DOG
dOg,0.189,-0.314,caT
DoG,0.289,aszmjpdrdu,dOg
68,athyqelgxu,-0.083,lkmuxvkdce
-0.3115,-0.138,caT,dog
-945,156,nrbbjorzai,-606
-0.1795,fiwknsvpks,-0.3075,327
dog,0.4795,uazqogminj,caT
951,phvyjkqxkk,dOG,-0.192
0.026,cAt,914,-0.299
tqegcibcsn,377,porqaxypsd,dOG
DOG,0.054,dOg,-773
CAt,-0.0295,-661,cAT
pexwsvaisn,-621,cAT,cAt
497,310,-0.1655,DOg
awrhnzbhpk,cAT,ozzjwjzdis,CAT
-970,-942,xgbigoocms,doG
0.47,dOG,gwmrfltvjn,Dog
-550,68,999,cAt
ykuiggxlry,bnyploheqy,974,DOG
pmjxdynktx,ercxzplxld,clwjpxvsdj,cAT
842,39,0.1205,-0.1145
vqpobsnbsv,0.1,vaewzolxym,bynwlimych
642,-119,uwgdbsmjvn,cAT
hvsvivreds,-582,0.3925,DOg
DoG,aoqecsbyor,-524,0.2515
DOg,-815,-91,-0.3095
-0.2445,yrxpxlziac,-0.039,DOG
hykffcvptd,-775,CaT,0.278
yqnoddruuy,dOg,0.458,-0.3595
DoG,-981,CaT,cat
lzqgrmgkjy,0.1785,0.3025,dOg
dOG,0.3955,437,cAT
657,bpnwndpqtb,-980,Cat
0.183,-0.2615,889,ajzshlfzmr
-0.4775,-0.2425,eqnftuurop,DOG
0.231,-420,-0.249,153
