oghgprxalr,jajfvmdudw,ruyeivercm,hzvjpwxvyt,jmhlrkdpxf,milvzhpkth,toirdbzvjk
ihsztapgxu,Cat,bkqxnvijqf,vjwtiwmmfv,0.3785,0.1815,doG
27,CaT,doG,tsyxcgjcpa,-0.349,srkjbzjybw,0.04
DoG,-120,bvpznkahmk,-561,-0.262,CAT,Dog
ydxjuttsyq,-202,cAt,0.4405,cAT,hotqwjqmty,-614
CAT,dOG,0.297,-403,-384,caT,0.4325
dog,fyffvpxrhk,qhyiheevyb,ljpbxmblsk,0.385,caT,119
-0.2975,wulcrmdzix,hqqmaddsow,qtxqjmebpe,0.1355,561,omdzaqahfr
212,aadhkghnlw,-0.488,-0.091,0.4555,CAT,-521
-0.356,0.4055,trmxrhcxgj,qjgruupbxa,vhzujvrari,102,-490
0.281,-0.393,-942,482,0.2895,0.3795,0.4135
938,0.49,907,307,rujgjcidvd,fuzwpsezin,565
189,yxaiaeaxtb,0.3985,ypeystkzfb,CAT,-384,-0.396
cat,-712,134,734,0.279,557,rterzrqnih
esuhkedejg,-0.056,338,mfxyqdhuhe,-0.436,wzpbkfuypc,otkutwhxvy
-0.3515,Dog,-58,481,0.479,rodxkorwne,-510
hxqxxuskvt,caT,zrdpkpvbxe,0.155,DoG,qyopwwgcii,0.428
-683,502,cat,dOG,0.488,324,xqmjyjdaip
-0.2325,rjoacvchaw,-94,gefvkavben,acbweeuoyj,cAT,-0.2955
-0.3775,794,0.448,-853,0.341,cAT,bvpwjkrvlt
-974,0.044,ipyakpdjhi,pbkztriyhz,Dog,jzlcmvdwkg,cat
-313,-0.0235,-834,-919,308,-0.1505,-0.3865
cAt,kkeigqgwqa,cat,0.085,DOg,tncbpbmzfa,lskxibefai
310,dOG,rdteebpknw,DOG,0.3735,-0.2055,CaT
cat,gxvdhqwbih,0.217,hwnietfgst,757,-0.319,fyhqliyedh
cdkfprphqe,-0.475,682,-599,iszrrpdvcq,389,0.121
-961,-587,Cat,fzxzgnbgrz,-0.129,igfmaouilk,-0.1245
kqzepxrrsd,smrwgzsyci,vevnzenjad,vvubeivecf,-247,lqczuslcjr,pllcmuujdz
-400,zitzndunvk,caT,-139,-0.363,pfmytobybt,utarntkdyw
dOg,-631,oichunwhwg,-47,-0.412,Dog,tbivpmyvvq
-688,-0.0845,eeaccehvns,ljgysbeszc,-0.2065,Cat,rjsyubnyfr
Dog,dsaqrcneth,xeijbouibg,mmcktklnqx,663,zokydluuyb,ohzxbpssre
-399,fdnlsqplxv,0.221,kraxpqolna,-0.0515,307,-620
-0.1035,polufwheax,-0.195,-294,-0.287,caT,flacurxchy
caT,ahjddibvoh,xphuiqyxer,0.3625,235,655,0.0415
0.474,CaT,alvdzyszgw,DOg,cat,caT,owjlaljmxb
139,sdxnxozskb,ahljtpklas,-358,0.469,0.153,-0.1015
-961,-0.243,CAT,-0.018,zdmdierznu,dOg,cat
466,DOg,-0.158,cAT,aomkujssxf,jswhbgeyvz,DOG
