kemuwhysou,pluipwdhhb,bcegeirrin,mipagimkgx,movtztwujs
caT,bbrdsxojoh,cAT,0.4025,DoG
doG,0.4805,0.0155,-0.4435,DOg
CAT,doG,756,wmfstsmjdi,0.351
82,eexjyeuzpx,-0.1905,qtqrdueukf,yitrxxrtil
-136,849,0.1865,-0.069,0.0015
-896,hjfctmljjr,576,cAT,utebmubpck
dOG,-203,0.0135,0.208,-993
-810,urtoqmugqr,-0.222,-199,tsnapwimzx
-492,raquzeiyov,dOg,-0.443,-0.234
-0.0295,umjqxywmhc,-0.09,upymysfdlq,265
caT,rrzyuoggif,-45,DoG,-0.327
zowmpnqvxq,cat,744,-0.3415,kufzhejvoc
DOg,dog,wbkctsfjnf,0.0775,zkcdwqmvgr
0.3145,jztihlfnkn,saxcsahgfk,-558,0.083
bnptzgbotz,0.3605,qmjbkcgfdv,DOg,939
-0.2675,kkpdfsmzpi,DOG,iyrykpidqe,oiyrekfnpe
-0.06,980,fedwstrovc,jvlhxstkqa,dOg
656,651,jixckykraa,bvgsmeuxgz,852
hmilhkrrxx,dOG,-230,947,hnbaeviart
DOG,-0.134,zxhljiyexd,695,yjrodiuhqp
yvyxbdlsyf,0.1075,-127,0.2885,hhlrjbcjkm
trfnnpzthr,xwtdvedaqb,Cat,ebaoqnqtbs,cat
-127,-148,-0.1565,sfciwqbenj,602
0.398,-187,CAt,-0.4095,0.41
792,-0.2515,lwgquvtust,hgymsllywx,838
DoG,0.119,jkglavbtgr,-348,wsvzylfyft
176,-384,-91,jtrezitawo,-817
pnhnlfgycj,-0.021,rvifreoosa,cvvyvxkzoh,tixunvnevp
786,75,53,-0.3935,-897
307,bmdkomesun,tueodmiywx,-0.035,0.226
agdzwuyjtk,CAt,-0.42,ngfeuiaohk,0.372
0.116,827,CaT,CAt,-0.0235
cAt,-64,phshsepwuj,cat,-400
cAt,dog,-32,doG,uahfmxhpum
dOg,0.4095,uujwgeszqm,-324,wxfdjdaaln
ruzzgcymsv,dOG,0.201,Cat,dOg
CAT,-0.419,cAT,sidkomswfz,CAt
-44,-0.369,-698,lkwaeriorp,0.1105
-0.4145,gobhkrjqem,vkhzkikczz,caT,-844
0.025,CAt,gwvobgimvd,kpnxpsnumh,CAt
kvifhvjgbl,jwnlgjsznf,iyeoudmlvs,ezcdwodpov,0.3785
0.2735,nxiqqvmxjo,ooqsapfvgn,caT,CaT
dOg,0.2335,CAT,0.327,cAT
-279,-495,328,620,gercdpaeqs
fgoffxcyuj,-0.216,cat,twtymeynfa,369
Dog,-5,ngreizbbti,-0.335,0.379
-0.0015,0.194,Dog,dknflhuvap,dog
CAt,dOg,-346,0.4925,-177
juuylucvbf,-577,-0.222,usonipcwla,lnabgrcjtl
dOg,0.2805,721,625,-0.426
DOG,-0.3505,trizebnbci,0.0495,knhjszvbpx
-0.0285,irkxtajpnj,rqtpsubtml,zlomdlkpuf,CAt
326,orkttzbkeo,-0.132,-231,CaT
-451,dtigytgotj,DOg,cAT,lzeudrjaou
402,-185,hiopmxqkrc,-708,dwntmexzsj
-0.3425,gruueostby,sdrmoretku,doG,-687
DoG,86,368,gxrwvmbjsh,535
-759,rczksnfzst,211,-0.1065,doG
187,Cat,68,-793,cAT
zolzygguzy,izlpubioxv,20,0.39,cAt
224,0.471,jvdjsamgxs,-381,-0.3405
sxhcotxiuf,pmgndamgbn,whfjiaelky,sbevqfkdcy,djahizfjfg
-776,cAt,cat,-502,139
udpjfdllnz,wciwqvfaon,-0.498,CaT,0.104
DoG,-774,-993,0.393,pdleulydcm
-0.4935,leeeeyzarf,ijvbsdcbnc,yvaogdteyu,-252
-0.2775,0.476,887,-0.128,395
-0.1855,0.0935,eyycvrrdku,ksbfejgppb,0.279
875,nzizivonyt,-0.3705,-0.4045,-0.2755
45,0,-0.485,0.398,357
tcehbwkpaq,0.294,449,DOg,616
351,-0.458,DOg,0.421,qifpykhcjt
-0.386,-724,bmlgbyaatl,-0.4115,169
cyybhlfnnv,dOG,-222,-237,903
CaT,-0.063,aegbnhyhjc,Cat,nymrlqzqfj
doG,cAt,hojghhxotp,-0.283,-0.155
mpynjtcode,-678,caT,-0.0665,0.1835
0.338,hhykshgnpn,-0.3965,-920,0.296
0.272,-145,0.4245,poxzpcelop,vbzergkyvv
-234,CAT,27,obvagtspmk,-250
0.1565,-0.3855,-685,0.2695,ovfksrozva
DOG,ttwdmyeuty,lylbrhnqyg,rhkndjgyeu,-0.192
CAT,cAT,-417,ftxdlxoxtl,xxqvomacus
fnriuqeqnv,cebasubhnn,CAT,0.266,dzudrbnntu
dog,0.3155,-0.163,-837,123
xqhcwiituq,785,681,-295,348
samxhsyaxf,fpmbyqlvtt,-0.0665,dog,cmyxagfnot
-386,912,436,-0.371,0.375
jeeqzlxtnz,piduyvgadl,-109,0.1785,594
0.268,0.0285,lrhffqwtrl,-0.3785,dOG
cat,kwiqwojewo,666,CAT,-74
