awqrlrmoer,eklpnfjatx,puywoacdwy,jvumjwknbt
Cat,caT,0.069,0.275
0.31,DOg,-0.349,0.164
-200,zgxutgjqkt,-521,-699
edgburwrzk,0.0885,848,blotyootpr
-145,jdppemegie,CAT,ngiowboxqp
-697,bnomyakeaw,xutoiqvxgs,0.3695
DoG,hnhcthkzll,928,nsgsbyjlvc
187,-0.143,DOG,-365
-522,dbctdhshbk,fodhsjpabg,CAt
ifougvxcbx,0.313,-0.0395,CAT
dOg,doG,37,nbysffdamb
dOg,pvxxsnhpui,156,aysfbpvfjd
-0.063,-471,wozqzmrryc,0.096
0.497,CaT,611,-0.4145
-0.4345,dog,-0.231,0.399
0.1305,Dog,-0.354,-0.4805
0.2595,mbqscvqjrs,505,CAT
0.463,byyfskjdvc,-0.3515,-0.1095
-0.0305,-344,0.255,-620
0.196,ueyzaeqhai,352,guadkqfdtq
cAT,caT,-0.0205,cvmljqswpk
ujowmcuznz,0.02,-550,cgcovjqkuq
qymjatuuzd,fpukabaomv,hgkzxxyayu,uokjipuapg
-0.2285,-0.2445,537,720
0.326,361,jokvqioeln,-605
