uexrcagyop,gnkcqvirvr,dhscbycfpd,pET,pamnmdmjyi,kdmcqsfmzw,ytfddebvwk
dewywrplgd,idudwyeqlq,eglcliophk,Cat,-0.408,245,uaxrrdnvab
CAT,394,0.3015,vlvwqwjndl,-0.0475,ucgcquljfp,kjkvfzpryq
nqlujnzjgq,506,48,CaT,cat,epqfoejehy,0.4125
-0.4405,hoifoeaesg,-0.216,dOG,-0.259,-15,iyvsmfmpdu
217,xautaokjpp,caT,cAT,-0.083,0.278,oullqtmhlz
CAT,cAt,-0.3685,496,-945,-0.0115,0.2035
0.18,vsauruzvao,hjeulefmhw,DOg,qivswedupj,234,caT
-0.2385,-660,CaT,cAt,-192,doG,thtkahmztx
-0.22,-303,-0.339,caT,unkhmbluqg,-0.3275,938
-408,rsztajydpd,dOG,caT,648,0.338,0.15
cat,0.22,-0.2635,0.0325,-451,cat,gjwyinsdun
dog,0.4835,311,bihcarcnap,-0.1855,eodeumztbz,mcfifmfcyo
0.2675,-0.452,pksoalorlv,caT,cat,tykwsvshqk,0.3275
-263,cAt,-872,274,-868,cAt,zevbnlkwyz
Dog,86,0.4615,cAt,-0.032,-480,eujehajrxo
dOG,-378,dOG,doG,lzjiynpncs,573,-0.04
cAT,-893,875,DOG,alzotiizwr,-520,0.3825
796,0.4715,sqgjeuoafw,cat,221,DOg,0.127
pssukkteuu,-274,cAT,doG,xsgkjgxyal,0.1765,-287
-708,jwhahpcczv,-0.1035,0.267,0.072,-0.475,0.4225
-0.431,-0.092,-0.04,jndbodkklu,Cat,-0.454,DOg
-574,cAT,-0.354,DOG,dog,0.208,cAT
bnsqkbmfke,165,-427,dOg,DOG,-0.3595,-0.2585
unxkhcmekf,doG,613,cAT,Cat,Cat,-0.089
caT,-0.2485,ervbpcajth,DOg,wuffmvizzl,xiihuoesjp,0.3025
0.0415,-0.4205,94,dog,0.3615,-0.399,ttrrgmubgw
CAt,azuralshxf,dOG,DoG,usefcdidir,277,0.4405
0.297,-392,dssvabmlgf,dOg,opxjvqqmkj,erdzpesepy,-0.0145
ujiehmznhc,DoG,xqxgonvyvd,Dog,-83,-539,dOg
Dog,0.31,rjlwdepcti,CAt,-766,480,ogzgurnnmu
kigjhswgbr,404,0.459,Cat,-0.286,vgvwtjvrep,0.123
250,-0.4185,nqkbujicvp,-0.283,pstnxkvkbo,0.227,-41
-0.309,apeitvyjwh,cAt,Cat,nfkezizgee,gzbcrkflno,0.1475
0.3875,hjrdecbjwd,pvgporqobp,277,0.378,joprfzmumh,ipxaniipme
cAt,-187,-819,CaT,-411,-0.103,-77
0.466,-0.143,Cat,cAt,fhaexzvrko,CAT,81
-0.432,-842,hfdlkyjtzy,0.486,-0.1355,CAt,-0.4
0.062,164,qzwinbglxk,DoG,747,cAT,0.36
-456,dshnwymzjg,DOg,ckjjmbjeof,Dog,335,-647
218,vtlexgqmxs,ugfleeepmz,dOg,-0.486,gmrurxihfb,563
0.392,0.468,mfiibmiotv,dog,rhfiidwjom,-0.259,xtvpbnnebf
78,0.346,caozeerlfm,Dog,-148,cAT,-443
-602,alqelttogs,361,dog,lytnqzforj,0.037,107
cjrlijsdlw,CaT,yglamvtwsm,DOG,tsiufgjscn,CAT,0.4485
0.427,kkaopunpwd,tlhkeyphxs,skyfxrofvr,DOg,84,bwlwggolcr
dhaibkkoop,0.239,-0.0325,Cat,CAT,ynmsaaawca,0.285
498,bgpijkerkf,708,DoG,-279,-394,-720
0.3735,DOg,-716,Dog,vtiyqjwdrb,DOG,371
-0.474,xyloaxxkgz,-0.397,jelboysekt,-566,-0.343,-0.031
fuofnxdjnm,csbirmpkwv,pimfmxceoo,orxabdiqzo,-663,-0.4775,doG
364,cat,0.348,dog,-347,igepuwkaon,-0.454
riplstnwyx,jdrttrfhry,riqaamopha,CAT,-10,0.2965,-0.433
0.436,323,0.0665,DOG,-0.266,275,-330
0.2665,833,-0.482,cAt,0.0525,doG,231
-737,pyxhznxcnu,891,CAt,-0.3105,737,doG
0.0285,0.437,aaztamwxyc,DoG,qjlthegtkw,cat,cat
541,uycqzmqkcb,Dog,CAT,nqlhdccinv,czahumkrsq,-248
pgwceovdpk,brrniskqny,Cat,DOg,kncsjhfgnm,678,funcccvwyj
-724,778,-202,blweeqgumw,0.0035,cAt,cat
Dog,joghvsfdlu,dOg,Cat,xjdzkayidz,sudkbivfll,dOg
0.225,-416,lefugdgbtv,cAT,894,-299,-209
