mddfltxxjz,wuknrlzkhd,wycrtrufrj,rzzefkbmqi,oeuymervsj
708,-485,0.026,45,ynuwmlzcya
aczipygnzw,957,-685,qotiuwiftk,-481
-138,0.252,0.3775,747,clqkbjhllm
-0.426,0.0075,caT,hlkggehlel,101
jeytpmxfcd,-0.1555,CAT,-0.235,-0.3865
-416,CaT,359,0.3135,640
jjpowbmird,disokzwopb,0.3895,zmmrwcalzj,bevvljudgy
0.014,htnmiwifyg,-682,632,0.0695
0.248,0.2425,0.354,zxlynchaww,bmfbdefuei
pxrsmhknra,-0.3685,-0.2845,CaT,0.4175
gnjlbrowsb,dog,-648,0.3235,DOg
-0.0135,382,hienyjliso,Cat,494
CAT,-0.0945,51,-765,tzpvvoimgw
jbselkrjdk,0.2495,fkqlthvdvm,-905,uhwccbqkzv
-699,0.199,nvubyxbkjw,-0.312,0.137
-0.137,-0.169,-0.4635,DoG,-283
451,64,-177,-0.2665,-0.3885
-285,-0.301,cwashnccqj,rdkvvpqndo,gypoqmueon
dyuyzazpxb,ovhlnjovjq,143,742,cwpbejalmi
0.372,-698,avdtqeiapp,vzrsziespk,0.1455
0.3285,dOg,pvpohkingj,-836,737
lrssqzqgrr,lhqoqtjgkg,716,dog,-241
oiqgkadgdf,-83,0.3025,0.4265,-964
605,dOG,jctbphnudf,-0.4575,cat
-0.4485,cat,dOG,534,-273
wrslzklhhc,0.297,919,rdyyhlqoxx,-0.0715
gksxdhifud,-648,wwckxifmzv,duzzlepdgx,-0.2685
937,136,zbasqsihnh,bmlgkccfqv,mfyahzfvio
60,0.095,oncehrjhfj,-136,xmuoxhwiwk
vkycaqgdrw,kgvslekrbq,0.092,598,fgbxsuulso
zqszmvtbxi,-0.0415,-0.3595,720,404
-814,618,0.128,0.2555,qxgxsyjsci
-0.438,bwtlczgeth,uokelyipvn,754,912
caT,Dog,-220,DOG,0.336
icnmuzeqxy,0.114,366,dOG,88
zimolnxmnx,bzfmucrvcw,-0.0535,752,557
0.1875,-202,dOG,-657,0.3665
doG,349,-268,28,295
gsamxpzdbr,-0.3355,pxkqvfuvcr,-0.4275,0.4845
-184,-0.177,DOG,0.403,uexhapdpax
340,574,sdbmrmjcfl,ofctithppt,-0.123
0.2205,xhjwsplkba,0.0625,djcgvnxpkp,crzhbumooe
