ccyvllplda,peT,mblfkfxely
880,CAT,-876
-0.4775,CaT,-0.1185
iyucoydkpx,DOg,759
0.1385,Dog,-908
vpjofmhmzy,DoG,939
-730,832,0.36
-0.268,dOg,-397
yfklqtjxtc,cat,-225
-0.271,dog,404
jufnnkunpy,dog,CAT
-673,0.314,DOG
sbdnffsybl,CaT,473
915,Cat,kmgoreyaul
cat,cAT,zkhojrayxm
lgtktleksr,dOG,0.192
0.089,emagrnlxba,bkcfhnnjcc
585,DoG,0.4475
-179,DoG,-0.3395
305,cAt,amvckisegl
lzybdzvjdc,-166,362
-731,Cat,-794
-428,0.061,0.3085
-0.2705,816,843
cAT,CAT,-709
nigwnzxrxs,Dog,doG
Cat,cAT,doG
DoG,dog,DOG
-511,pgqpventpm,0.075
355,DOg,0.4355
uhudclnsdl,Dog,CaT
pxkuxmqglt,CAt,0.257
279,223,-0.2975
-0.492,doG,nkwadifnxb
indkpegzck,433,CAT
0.098,DOG,CaT
cat,glhjalsmbz,caT
-812,dog,995
45,CaT,554
-0.307,cgylblpsem,xjfvfyfevu
tkkgbdxedh,CaT,bvbpxpfntj
-258,DOG,jqtausbude
Cat,Cat,-40
0.221,DOg,192
523,CAT,DOG
559,Cat,0.4165
uxvwcwlgvx,Cat,0.0505
tddmahxqmv,dog,-0.214
-888,cAt,776
0.484,caT,465
-936,caT,-154
bddrxtmxgj,dOG,0.209
gafmithdvn,0.2395,0.458
751,-0.0115,slxhrybxck
338,dog,caxpmifpwv
0.047,DOg,-392
668,DOg,-0.11
edsfdztkfo,dOG,680
nygwwyfycq,dOg,-950
-0.227,Dog,jtbuqgkmyw
zjyuafxebd,DoG,0.3895
-374,-4,-516
0.3795,-882,gxymxptrpv
-0.342,cAT,umrxvscpgc
Cat,-0.2835,-312
0.3875,Cat,-712
xixsmbvimv,zcnmkjitki,dOG
-0.1225,cAT,ymekzezgiz
cAT,ituniwhkdb,cat
CAT,DOG,jxwujrkypy
287,doG,osgblfxark
0.0495,caT,bclgxpjqjp
hebmwqzrkj,dOG,-0.423
cpwsvvcdbt,0.179,ybyostnsbd
gaobumojug,vfeueyqebv,DOg
cAt,DOG,-0.4655
