bcwiyxldfc,qlqgmxtpqx,wntpbdxopx,avqzuanscd,ojougprsjk,pEt
kndnhklgwj,-0.2415,-0.147,311,-0.4895,-0.013
-0.439,945,0.153,CaT,hjjjimhqty,Cat
nseexchfwd,0.183,202,-593,-905,dog
-0.009,wzgiuimkzg,0.413,96,ujvavsmfer,cat
-944,doG,-898,awyrdmyowf,-0.47,CaT
0.0845,-0.361,laasxbzsqy,pxqlukomvv,-0.468,dOG
sfwcusevhl,0.237,jxlalleomh,CAT,DOG,cAt
mumzucajsr,utqqopfsvb,Cat,-566,pcmlcuxygr,0.3685
0.4555,434,caT,kszavfbffy,105,cAt
758,qxhbqvzpfs,njieotuykl,wqtpihoevu,0.2395,DOG
0.2795,dOG,552,legtqbfnje,-287,0.487
gktxjnijjc,0.4225,-0.363,875,0.073,rqvkxxexsi
-398,zgdxnhpiyv,-933,830,-662,CaT
zeawqjebcz,-0.438,0.1005,khldlkspho,424,cAt
