nojnymyduk,udzuoywfrm,fcwyzbozoi,vqoyxckmjj,rkmytxvbdi,PeT
506,ylkcximqef,zvjhnxkrlu,DOG,rwzkazhmnz,cAT
litrawafyq,cbjvprozbn,ctrelozmxq,0.393,ivdmounith,CAT
erpkfnzxgh,CAT,zmefcbrkvw,CAt,pssyodmsou,DoG
uoumlnjawa,-202,uhhcvfhzrp,aoalderyoo,-321,caT
huffnvovtp,559,qyrrybdkgs,yaaorzlmlj,0.4385,0.1065
-0.047,-506,-445,-0.4145,hwvcdjgthb,dOG
Dog,0.4425,-199,luabciqccz,fcbvqzfujz,-354
0.1495,-0.115,gquicbdese,0.214,dOg,DOG
343,321,-408,-0.2095,uflhkmvqjq,caT
efuiulzpzg,-917,-0.1205,-0.167,-0.348,Dog
229,-445,-54,CAt,0.462,cat
-0.028,0.4295,ebcppesrpp,ebcumpseto,-686,cAT
aqtuxalwwl,0.4635,0.1395,wafoqjetxh,aczsnqmant,cat
wtmklhslet,0.2565,CAt,eosgbnprvn,-0.4175,dOg
-0.452,DoG,0.0905,-0.1995,cAt,DoG
165,CAt,CAT,yxwhgkdjnv,0.1355,DOg
0.0885,250,0.2625,Dog,cat,CAt
zvaqpwxkfj,0.0735,dog,-580,DOg,524
doG,-0.3665,cat,-480,-570,Cat
-961,-0.0285,qrofklwvqi,-0.167,mzgiofpwkr,CaT
-631,286,-0.389,woywzqords,-71,cAT
exknaupwvj,-0.236,ihruwiscak,266,-0.404,DOg
cat,dbtamgksva,ghqsfbtjmq,DOG,jptucdxbrc,-371
-241,0.4905,0.1305,517,-0.371,-0.1355
vqreakzovv,ojpseuophw,-0.171,-0.0485,-0.3795,dOG
0.2735,661,Cat,0.374,190,DoG
0.21,0.025,ylxuogqmlx,-778,DOg,dog
0.304,cpcnpriynk,CaT,611,rnawnyotrf,CAT
huimworsnb,ohvgnwwdnh,0.2765,0.403,vktiedlonz,dOG
-279,-453,79,dxwbtqruyc,CaT,doG
0.093,320,DoG,dOg,0.237,Cat
qehkfilzam,0.022,gphbbyoaob,0.3235,0.123,cAT
-98,DoG,-0.081,0.2035,doG,rpksrfdmlk
-0.427,896,-0.16,wlpjzhdloe,-77,DOg
620,931,CAT,444,gdiwnendtx,nlzjyflakz
msmrfjqvhx,-0.421,ztwputkrkb,etiqrdetxw,208,0.429
-0.459,-0.3285,cbbksabbdf,935,-0.489,CaT
bpczdiomnl,824,imrksfbjkn,793,CaT,CAt
0.343,doG,-0.0005,618,pgjmoflfyf,-666
0.0995,-921,Dog,Dog,-976,0.0175
446,-930,238,vyjgkcuykg,-0.2065,nllwnmtrmq
caT,eqxpcchqrb,-0.108,0.232,DOG,CAt
nxaqfakgpx,dOG,-627,-0.284,-0.315,dOg
0.4815,doG,nrktxmzgws,hjfsomyick,0.324,cAT
-1,-0.401,cAT,0.4715,-519,dOg
oltuhjvzku,dog,0.3165,-144,-108,Cat
698,0.0055,-3,364,CAT,doG
0.4595,-0.2935,-0.0425,-686,-782,jpjbolvram
caT,lndbngtmzr,715,996,pbfqygempa,dOG
uasctdxspl,0.2755,60,-545,474,CAt
0.489,pjhkauwpas,-771,0.483,0.49,0.0515
0.331,CaT,177,855,-0.3085,431
upyjwtmnav,-91,Cat,89,DOg,DOg
drattftmpn,cuffkkkvrs,ebmgnghxlj,205,nghrlrqwre,dOG
boebcgftfy,-768,cuwnqkhhho,-839,dlmzkunviu,vlyxdzpqkq
0.454,304,-0.1825,kkfiosydjl,aaldrqdwsk,Dog
Cat,CAt,51,qhobcjzwwq,dOG,dOG
496,DoG,cAT,tyodocqmnl,mtbsllnsse,dOg
DoG,ilnossdjtp,wqzxehfbey,365,CAt,cat
126,ccrxejpbbx,aaivwpdgil,0.451,doG,dog
-524,CaT,cAT,jdcovjtvqv,auvkiweabk,CAt
327,caT,-619,qdkouroppn,-66,dOG
-193,gdhgkoebes,mlilowzjal,-230,CAt,504
729,-493,-350,626,-703,DoG
dOg,-916,-0.1085,489,-496,Dog
dOG,447,-73,-0.2325,0.1185,dOg
Cat,uwawjuqogx,0.3385,0.386,xipsbhwvlo,DoG
meilcpvaxr,cAt,271,-610,-959,CAT
863,0.4815,-612,222,mkuroqmnhr,DOg
DOg,962,158,DOg,DOg,DOg
ocflreerdt,729,Cat,0.3155,DOG,DOg
-885,-0.2095,vennmvvmhp,kitknnnyzx,127,dOg
cAt,-0.328,-926,-424,-0.309,caT
DOg,jiqcnfbgpq,jzocqvggse,CAt,cgyjfwshqi,DoG
-676,-434,dOg,511,942,cAT
-116,chdtyrutzs,cAT,-807,60,Cat
-0.2825,-803,2,-36,-0.258,CAT
ddejatbcuw,qcgewlaghd,-0.425,-0.1665,-269,CAT
exbqfoolwp,cwzuslgpqe,DoG,dckiazyeoi,107,lkdurqvwqc
hyaalpwnqk,CAt,DOG,nozlraivph,-969,doG
