behwljgsyu,rxbtjwxops,ezaaatxxqi,urpzdspnof,pEt
zeoafzbvbx,bpqcgjlroj,Dog,-0.087,0.1315
-0.3395,-0.107,-0.342,455,caT
-0.183,-0.0585,12,ptalxgxwpb,pfkoifpaak
0.4645,794,pnukjwvmyc,-597,cat
949,0.427,-607,Cat,CaT
enbzwymuvt,0.4095,-0.369,761,dOg
tqfmxhohgg,CAt,ktzxoofomd,-632,-0.4675
dOG,-0.0095,qontmayvdi,0.29,DOg
-778,-545,dthoeoyeoz,lrzjodqkqh,Dog
0.3645,DOg,-916,-664,0.3235
422,585,236,-735,-0.09
-0.173,tbdgtbknmo,-0.1025,DOG,-62
zthojmgtyv,vfjxhhmusf,Cat,cAt,679
-0.334,fxhfzeyida,583,444,CaT
-262,dkmfkixfjt,761,-797,0.4085
880,371,-593,aslnqfluqo,132
unhdkrbtzl,Dog,109,mpjzcgegku,DOG
toaeyogjjo,0.1225,-0.4585,44,DoG
-0.28,-803,297,-545,dOg
-0.01,0.328,phknqadmxa,0.398,dOG
-274,-0.0595,ccspkwovwp,-0.342,DoG
-106,awmjgpqdep,rapojxusie,792,DOg
0.0735,0.145,xidbfiykij,rqgmmifnmu,CAT
0.4255,doG,CAt,-0.0455,dOG
-0.4385,0.225,ghwkryfiaq,0.035,CAT
0.444,0.248,-0.219,Cat,Dog
380,cAt,-18,0.068,Cat
361,-0.1655,-782,-0.3415,DOg
rzmhzdchjx,0.3395,0.201,-892,rdiazincuf
blayncvkaf,fulraxmfii,zkcgesssno,pfqcvysriy,CaT
17,841,cAT,-630,dOG
-203,-0.3765,-434,fdsfwluyqn,-998
0.154,-270,cAt,-580,CAT
hyjmwrorcn,-0.07,0.399,scancgyclj,sfxhhhrjmi
DOg,-120,0.026,hdivlrjuak,caT
964,ccejmwjfwm,-145,-0.3385,caT
edygmqqlzr,0.4075,-171,ujhysywbqg,Dog
-0.2675,itkpgysgji,pndxipovgn,849,cAt
fyzienhuii,mnufbtcjlm,ixrgragpaw,-847,DOg
-0.4065,fytiavzkbe,-0.267,hywvjyoncw,shclfwthih
wpzziheiks,-0.1495,caT,dOG,Cat
dog,kzldlzvzoa,0.1455,2,DOg
-919,-0.0695,123,0.2105,cAt
cAT,-983,227,Dog,DOG
-0.335,tyltymgfbq,iylrbbacyf,dOg,cAt
-0.0995,scuklcftrt,umsgemonjq,687,DOG
-720,doG,dog,-956,CaT
febdfbmmbf,jdfflkgsjk,-839,rfrlojtkpc,nvhgzmborw
pekjccvskt,0.2305,dOG,ckwymfzxyf,-0.1665
645,dOg,pujcgcaoua,-667,CAT
-300,-0.0185,mslqqrfoao,dandujswlo,DOG
cAT,idiehyfjmf,-45,-0.4445,0.116
-0.213,0.3325,hufrlsovid,cirsiorutz,caT
-0.3635,-738,-79,-921,Cat
0.0955,vurgqatwkd,vmvijfhwld,-986,doG
ymgeeflxmq,-270,jttegorwtu,jkpwpcbtrx,-515
caT,caT,diyhoyyuyt,-880,doG
Dog,CaT,gmovtbxzub,ucmasdikei,caT
286,uwxzwfvfpp,cAt,domxmxxixj,dOG
799,-652,mbilijupif,llzbiulwlx,doG
doG,123,xzrxdystwo,blfrqarqba,cat
CAT,DOG,CaT,nyriywkhwj,dOg
-800,dog,swpeelmgml,gmnaecjjso,caT
0.091,-0.1265,-0.2315,CAT,cAt
0.29,-0.209,kesqmulpvo,cAt,-0.466
-537,cAT,kfbvpjyqzs,smrfeopfhf,DOG
qgjqusfyzt,qstnducktu,DoG,ewdlazvnka,CaT
CAT,0.315,701,-304,cAt
zdipkithmr,rdbsgbtjjt,osphwemrfy,cjwrzbavzb,-985
-841,uvztsmmfda,429,-234,CAt
666,-726,fxhxpfsebh,-79,cAt
pqmkjeynwv,bjzlqpsgfy,-0.427,cAT,CaT
-0.092,cAt,cAt,-0.37,gquxpvovep
-0.075,-0.2055,-542,809,doG
-0.339,341,-0.051,caT,doG
Dog,-214,-0.4465,DOg,908
ebklypbuut,ikzbevekaf,677,924,caT
-0.3825,DOG,jvfyupdbaa,701,0.4045
-694,464,bwnlrehgnj,533,DOg
xvfvfbytjx,mpppddyxjm,968,ttksnvvxqm,mqjfinuzzl
-781,572,CAt,-0.4185,dog
0.189,0.2565,78,347,711
