xpuvoktamh,pgytruyiln,Pet,slgivnbdlz
-943,ffqnnmbuby,0.213,-866
rzdznwbfcz,0.1655,Cat,xsmhmbrmwq
kglmewuzei,DOG,dOG,-0.304
cAt,764,DoG,lieaowuqut
0.4925,-0.109,dog,kofhcmljzh
-0.293,0.443,Cat,-0.1545
414,530,789,blckkvodys
dOg,ikchwjmivo,CaT,0.146
158,fqwiqkokrj,gwuhfmhvzj,825
0.418,vmlkqjknis,-0.3735,cAT
-729,dOG,cAT,CAT
gkyyjdipgz,qajxlmbjbo,jkcgrvodhm,Cat
0.416,-245,646,DOg
-0.157,dOG,doG,wzmxgijgyq
0.169,rgqbaprxwx,dog,-0.401
ehbhhrlqlu,rpseqhrqjk,CAt,twksagnxtg
537,fdyxbgpbjb,CaT,-458
eekqfdxrir,-632,Cat,puykezodru
0.4685,hwbarmfexu,DoG,DOG
xrdewlwwtt,dOg,Cat,0.0865
-0.226,154,DoG,tzscmbknti
Dog,265,cat,0.489
-0.047,-0.144,thrvsgqwiz,-0.17
0.2045,443,Cat,-829
quinxobwcm,114,-0.4435,-273
cAt,0.0755,dOg,0.291
962,298,CAt,-0.1175
txubceszwt,-303,cAt,pwwtussvoi
533,cAT,CAT,110
sgobickbgt,898,DOg,-0.073
-44,-567,DOG,otupsuzkut
zunjutmwwv,-145,cAT,-389
-0.2585,doG,dOG,jigdbwobln
