xiaijudsqv,pEt,exrymadlqq,mhxdiuvtwp,ewbuxrwsnp,vfbnvcddhj
Cat,dOG,CaT,vctzxiuhtc,khtblggyvx,-127
pscinskiiv,doG,364,wukddeasbz,0.1605,0.295
-30,dog,-0.2375,-0.1335,-0.1775,432
-0.255,dOG,dOg,302,-334,qhjtmomvlj
doG,Dog,CAT,andlhfiivu,wnvbzpwoic,343
oteverbfhe,CAt,0.029,pebuxvwmji,caT,dog
-0.4305,-0.142,130,ooshyeelso,lgzuiyartq,cAt
0.081,Dog,-0.057,-0.2245,-0.212,vzeqrzslyr
-878,dog,uyfmnfxapr,33,730,-0.303
-594,CAt,0.031,-857,0.228,dOg
dOg,CAT,xcydnnkqkd,doG,-951,-0.3005
pqoevawcca,DoG,-388,324,-0.069,zqqfcpmicj
499,cAt,uwfqbcbosx,dog,0.4295,cAt
doG,CAt,637,cat,yrpeuxpwrp,dog
ywosxneorz,0.0865,-649,0.18,oikpdnhwsj,0.395
0.342,cat,-525,cAt,0.2295,274
kejdmsiqyo,dOg,188,kwifqpxumc,0.3255,0.2715
-0.3305,DoG,dog,-7,-0.1205,-0.0605
-0.1175,srlhucbkjd,911,-0.3345,gpyrosaxoj,nmejenjwaa
-0.3345,CAT,CAt,xpvmzfubmj,heojanfemw,0.253
cicxosvcdt,DOg,CAT,Cat,128,-0.342
0.1455,xgubclkkqz,-0.052,CaT,-0.388,-719
812,0.446,-562,zbdllnlmga,13,447
-91,cAt,dtlqtuokaa,469,dOg,dog
767,Dog,0.1255,-0.465,0.308,-745
-887,dog,-0.443,rgdaydnzor,dog,241
0.0045,caT,-24,ekmlwidohu,dOg,CaT
-49,doG,-584,954,CAt,gagkgwzcwd
78,CaT,pyffgisifi,-217,-906,kyfzithcjp
rroatgfdoz,DOg,-0.1135,doG,527,CAt
402,DOG,-88,-515,0.447,fznqohretp
CAt,CAt,hbkwgbtlij,xqfymjdoyz,mlhsodhkls,CaT
0.223,CAt,-497,-0.1755,0.165,cat
0.4915,cAT,0.2055,hqxmugajex,qevpffbkxg,943
obippvmdhk,cat,kvcgglsdzh,-0.3905,210,164
eterxgntil,CAt,-0.068,caT,rtxbfvhhnw,-863
xtqwmqelge,0.0185,CAt,-0.4065,cAt,DoG
caT,DOG,whigsuandx,CAt,Dog,0.2435
maizaxyidf,-20,-0.0905,doG,480,-624
848,CAT,kbtkebiznp,DOG,Cat,DOG
yfyrlmtrqx,lzjcoxodvu,-0.061,dyqkecvbxh,-0.274,krjcsbtcvs
-725,doG,dog,625,0.1125,CAt
oshscuvtcs,CAt,839,vvohtutsdk,-608,-0.0355
fehllxxkni,897,cAt,dykpwyhvof,0.3185,0.0885
iwhxoqhbld,Cat,yheavmbpjy,DOG,zdvzmejevi,0.016
