braqgljzdp,gtkghsxwkz,edmragkiuy,ezgxskausm,jplcadhsyq,kbhfmdwmzl
CAT,-0.2675,-896,mwgstwnwqe,-966,Cat
iqslqjrsop,-636,caT,CAt,-0.0985,753
jluzmynifw,cAT,-0.3085,0.4175,-0.4775,-0.044
-0.3635,-840,0.0995,CAt,hmqdlcqcxz,cat
jhvpvsfxwd,-324,0.2015,wssnebfdco,resjznvjyl,-0.322
DOg,662,dog,uciajneozb,orvmgmxfhk,yymabttcym
hfapjeyvox,-0.0355,326,DOG,-0.2175,kosotuxcuo
-0.4405,-0.3285,0.273,hsrngljwfm,luinwganbe,0.4195
bmpypnjdau,-472,okydudclph,dOg,-0.379,625
246,DOG,fhfvawbgyn,iobmeraqse,0.234,nicvlonjrg
akskjhkjci,0.1905,blfofmjkjm,CaT,caT,-0.3125
-530,ftqorpmfmx,-690,DoG,80,pdlhmrdvnb
dOG,urgsneuukt,rbsyffoswt,Cat,0.494,0.1215
20,262,doG,0.237,wggznrcafp,919
-714,qhcamcyxro,ujkecdxhtr,-473,-0.042,629
0.4735,givosnftan,lnlnzdpflp,DoG,dOG,bqyzmwjwcs
199,-475,775,32,-881,glzfqbewhn
-525,-0.287,-0.3675,gttmjyukls,-0.037,ltypiykhsk
evtvusficb,cAt,DOg,Dog,-340,0.135
caT,dog,iqrhsvrrwz,slrzwdscsl,wmnemlzfkw,0.1085
caT,cAT,295,wbqsoferiw,ognqldwjpv,0.1895
0.0855,DOG,wzehfjsink,986,0.132,242
xooqfozzmu,lcfotbrlhu,dOg,986,zigqjjneja,0.349
Dog,-0.178,433,kmoqaxwkkl,0.2545,-13
mnfuuafxhn,uhtlnpxpbe,0.4255,0.0345,tptwyecdhn,-510
-0.2475,0.455,67,nmlmnlsjgq,0.169,632
xumevqxzyb,-0.0225,dOg,nzngzjqhwo,-630,-189
0.426,cat,12,0.002,107,0.131
kprsntlwkb,527,dOg,-0.4435,-427,341
eifntfcxuf,wfvhnhweyp,888,-0.481,-90,DOg
554,0.1635,0.219,-215,wvyqhytsuu,892
doG,zsmaxoogdo,324,mrcmlpuaqt,0.1325,327
0.3645,doG,690,-0.323,-328,cat
DOg,629,323,835,uqhsjggjdl,caT
cat,CAt,wmktvcmffl,-810,-0.2005,-931
-617,225,732,xhcffihabw,-278,0.286
129,0.217,0.2945,tgtdrjtgls,-0.064,cAt
mmyrfknnot,0.1295,mmhicskfue,gzgceaixqx,318,nvopknvuvq
qqtocjnoun,-0.153,cAt,0.2855,-76,644
-0.1925,-0.3535,cAt,-589,-681,0.3845
tztvwoiicw,dog,cat,rzsqnvxgcg,0.4815,ahkponujie
