jjsdjdmqhn,gchanczefw,zuxgmclkmn,bzwrbwiqoy,quyriuykqt
-0.4585,864,DoG,kfhtublxxb,rykjczxwqr
0.2635,caT,vfnbghtode,-0.0735,-940
0.235,wiamqgphxa,cAt,-0.4375,0.364
rxsoysiyxh,0.3095,Cat,0.1555,1
CaT,bbkupwscrd,0.1425,0.169,-940
miqnsxvigq,758,-110,yhsaszmihz,0.1195
0.4515,thkzmwraop,-0.0915,caT,-262
rqphxeghfo,bofjkrmjru,yyrhxcefqr,-780,-0.158
zsublyxglv,-0.0095,CAT,-0.1225,fddeyhlndx
-0.044,-0.379,jdjhomnqtn,dOG,dog
-0.396,-963,hsmzszwuqg,wuhbquikeb,ordtmnppya
CaT,-0.4015,-41,275,0.2075
-0.2715,-0.337,cAT,qybxqmjiks,cAT
dOG,uqsntfkguk,wjetntqkec,Cat,0.4065
-681,0.3395,614,270,CaT
-0.438,-361,-152,aqteogglxm,CAT
0.4475,495,vrovkyhzja,DOG,gfmnynnjrn
osdpoxisrf,DoG,0.0965,-0.3245,700
711,pjakhewrrp,-55,-695,-0.4055
fyencufagu,898,bbrlxbkuig,853,doG
0.179,215,zuhnkykimj,Dog,-0.0085
-85,534,llptplvlvj,377,-0.1615
836,0.415,-391,931,vuruetzrka
mlloknjdec,0.3855,-894,uvtpqxmkiv,-970
DoG,zifxncuvdg,pzrwskpemf,Dog,CAt
lnqmhaqvoj,eonyikvvlg,0.4305,-0.396,wnpxmytioq
uamfhxaxhc,614,cbqmtfivhv,Dog,uwylgjrcnv
-861,dOG,dog,iqigzineka,doG
-0.497,168,jdxfclriwm,dOg,nbhbyhqdnz
CaT,-0.1615,0.4405,622,atnmekrtiw
ksokvaobst,-768,CAt,impoeghody,944
-324,-317,lrratpbrvy,-0.0975,0.416
317,zitbuomlho,0.365,-0.4755,DoG
gtrxaaagtt,iihsfhwsak,ohiaaumdxq,720,-629
qucjvotpjf,cbtfzyfxct,CAT,-0.2185,CaT
caT,-365,jdzqpqxcwj,-991,-0.459
0.341,-826,DOG,-292,-0.4235
-0.3245,-0.033,-87,640,-0.4205
ilmjezgrao,0.3895,0.355,444,zbdfvdcmyo
caT,cat,ottaduqead,999,0.362
0.0245,-814,-0.405,0.217,otaqehbzth
mjsznlolgf,-209,-0.22,0.006,CAT
0.054,-0.3215,-978,uvynketuvi,dOg
840,cat,-0.2355,-776,caT
-0.4655,uyskezadcp,200,-146,ntjyzxharj
0.289,-778,0.1325,doG,whstxmmcpc
bwemqmopth,CAT,CAT,0.201,caT
unomuincwh,nummvamock,csxbinpiea,-0.3325,ztztigtvpm
-0.0715,158,-0.2095,igvvwmpyup,CAt
-856,578,629,0.2955,-851
-919,lqerfpmhou,DOg,lkgtgfhvmq,0.207
0.098,269,477,0.228,-0.1075
dOg,CAt,0.002,-0.1525,idopoweile
ehlrhwqhan,195,caT,-0.021,ulxooqvolz
-65,-153,CaT,0.263,-0.419
0.1795,gxnmgsrdye,aifcvufnkw,kabklalhap,-0.0485
717,nirljsnxaz,310,fldufnsmda,dmgouxvvmy
-693,792,-0.142,934,-0.0475
0.4345,evdjwsdevq,873,rknjnraxvy,-0.036
aejztoweyi,824,255,CAT,-0.0705
DoG,0.2595,378,-0.3065,-76
huevelxglw,-0.3265,caT,0.0355,caT
993,caT,vqoqlqkwil,-670,-619
