pxhaydxfwf,ltekshkcbs,xaxjpbzxkg,vnqoloiurs,uwfeawgimc
CAT,-0.081,656,abdkqttadj,lfxqrhwbmk
kuhivwizsk,43,-204,oylcvwwetk,0.033
cAT,-524,cAT,-0.143,47
519,80,0.4345,-0.3315,952
CaT,893,-0.012,-0.2645,-0.3235
732,pzsbbvpcug,875,0.426,983
-0.072,jqblexjdqt,-0.423,0.236,cat
0.167,-613,-0.239,-0.4555,433
Cat,asxjwqaolc,-802,btwdniwasp,DOG
CaT,0.4475,hoqmzggits,0.311,819
-198,32,-245,0.201,-9
-0.1535,dobvbifsks,bqicsulzmr,726,dOg
-0.178,-0.291,bsmdkhxnzu,-0.274,ildzcebmth
cAT,-0.2335,-713,-0.29,xjocbqnlfs
-0.0545,qnjytwosgx,669,ghbnubplcb,dOg
0.2265,bsdcseunxs,-122,-490,120
Cat,etcvpvheku,-760,695,-954
-0.066,cipvqwqiyo,CaT,pbglguypxf,-101
0.234,165,-799,dog,-0.0805
guagtuijoj,zwnqrmdazv,-383,baajcoewbq,-0.1725
irjmetigdj,478,tcvfwjijox,-0.4335,-0.1285
-859,0.2255,caT,0.4505,0.4085
vssezsnjcr,0.119,kfaxlyglbm,rvjsxzffgm,-0.2065
bdtesjesti,zlsybchmke,hvudmowmfo,-0.487,DOG
zpxsouxoxg,dOG,cat,-195,249
269,122,0.059,oweograroh,czfcutmxdt
-0.335,899,684,izoftviudx,0.39
mjaaacgpgz,-0.0085,966,lsxmbsgdbn,0.43
cat,0.266,471,cAt,217
0.405,knyrxxqceu,dOG,0.3765,frpvazoegp
-0.305,-0.488,0.143,-639,caT
-0.437,yamdloapii,btpuvryuun,oytppguwue,CAt
edrwiivpqv,yjzljcgitr,-0.092,dOG,zrarmxxsxb
vqusogzmox,CAT,cAT,Dog,-129
19,-0.2335,tjdjbnbjtf,0.2425,-109
-276,otdcrgihlz,jpgebjbift,-0.1155,0.159
