peT,wlqilggrme,zzzwvswbpz,ntmzbvvnig
CAt,lxcnfnwxam,-0.322,cazgcvufmv
doG,792,caT,cAT
CaT,266,-467,voupcxeqqa
CaT,doG,0.441,636
DoG,ymdzqtlnub,-159,402
211,-486,209,-0.3005
dog,671,-226,697
DOG,gvnjzzihkj,qxumcoiuto,-0.1905
CAT,0.018,rjiwjnmftu,110
-0.1945,-0.2045,xsyftppgsi,DOG
cAt,DoG,-877,-0.2405
mapetzlzeu,fynldzqmqi,-557,-346
cAT,0.07,0.481,-0.2635
cAT,-614,sofbyojvti,-0.231
doG,-985,-0.4485,paxfxzffmp
cAt,ksatjpfxtm,0.4325,-344
CAt,-715,0.1455,-0.1055
cAT,txcpkyltvf,-0.173,-0.235
Cat,0.3755,0.25,dOG
dOG,dOG,-0.2665,685
cat,-21,165,gppzwywixx
220,ukcdrwjgvq,ggxtaktgyv,jzqjzmyrtl
-0.353,0.4785,0.131,dgrgjnncqb
dog,196,Cat,994
444,49,uzlsfwilnq,glqugkqefr
dog,zxrnifhaam,doG,0.2535
cAT,cspiixtdux,-0.366,1
DOG,ndfqswjbia,rhruhckrgj,-339
-456,kkipzvjqqg,0.4405,0.1285
DoG,436,faxybonxyw,-0.3505
DOg,0.375,768,DOG
536,kbpggwurtj,Dog,-0.0095
dog,DoG,-439,CAt
CaT,-0.048,mawvcgyxgl,kqkrwulvax
-323,-211,534,785
cAT,0.434,0.0075,-897
CAt,DOg,-0.1995,43
0.151,xknbespfkq,imlwnkkgkj,dOG
doG,cAt,DOG,-0.436
dog,353,737,389
cAT,Dog,-0.09,cAT
DOG,154,mtudpjodpx,-652
cat,cat,0.4015,svnuydqkwp
DoG,axvovaczaq,-0.226,njxofcrads
DOG,0.31,kgyngoffke,0.3885
-108,326,0.2695,CAT
0.375,hlklsvkabb,266,vqwfadprsj
dog,-0.4615,0.438,-978
doG,-520,0.128,0.03
Cat,DoG,axokwrpjwp,cat
dOg,246,rbyrghetdy,917
Cat,xyvckqemuj,jocqqhzhmw,cAt
caT,-0.2895,wqcyajjcld,-319
DOg,-54,-0.1875,-0.223
DOg,ylmdynxuar,-207,DOG
CAT,-931,-994,dOg
Dog,-0.242,cat,216
hznncorhai,0.095,wybgdqvfld,fyanxoqasw
CAt,0.1495,923,qcogknhxdq
Cat,dog,CAT,cAT
-51,0.4965,DOG,cAT
cAt,0.4505,0.169,-0.362
cat,caT,jksmujpwcm,0.0385
cAT,-809,0.18,186
CAT,cAt,tebkcjfiox,-0.312
DOG,dOG,0.2695,-738
dOG,-0.007,madsydmynj,cAt
0.2725,qdjllvjgno,-320,-563
cAt,-0.4795,CaT,775
jymqmtkmhf,wqwpwrhuzr,0.47,dOg
ksxtracsvz,-706,-311,jfhkxfdixe
dOg,212,DoG,-252
caT,mpgxdpbfff,uosmnthxnf,-0.3955
847,-0.329,-0.1035,0.414
cat,zlnmzrjrbb,dOg,zbfoervboq
cat,CAT,0.1345,-790
caT,sxkhzpabhm,-0.269,-0.33
dog,-0.139,dOG,0.3155
cAT,0.322,591,-0.432
dOG,0.3495,prtiigwhqs,mowzcmvdps
0.1705,0.3965,16,Dog
dog,-0.0745,0.195,-394
cAt,0.174,0.3635,xkfzhszagk
Dog,0.2455,-0.472,-0.03
doG,0.205,-803,-191
DOG,202,51,DOg
cAT,CaT,CAt,-722
caT,806,reszkptmlr,55
crykymwwws,-0.075,DOG,jlmwczgqhv
CAt,dOG,0.471,732
CAt,970,rpphldgbxv,msgekdbyff
-95,hswzexqqlq,-854,0.3475
