rwcpchcxgk,jcslmqicje,zfecwamptj,kcewmeqeuw,xrzgaerbbe,aqtxzhqoqk,usvafruqrc
Cat,skalojckaj,caT,cpvuszbxfh,-629,-0.1905,kpypbduybm
sarljuichg,-0.3545,0.174,0.1585,-550,512,802
619,0.32,-688,0.2295,-968,ggjthvdeek,653
-0.072,32,0.15,eslmuqbavb,-0.16,-0.2985,0.3185
816,0.4525,0.3945,Cat,-369,-0.2505,233
-757,0.0325,-0.1325,769,348,oflguejphn,gnvnfatihv
ilpitunwqe,wcgyaaotaq,nanolehlcg,cwppybnjrj,lwcndbuggi,cat,btyybnjbgk
dOG,dog,0.0055,-0.252,-462,984,0.343
hclivwztgg,xlvwrzznuc,21,ikyukidjli,0.2155,968,-195
50,caT,pxcxvxqree,198,dOG,-0.3715,kxpdmenray
qvzuwgdexe,-0.4055,0.403,-0.0145,qsrwgdmtxi,CAt,-0.2995
-0.4875,-0.4805,gqxooqazux,nyqixbjwuy,dthkcgdfjw,dog,0.4685
xeepjoulzo,cat,vrydnwsqsx,0.368,ioaubzkiun,xlervxzlfv,-510
-0.1615,ozafmrhddt,-0.319,-165,-0.194,szynffsvto,lyyiwwpveh
Dog,0.0815,-963,lqszvcmuag,0.1495,dog,CAt
-0.254,-628,dOg,0.1305,fdmtoxwbvs,511,482
-0.3975,DOg,qaxixpdvpw,mmgtsfesms,oerkonybwu,dOG,Dog
caT,kgyemautca,-454,wxabvbgudt,cwmwpiztob,CAt,doG
0.4895,cqqyduobia,gjdjgkpjli,146,0.023,dOg,yfvhyydtkk
vlcsecgwos,0.002,913,-698,DOG,-493,DoG
