dhbkdrmfib,lzdggryxue,xzdlufkwtw,lxptbetjvw,wvipuitnxn,wolbkjuuhb
622,tqjxzkfbyt,-0.003,mwizwrqfph,ygrzxnpodq,1
Cat,ryphanhsjm,0.0915,dOg,lyfqotilds,-0.2525
346,0.1105,-0.1275,-790,-231,afvqfyyoug
0.368,-0.0255,gxhnjqudvd,-273,74,259
rxukgalihx,-0.3185,Dog,0.0295,blhfrmzyns,-727
mswsgypbta,dog,951,CaT,893,173
caT,viyhbzhqbk,-0.3195,bmakrjtjar,iqrhehgdkg,-670
zjxmwchbko,qycsbhjjne,dog,DOg,0.168,0.062
CaT,59,0.3455,0.2585,850,-0.011
txmidoakab,Dog,0.402,91,-0.2715,797
rhvdrfdrtg,0.421,cAT,wssvmjbdvx,doG,-861
cAt,-0.0265,-764,-0.1735,-0.4995,cAt
cat,fzocguuwqe,ydwgeovczf,543,lgqybhzigw,rvxlahgsaf
yscggqdopy,xbvinngbsc,uueocsbpxu,-371,702,bnfylhasdh
-0.1915,-0.1455,-0.3815,brhatpfaoo,CAT,axkkbgdhys
bxakkgtawm,gcektniebi,gxsbistisc,ookuhfhztf,cat,0.4185
pdkftcjqub,0.002,0.4985,315,DOG,0.061
586,gjfshqjakm,Cat,-52,875,DOg
