sltbqdpbwa,ikplghlppv,nsjpleluku,djerqglwts,zvztruirtp,qemsgxoeym,bchobmctzc
cipzeynxpn,azsvnzcmml,gjnnbkvpxp,0.096,Cat,-35,plhcgmkakr
-0.165,qcexwbxwgm,ytwlhdqvrg,-0.4415,-0.248,dog,146
-207,sgdrglxgwm,-0.1405,0.017,jpcoltgsnq,CaT,evyycanpmo
-890,xofvbkqlek,onlihwgwsz,993,-366,-0.2385,Dog
-125,-0.3915,274,biyktkpqrc,-0.3285,0.294,gfizsdyyxt
0.4105,xwksahyqpg,fykznzugji,414,241,-62,aoqsgcunik
671,-0.456,-500,auyqyzkdfn,0.058,0.072,wkwqagdliq
-757,doG,86,-320,dog,0.214,-739
-764,fnebcjxowu,dOg,-732,Dog,215,-0.1525
0.398,cAt,zqnskeaqvy,wyrlvmaxtm,xoebfxgczc,cAT,-787
lwochajqwv,127,0.1855,Dog,vdzeopimna,-83,144
srptlklzqv,-0.023,0.0075,gexacnzuxv,riuucxdfzb,svbsftujhy,-0.0735
-995,pnpqufugvu,ttthlkivnd,-0.3265,527,wcfamstinp,-730
cat,-0.3495,Dog,dnllzjnyme,-0.405,0.292,biuaqcwwqp
0.23,DOg,0.2915,-0.287,DOg,-500,Dog
0.0475,uexjutxpdz,htqreqnoay,-0.437,goejzsuare,373,-0.463
rdeqzgbqsg,121,dog,ypihsunzjb,xewszfywma,rbxbiayzel,0.022
-0.0815,880,-877,ampvxkophf,ogonfqatpg,rlirbxxsph,dOg
421,-0.2235,0.082,doG,thxmjeaxnu,-0.251,0.0215
DoG,bwyouzsoip,-0.1725,-165,-1000,720,-0.1025
zyyatdzngl,Dog,-120,649,0.2835,ucalwsxazr,cAT
hgsbekjjti,vkuoiuakqm,cAT,0.4635,755,0.146,0.076
rtpqepevia,dog,xnvhgslolt,cshkirlkhd,dOg,DOg,-0.1335
-787,0.061,cAt,0.263,dOg,-825,-408
Dog,517,-771,0.1185,0.2225,ishdymxxbl,262
ptbzquqwhe,DOG,-0.3795,0.007,anbofxefkd,cAt,jqadgyepzp
563,-645,-0.0055,0.0145,416,dOG,0.324
rnbnqzxyrv,DoG,acmynylnwh,qpphlfhawg,0.226,0.253,0.2795
-0.376,0.164,989,edrawjfuad,-0.0565,0.273,jfiloszkud
doG,prnycqkaxl,0.413,-0.4605,fbghaxuzwx,Dog,-333
egqdooejkm,0.004,371,449,-973,CAt,-932
yyohayoaee,CAt,-0.1735,-0.171,-0.4825,-0.2715,cwfphfwlwr
bjpocyvkgh,0.318,cAt,0.1255,-170,baicycxoiv,-0.3595
DoG,-527,-140,436,gzjhuxkmib,cAT,CAT
uyrunfkkfo,caT,tioerhdwho,304,0.1325,-0.1465,hckhzipivy
gsjrthhbhq,-0.178,gdpqodupag,nnclmchzrf,nezlefberq,-6,44
23,hscgekhhdg,-0.4375,0.355,0.175,dog,-0.2095
DOg,Cat,859,omkjgnpgkd,304,srusojkwyh,0.025
irxlckpcrb,DOG,cgnjikdqwv,hzebhtyfvm,caT,816,fmbnefszgi
