xtrvglnrsl,khktmknwfo,dlvxbgfrgj,PET,nlvycmzwsw,gyvycicaiq
-525,-970,caT,571,wtehkkrvvv,0.1635
zyvkmcfrgg,cat,ahfyybxwek,DoG,0.397,rtgwgbptwq
-530,0.1155,qggoyyarko,252,12,bmygedyxal
-234,-453,huprkwvvqc,Cat,-0.0435,cAT
cAT,uvpfodcfyw,dOG,dOG,-553,-545
0.0745,igrlpuismr,dOg,dOg,zadmpgxxch,ylmbwsuktk
mhesndmlqg,-378,-104,dog,DoG,762
-0.082,CAT,doG,CAt,-468,-990
-171,0.402,679,CAT,yqckkulcbp,cAt
dOg,caT,DOG,dOG,dog,caT
-782,0.0105,cAt,gyxjgraskm,-487,-317
bnlqbdmwsi,igtymgzfvs,ltktlyeirc,cAT,56,-536
0.057,746,-0.3425,cAt,-0.358,881
yelgwkfvip,dacbtyasgp,-0.217,caT,lpymtjkbsj,675
-264,300,-0.201,CAt,-0.283,hezurearnk
dOG,-797,Dog,fhbzvozxjo,CAT,wznkgvrtqy
-0.22,ykdvfqcokp,oojimzficy,DOG,vjotcaayeo,inckwjroqq
-349,0.0615,cAT,DOg,0.465,tvgphqfxea
-462,qvutzgcqwp,ideslvjlde,Cat,-552,0.165
-359,rfmdptmpbt,-804,DoG,dilxqohdqf,-0.4465
413,138,833,Cat,0.391,dOg
wnknxmpwnd,0.2535,-504,596,xdaalkdgpd,-0.422
0.266,CaT,-439,-0.2435,851,-73
-410,rlnntxvzjb,CaT,DOg,0.241,ykfbsvutsy
276,-0.0615,-0.089,Cat,zvmwhjszpp,ldjgdedlnf
-649,-0.465,cAT,Dog,doG,pdevhlwctt
nhjezrmeun,vysvlwltwu,0.225,qleaybzrzw,0.272,Cat
405,-0.2635,-0.2765,cat,0.1325,CaT
doG,okbwemdofu,374,dOg,ngwbojngul,caT
509,vdmiczhjcc,-877,CaT,663,wixuyssorz
0.0345,dOg,egnjsknyco,cat,cAT,CAt
0.387,scmvdvkvwl,CaT,CAt,-0.142,-679
-0.2995,-140,-665,cat,egxkioaqdx,dOG
0.17,DOG,2,-0.227,dOg,zjbtnadcmp
vnelawdcwa,yksixeuicq,-0.084,cAt,zuvtcyuvns,-497
647,0.213,xbnklonqgx,dOg,932,0.388
0.182,898,0.4975,Cat,DOG,qawcqvgcwf
-0.258,CAt,dog,DOG,-709,hmwyuczvpg
lkpzvzfgmq,qnytzdpgaa,ceqrpteedx,0.3985,690,dtjvgeicvr
svjanchqlq,-0.1535,370,DOG,-0.268,howjxpbmvp
0.2075,dontsobfgz,-66,cijsofvrxs,qgdzcvkyac,dOG
-855,indyycfpsq,dOg,DOG,xgyszyfzzs,dOg
-114,bifqbnvmyz,CaT,doG,239,bfsghomwsk
-307,-825,0.4915,Dog,-0.3455,-946
-885,513,-0.219,DoG,0.171,DoG
kewcramgxn,nydbfrocvu,300,dOg,854,0.325
-0.18,0.007,0.409,CAT,0.2865,320
gvxrrqvnco,0.253,DoG,cat,-737,DOG
-144,cwichrvwdk,dOG,znjyuylnny,-428,393
dOG,dmtakveouv,285,nuxodvhfvj,349,0.392
zrvpbocbla,aygzqezfaj,177,cAt,-0.017,kadqtteuvp
-141,ubzrsmpgpo,-235,cAt,-48,CAT
cat,DOG,681,Cat,583,0.427
-0.304,cat,-431,CAt,0.4405,613
-697,-0.4575,bnvhyhpnox,-0.417,DoG,dOG
reifvaxyjw,-385,glaetgfose,0.4045,-120,-450
0.296,241,-945,caT,472,-0.3585
ljeibmgcyf,662,Cat,Cat,681,CaT
dOg,648,-569,owuaggqfjx,xjusutbvjy,nblwlcigvf
0.117,cat,-991,-0.349,740,-0.3885
-0.154,-0.138,jlybdgnyyz,CaT,-513,DoG
ymduxrrkmv,doG,-0.142,doG,jgzgrmuiey,dOg
DOG,-28,cat,0.1485,wawugjnmvf,0.3645
0.259,-0.25,-60,ialxszybdd,131,yzpwbdbssi
824,842,ryvzwptect,0.4205,0.477,iewimcswpd
xjtwjiecxp,827,licribhzip,dOg,-916,-995
CaT,-19,DOg,dog,tmbtosbpzd,DoG
afbahttnen,-0.211,zwrzczrtkc,doG,0.369,gcxzfxkxyu
