tnumzwhsvn,ualixgyrpc,mskqqzlpjb,odfwtlczyq,bvdkcyoyvt
qrfhoromgx,594,-0.169,0.358,76
CaT,cAT,-824,aggfkjezfn,cat
836,wbjmtprijd,-0.127,0.4855,hsdwbdsgtz
-0.395,-934,-0.1195,rxhgfyrpjl,-0.2325
DoG,-0.075,tzdwyqmhod,ttcndjnuvp,-821
-982,0.454,756,vzjoepofaq,-0.2495
-0.235,842,jqdqcalumh,0.038,-65
Cat,cat,-0.426,422,liuxiodtml
0.2515,0.324,pstdsbicoe,qtwproybpx,CaT
-543,781,0.06,-547,0.125
-0.4805,CAt,eriitoixuh,-0.2535,dOg
vlqdkpljel,rbhjdbxdyd,0.0315,931,cat
vqxjhwaxpw,-823,0.474,-0.2865,-307
-0.448,372,-526,baijjfqbiy,xrxmxhsbku
-394,DOG,-0.3995,oxiauwedwh,-922
-275,0.208,vyvqlyxlag,cAT,765
886,-0.497,iaomsjdctk,627,qxxmaqboeq
-947,rkuameqxpe,143,572,cAt
742,dog,-955,bpqtxuonds,-0.1505
lrizbglmze,0.1995,tjlfpcpxua,0.216,Dog
dOG,oflvvaosvh,mebhbflexi,khejjsuana,-0.0895
CaT,734,594,114,-0.33
0.4745,DoG,CAT,862,261
czlphjusll,ybxhczttph,zdgauertfn,-684,-716
718,dOg,DoG,0.164,-0.1885
DOG,0.473,dog,-0.4235,-390
-980,hlgefeyvgi,kwcvpxnmlq,eokwcxyqik,438
DOg,-0.2105,831,809,mibjkpohso
156,313,kliomkaomr,0.0855,0.291
67,116,rwdjbqjvav,157,-868
owzrfhbidz,-299,0.338,dvmpgybibc,0.3215
caT,mlbnfatjqu,ikjaublzjo,-759,ayaqorsdrg
-344,0.1465,590,CAt,-395
lokcpyqdfh,576,zapyyoobai,doG,tbbnklpmww
-797,715,0.1975,-0.123,CAt
DOG,0.3445,0.034,cyoqxpetvr,khafugsybk
wquczenzbl,dog,318,0.058,vwqnpwgzgn
nbpvtxhpzc,dOg,746,-540,-423
DOG,-631,-0.1855,ezxndjsofr,cAt
dnwqkanxxb,yaaznlmezq,bqzzamftat,caT,-0.4205
0.4785,-79,555,cat,jxtgexotfo
0.2765,CAt,olxkzkmjgb,dOG,0.261
iwiyctfhqz,jpdvoiwzvm,doG,cAt,caT
-52,0.3615,eypdltdwfn,-253,0.041
-310,dbiyspycfo,yrxeegcmhi,ptfgryfnby,Cat
jvrtuamsgq,-684,sizbyfcohs,caT,-0.4475
19,-489,-0.0935,-439,tgeycwacug
doG,0.176,0.461,56,dog
-264,jldqwvbphh,664,ubhgbqphxe,-998
0.042,0.3405,612,Cat,jupgrukzkh
ukygtldmev,DOG,642,nfekxwrmpj,0.3395
0.308,-849,-953,0.317,-568
doG,-0.351,dgvotkbfqr,doG,0.133
386,izsjnptvjy,0.2195,wenanfqxsu,0.078
gxawvokzsc,-158,-599,cAt,-487
-0.438,CaT,0.051,186,-504
cAt,ailhdwrqwo,yuyagqqcje,zmpicmialx,caT
DoG,zvsebfrthi,ofaffbelsz,-933,0.2955
0.2645,0.231,loakawzvrg,0.0975,dog
doG,0.37,tbplncjgku,-0.2965,cfvyoglhem
-235,-0.049,0.0435,weqqsbmtkc,fwuewqcfuo
cgyrlsoywa,-0.1865,0.1695,bhzshmwwgt,-0.3305
-4,-0.3575,caT,vlfbqhliud,-0.258
0.195,CAT,DOG,-0.3465,-0.087
