PeT,zsnhwgibsa,gbpcnpkjnv,tgcbnukktd,bnxnqrwwrg,sqjojwetme,ekemoufbje
caT,608,542,875,kfgofpvnxs,146,275
-893,mmksoqhbhb,suwoolvmwv,kwnsqfjahh,Dog,-0.113,-993
Cat,-81,-0.3835,dOg,-664,-455,-0.3035
dOg,-569,629,aktlykmslb,sbslhergwp,-0.237,-0.28
cat,gtxtgsgxqg,-779,-0.0505,998,dOg,-0.1445
Dog,hafqjffffv,doG,0.0895,-0.3115,-0.474,wxipfvgugx
DOg,kkggmtkrgj,-0.0585,gmzeqwcmyj,lmvuyavbep,-0.0965,pqhmujmbcs
dOG,56,fudazqxaef,337,cAT,113,107
CAT,qjrnebemvc,bjtmzkqokj,-0.396,-0.434,0.3145,-0.3195
doG,zbevvyqtvu,-0.4705,iedsglhdch,dOG,tvvajaycgr,bmrwinsvre
dog,0.1665,0.288,-0.2715,220,-923,CaT
dog,-0.2845,DoG,-355,-0.1165,-0.2505,-0.0535
462,98,hhcpgrbvkc,-504,Dog,DOg,-0.328
Cat,0.0105,-0.1115,dog,nehrkmpuwq,CAt,-266
0.4675,-387,ciaoudogoc,-806,CaT,-0.197,DOG
caT,-191,0.4355,635,fgrimkpyzx,0.0675,-903
582,dopxhkonnz,-616,897,cAt,0.2975,Cat
CaT,vucyorgyzs,-864,sjkivviokd,0.195,knzisdgjfv,919
CAt,CaT,CAT,-0.3195,-0.3195,274,lzhvapjrbw
-0.3535,-312,-749,wrwntcmvcr,-0.096,0.2985,wscnrlhzer
-710,CAt,0.3015,skutixccdz,vscbohhbwx,-574,-831
dOg,0.07,-0.2545,DOG,0.1265,-0.0975,0.4185
DoG,66,-317,-0.084,827,cat,dOg
-37,465,-0.2085,CAt,eruewgfnrh,0.122,0.288
DOg,geuuhrzoyb,-957,dOg,0.384,-115,0.3555
CAT,-64,-410,caT,720,-119,-0.4815
dOg,-0.4925,Cat,0.345,CAT,cat,dog
-96,165,CAt,cat,CAt,bvhtklxjgx,0.436
dOG,rnorbeeuaz,651,-0.301,0.262,CaT,-0.432
caT,cAt,-322,aflzzimohl,zjmdpsdhzh,-0.075,qemoxadykh
cAT,pmdtmemzoy,-933,cAt,eontpuhgrm,lntypesril,wmtmacxari
DoG,-204,lpebwuuvvk,aqtjmxoyuk,-863,-386,0.46
DOg,cmteqczdzo,DOG,402,dog,ybwgwphpil,-0.0155
DOg,-727,-406,caT,-830,cAt,-0.0765
cAT,bwwlwogtou,-258,CaT,-0.1075,-0.364,cAt
Dog,cAt,404,rzcelwdbow,935,caT,roncepugjv
CAt,jhmziqmzig,627,cAt,913,-0.3005,0.4285
-0.2175,-0.364,rgmuueqmgn,622,cAt,-0.0325,474
caT,0.1045,-0.316,djyyqfnvcm,invygglucf,pgdspalegk,0.3675
doG,dOG,-0.112,kxigzomvkb,sroocsnmxt,fvugercqbk,thipefmrux
cAt,885,Cat,dOg,DOg,CAt,dOg
cat,hnpnvznwmi,-184,ahrwhudrvl,774,dog,ybcpxjvyqe
CAT,0.0025,ymmviexqas,212,dOG,-0.232,gelrhanqyx
doG,0.418,ygltwuuupb,823,ciyadaatwb,tvqphgoapi,-0.089
vpboisypbp,mjyhoogero,-0.4565,414,0.3315,yrupvmoyqz,654
dOG,-817,doG,eghxdvaixo,-0.138,656,0.106
dog,-85,0.158,Cat,losmgcirvj,fxgqvibdvd,uwaazzhoky
