opjsbyrrss,pscqikjbxr,ddtzivziwf
qybvausceb,rceibojjpq,dog
tqsggsglal,-756,uyoyfyipog
gxvxopokbl,doG,mwkltvqfqo
-0.187,293,0.109
fknlfnzgfu,iuewtpoenx,0.491
CAT,0.3315,CAt
970,0.4485,0.4215
-248,396,cAt
324,-0.219,DOG
486,-0.0875,DOg
DOG,ltnhmljbck,-0.1085
1,0.4755,solsmxniyb
0.0515,rawubcnadl,rdodzwyyjv
827,-0.4135,-129
qvolhrgvwi,-161,Dog
280,dog,-358
-528,0.43,557
uziafxxkni,cmbysghrwi,wbjlqexqos
guuchvqsst,0.2415,0.4175
xufrelsrpx,-0.244,0.069
-848,opgyhkyslg,whiymzcpox
0.017,dog,-672
cAt,-847,CaT
0.3615,0.1125,dOG
-619,wjiraajwgg,-0.3735
0.268,caT,-0.0755
dkbdnlmfqa,jxsbfoyfmw,ffavkwpyhd
-0.4605,807,0.2405
