ivbdflmquw,lhloaocomm,qqpvhaqfbu,peT
177,CaT,-166,Dog
-802,-464,-275,CaT
foubskoacx,-148,-690,doG
0.039,-780,-560,345
-0.0285,203,397,Cat
rxjjskudgt,qjpjdpmrgc,yjkzankuyl,dOG
xkbwlevftg,0.3215,-430,dOG
xwojjomjit,-669,-0.0015,-888
jcswngifjm,Dog,0.3545,0.4745
fccnkirldt,hkdrasdwte,0.1795,0.2715
-0.108,fmlzwdtbbv,ayuulmdbmp,cAT
olclktulbg,-0.1265,-0.219,dOG
0.2605,-0.29,-460,0.2395
-650,0.3545,jowecybzwf,doG
-0.1235,258,0.109,dOG
cytzvnpios,-0.2775,cat,-898
-0.497,0.382,xzkufmbtis,DOG
-0.268,fgnoihnezi,606,DOG
0.197,-0.1705,dOG,cAT
Cat,xprzuioefs,0.297,59
530,0.4315,0.3575,cAt
-510,-0.444,-28,DOg
mcrcexvnil,orrfgxdfzg,-343,elcmfdfjwe
-0.2425,-0.2845,0.001,CAT
Cat,cAt,0.103,skzigttzws
