ywdcyfjsuw,xxupcojhxt,evmmkmmplw,pEt
-583,pzlgxisrvw,huipjonobu,cAt
791,klwrbiyzdc,-682,dOG
mbcgduujis,cat,-0.314,caT
488,0.207,0.2845,DOg
eromojhlqz,-109,mbptfplzsn,cAt
-709,jubplwgiev,-154,Dog
-380,-183,iikdmqwzmn,0.497
-751,0.416,243,CaT
139,dlazmtbpmh,0.4155,cat
-0.151,awpetnftke,flzyrjtrge,dcglpzukyr
0.4465,0.3325,DoG,DOg
Cat,166,-0.379,acdebjdtks
-0.4505,504,eavyxvrvuz,dOG
CaT,wjmyujqbsm,0.2675,cAT
ytaldxbpgo,easphckmss,pbywweqbkq,uyoejzblgc
uhpoblmroi,0.4985,DoG,Dog
-483,bhcduijtwk,DOg,Dog
913,-867,ptewzxqlge,dOG
84,-0.0855,0.371,doG
mlcgclamfd,caT,-0.2025,123
dlvppobqov,946,dOg,Dog
cAT,ehgwdufusz,-0.0885,DOg
-0.156,575,0.162,DOg
cxcrxtkafp,21,uynsonbvwl,cat
DoG,zaesayrdkm,-516,caT
DoG,844,pktbzhlyrv,cAT
nbdamrylsa,320,-0.251,-509
dwncscahxh,-0.063,nfxxzakdzp,cat
-107,0.381,rnzxvvcxcx,DOG
0.0715,cpuaiqmvqb,jdvucusxxj,dOG
tdsxofkebt,-867,-107,doG
0.4715,0.2375,0.0515,cAt
DOg,0.003,doG,dOg
DOg,-735,673,CAt
pdumqnhbmq,-0.015,eznztfraob,CaT
doG,mhqvqotrrf,xwgvfrkzmm,CAT
gzfghobljh,ctxpuziacy,212,caT
764,-0.031,Dog,Cat
lxahwrotca,-593,647,Cat
ugrybedpsi,-0.1665,DOG,CAT
631,-0.0495,veghdbxqwn,0.2635
0.4865,vxdzdtryfs,-0.0465,DOg
-525,-0.371,snlezlnifg,caT
-592,0.0515,-0.319,dog
DOg,sfapgocztk,mvcwerxdrk,-686
0.129,-964,wxcjmwcmip,DoG
tvolmrolbo,-741,cat,caT
rsnodfumnh,seswjizpyg,-0.04,dOG
-0.0215,zazykgpecz,-195,-582
-0.0185,bcxbimohsp,ykdvvdgdrm,cAT
semqzbdadl,-0.081,-0.2285,dOG
syfowgylpw,-838,Dog,CAT
0.4355,-505,0.1055,CaT
0.4705,dOg,dOg,cAT
klzdmqyxac,-289,-924,cat
dOG,710,-651,cat
tufqjwxslr,507,-709,cAT
zlavalgpup,ehgbhlmsxw,szayfivurs,DOG
CAT,jzgewlquil,-0.267,wszatynptc
mnshepfjqq,joljyjwctk,-393,dOG
caT,995,yvmfbqazlv,DOg
0.4315,stcmoqszue,cddpimfrpf,420
vnizurfzoz,-76,atplrhqhhy,caT
62,dnqmemoigi,xyblawhesb,DOG
tblbtocfhe,hsrezodhbh,22,-601
0.1235,0.2505,-55,frczeudzyy
0.356,sjmbijmrqc,tfpelnscpp,-0.1745
-0.478,-843,-732,ijrgcwouwm
-0.2335,DoG,-0.208,cAt
-0.176,cAt,552,dOg
lejkskilpx,cat,751,-371
-0.208,Cat,0.349,cAT
DOg,bnotywnowm,0.194,-362
59,0.21,-0.14,0.4945
-0.103,0.477,dcetldvsxx,doG
-0.429,0.4105,bzoeiptkhn,dOG
cAt,-30,-0.379,Dog
anzhjjvzzi,-0.265,dog,-0.353
0.2715,dfarednfji,-327,caT
qvyqsdxboj,-426,CAt,caT
CAT,cAt,0.4375,dog
ssmwenhbey,rnwangclmw,754,CaT
656,0.443,DOg,qngwwdwrnc
-579,kwugsaxbto,-746,caT
imfzcgehsx,jllvujxpjx,443,cAT
-125,qzltbodtiu,Dog,doG
-0.0035,DoG,CaT,uibcrgqeld
952,-0.471,548,-748
-995,-33,isgufkjocv,cat
-0.4415,hrkreudyrg,eudrbmrlap,dOg
550,0.1125,0.1875,359
cat,0.3655,0.485,-336
-372,bflefyaity,-284,CaT
891,-600,dsuoeapwqn,CAT
0.057,-938,-207,DoG
vqcdjzchml,pvhgbkfplx,-529,doG
DoG,362,0.0405,DOG
586,413,-982,cAt
0.1425,-698,647,doG
cAt,CaT,udghioffzl,caT
